!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:41:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2196000000,-10.385262,-8.4744663,-53.940296,43.560276
2197000000,-10.375965,-8.5817451,-53.731979,41.969215
2198000000,-10.371216,-8.7394209,-53.570404,40.578579
2199000000,-10.362167,-8.8849573,-53.688267,38.95742
2200000000,-10.359819,-9.0469236,-53.449745,37.941158
2201000000,-10.384875,-9.2176514,-53.415051,36.906002
2202000000,-10.378744,-9.4295483,-53.326527,36.125401
2203000000,-10.363602,-9.6182489,-53.268639,35.575436
2204000000,-10.392454,-9.7812576,-53.271721,35.089691
2205000000,-10.368972,-9.9462137,-52.975365,35.010262
2206000000,-10.377895,-10.130603,-52.958096,35.065933
2207000000,-10.394377,-10.252291,-52.81197,35.101738
2208000000,-10.374312,-10.341965,-52.647476,35.219933
2209000000,-10.35552,-10.452805,-52.366875,35.570541
2210000000,-10.333838,-10.479716,-52.362354,35.73996
2211000000,-10.331533,-10.487875,-52.456329,36.320095
2212000000,-10.30046,-10.481513,-52.210316,36.506836
2213000000,-10.306527,-10.428829,-52.319744,36.722298
2214000000,-10.257569,-10.352522,-52.323666,37.051834
2215000000,-10.227408,-10.282914,-52.458477,36.963348
2216000000,-10.23702,-10.121021,-52.567661,36.678669
2217000000,-10.215887,-10.018367,-52.768593,36.219139
2218000000,-10.218118,-9.8761158,-52.936523,35.564308
2219000000,-10.239324,-9.7492027,-52.89019,34.884415
2220000000,-10.24341,-9.6365366,-53.088539,33.917133
2221000000,-10.260764,-9.5144672,-53.193855,32.685085
2222000000,-10.263871,-9.4361134,-53.25111,31.322264
2223000000,-10.304126,-9.3664398,-53.094028,30.041601
2224000000,-10.274949,-9.2952213,-53.04673,28.424528
2225000000,-10.307783,-9.2983828,-53.040127,26.813969
2226000000,-10.3118,-9.2883263,-52.960716,25.25923
2227000000,-10.291448,-9.2988892,-53.056004,23.512562
2228000000,-10.293139,-9.3656292,-52.833206,21.997492
2229000000,-10.282735,-9.4554234,-52.867413,20.353176
2230000000,-10.27147,-9.509388,-52.916435,19.025824
2231000000,-10.237287,-9.6360197,-53.003593,17.456951
2232000000,-10.245539,-9.7656517,-53.236298,16.100733
2233000000,-10.260728,-9.8729877,-53.464615,15.181238
2234000000,-10.244802,-10.005876,-53.442192,14.239155
2235000000,-10.258557,-10.153892,-53.488293,13.491613
2236000000,-10.26391,-10.286891,-53.676533,12.654287
2237000000,-10.281325,-10.379391,-53.874203,12.216122
2238000000,-10.310253,-10.49326,-53.877865,11.760198
2239000000,-10.322311,-10.63926,-53.880302,11.154203
2240000000,-10.329607,-10.671112,-53.929157,11.151432
2241000000,-10.353475,-10.758788,-53.805656,10.878979
2242000000,-10.36572,-10.79354,-53.839687,10.610043
2243000000,-10.370627,-10.795158,-53.798027,10.660357
2244000000,-10.377386,-10.829684,-53.829189,10.654069
2245000000,-10.388366,-10.799765,-53.787106,10.28019
2246000000,-10.362373,-10.753798,-53.889809,9.9574976
2247000000,-10.357521,-10.713911,-53.886578,9.6788235
2248000000,-10.361279,-10.641812,-53.802135,9.2450523
2249000000,-10.335756,-10.532392,-54.041546,8.5723438
2250000000,-10.350087,-10.493354,-54.147282,7.7655087
2251000000,-10.351906,-10.389601,-54.1511,6.9891024
2252000000,-10.370687,-10.289227,-54.384274,5.9385691
2253000000,-10.381198,-10.239334,-54.337715,4.6935592
2254000000,-10.419228,-10.142935,-54.499443,3.7278664
2255000000,-10.428097,-10.110721,-54.630123,2.1850281
2256000000,-10.459181,-10.075443,-54.590282,0.98515588
2257000000,-10.47874,-10.008224,-54.417618,-0.55536896
2258000000,-10.487186,-9.9807997,-54.512245,-2.0422854
2259000000,-10.507824,-9.992774,-54.489601,-3.8336823
2260000000,-10.492918,-9.9946032,-54.257153,-5.2049985
2261000000,-10.477514,-10.041371,-54.190285,-6.7644358
2262000000,-10.491911,-10.095114,-54.485733,-8.4044867
2263000000,-10.497818,-10.164337,-54.223156,-9.8769159
2264000000,-10.459318,-10.248318,-54.452065,-11.331829
2265000000,-10.46761,-10.32768,-54.339325,-12.521407
2266000000,-10.460983,-10.427407,-54.59462,-13.918658
2267000000,-10.467038,-10.533096,-54.697437,-15.176862
2268000000,-10.49755,-10.612818,-54.850525,-16.292074
2269000000,-10.497726,-10.753778,-54.916725,-17.144573
2270000000,-10.498013,-10.870613,-54.989117,-18.074112
2271000000,-10.52966,-10.96419,-54.925705,-18.789665
2272000000,-10.567766,-11.082623,-55.188828,-19.437326
2273000000,-10.560101,-11.147888,-55.060863,-20.001928
2274000000,-10.571188,-11.213181,-54.833214,-20.472342
2275000000,-10.580354,-11.293375,-55.185318,-20.90588
2276000000,-10.592206,-11.34666,-54.955906,-21.336256
2277000000,-10.604472,-11.351905,-54.760395,-21.584326
2278000000,-10.578432,-11.396568,-54.741978,-22.155964
2279000000,-10.559675,-11.375711,-54.692593,-22.452946
2280000000,-10.540189,-11.362247,-54.631023,-22.884493
2281000000,-10.54025,-11.316486,-54.669704,-23.421038
2282000000,-10.495375,-11.254807,-54.616982,-24.070127
2283000000,-10.486063,-11.221061,-54.925812,-24.678425
2284000000,-10.494431,-11.154554,-55.064556,-25.55695
2285000000,-10.477258,-11.089681,-55.333385,-26.25437
2286000000,-10.451056,-11.018214,-55.343109,-27.142555
2287000000,-10.467792,-10.928964,-55.657013,-28.349272
2288000000,-10.4725,-10.871244,-55.591927,-29.609755
2289000000,-10.474053,-10.824107,-55.717098,-30.691837
2290000000,-10.485877,-10.775763,-55.866882,-32.170647
2291000000,-10.487412,-10.723014,-56.004623,-33.53529
2292000000,-10.488971,-10.716378,-55.835609,-34.951286
2293000000,-10.485066,-10.70397,-56.014397,-36.47662
2294000000,-10.473887,-10.721528,-56.076523,-38.013447
2295000000,-10.467126,-10.725793,-56.03891,-39.574711
2296000000,-10.45196,-10.778991,-56.206886,-41.017918
2297000000,-10.457012,-10.840406,-56.416588,-42.529858
2298000000,-10.410787,-10.883188,-56.514412,-43.797653
2299000000,-10.403086,-10.992232,-56.505066,-45.132893
2300000000,-10.393694,-11.066207,-56.862236,-46.275978
2301000000,-10.380876,-11.158108,-57.024021,-47.706818
2302000000,-10.376293,-11.257908,-57.090862,-48.626068
2303000000,-10.384159,-11.380971,-57.394825,-49.492004
2304000000,-10.379501,-11.449548,-57.777157,-50.314823
2305000000,-10.390221,-11.538566,-58.007553,-51.035316
2306000000,-10.409728,-11.640515,-58.100376,-51.670269
2307000000,-10.413381,-11.717936,-58.242218,-52.165588
2308000000,-10.424508,-11.752774,-58.317284,-52.789555
2309000000,-10.407662,-11.792112,-58.371269,-53.230385
2310000000,-10.425883,-11.816389,-58.435493,-53.686676
2311000000,-10.418385,-11.848194,-58.534168,-53.945347
2312000000,-10.419632,-11.876749,-58.610516,-54.343754
2313000000,-10.402026,-11.862428,-58.658348,-54.610561
2314000000,-10.40074,-11.84727,-58.935223,-55.053059
2315000000,-10.353906,-11.818665,-59.092831,-55.531361
2316000000,-10.350451,-11.742138,-59.48851,-56.060909
2317000000,-10.329847,-11.70094,-59.755974,-56.436523
2318000000,-10.32505,-11.634018,-59.821583,-57.090637
2319000000,-10.31104,-11.592808,-60.126812,-57.823296
2320000000,-10.309718,-11.491735,-60.598114,-58.721897
2321000000,-10.326088,-11.420195,-60.968113,-59.677971
2322000000,-10.330924,-11.355059,-61.396645,-60.655743
2323000000,-10.350653,-11.285581,-61.476601,-61.735779
2324000000,-10.385207,-11.273046,-61.651455,-62.730412
2325000000,-10.409229,-11.171283,-62.17321,-64.111374
2326000000,-10.429808,-11.154644,-62.169579,-65.074051
2327000000,-10.449761,-11.100571,-62.422249,-66.560638
2328000000,-10.444039,-11.089068,-62.596855,-67.584198
2329000000,-10.470846,-11.094859,-62.844334,-68.902512
2330000000,-10.497866,-11.08316,-62.89864,-70.007416
2331000000,-10.472992,-11.08553,-63.216202,-71.179016
2332000000,-10.47577,-11.133282,-63.494396,-72.755188
2333000000,-10.478786,-11.163347,-63.848862,-73.96434
2334000000,-10.472577,-11.214113,-64.182426,-75.164406
2335000000,-10.50849,-11.304594,-64.502121,-75.908165
2336000000,-10.488564,-11.334669,-64.922287,-77.060562
2337000000,-10.51537,-11.363682,-65.318649,-77.940315
2338000000,-10.537428,-11.457935,-65.672241,-78.820549
2339000000,-10.57621,-11.528949,-66.025635,-79.508652
2340000000,-10.607773,-11.578061,-66.402657,-80.107002
2341000000,-10.666815,-11.627693,-66.716599,-80.595566
2342000000,-10.686457,-11.69073,-66.950005,-81.130516
2343000000,-10.731308,-11.727494,-67.134842,-81.786079
2344000000,-10.769381,-11.763262,-67.359802,-81.92028
2345000000,-10.803053,-11.775205,-67.564438,-82.296539
2346000000,-10.825679,-11.789249,-67.961456,-82.515137
2347000000,-10.839833,-11.762431,-67.903526,-82.826843
2348000000,-10.86283,-11.770917,-68.244133,-82.894775
2349000000,-10.867478,-11.720671,-68.676582,-83.286957
2350000000,-10.891056,-11.686,-68.889336,-83.424583
2351000000,-10.882031,-11.635937,-69.159508,-83.806732
2352000000,-10.916863,-11.549806,-69.618523,-84.054581
2353000000,-10.9641,-11.476719,-69.939941,-84.531662
2354000000,-10.960033,-11.372982,-70.386551,-85.019836
2355000000,-11.024704,-11.266634,-70.909821,-85.44474
2356000000,-11.073843,-11.163032,-71.378868,-86.343307
2357000000,-11.131489,-11.092668,-71.575966,-86.95594
2358000000,-11.177859,-10.97563,-71.958733,-87.977196
2359000000,-11.22242,-10.838468,-72.326561,-88.816338
2360000000,-11.304928,-10.778373,-72.62281,-89.949097
2361000000,-11.367631,-10.663792,-72.798477,-91.003304
2362000000,-11.396982,-10.606762,-73.110939,-92.301392
2363000000,-11.48987,-10.576881,-73.377426,-93.615395
2364000000,-11.522121,-10.520562,-73.319756,-94.89846
2365000000,-11.571031,-10.473815,-73.545074,-95.912582
2366000000,-11.626696,-10.471035,-73.95771,-97.172554
2367000000,-11.628178,-10.488462,-73.901695,-98.813828
2368000000,-11.668346,-10.515506,-74.196373,-100.0107
2369000000,-11.680857,-10.545871,-74.499077,-101.13142
2370000000,-11.768568,-10.58996,-75.059372,-102.36452
2371000000,-11.809247,-10.611599,-75.377342,-103.30738
2372000000,-11.839084,-10.718963,-75.787704,-104.18994
2373000000,-11.909105,-10.806616,-76.147964,-104.87399
2374000000,-11.9605,-10.883999,-76.513901,-105.58026
2375000000,-12.055168,-10.905615,-76.715118,-106.26852
2376000000,-12.127754,-10.97603,-77.074615,-106.47065
2377000000,-12.213834,-11.064859,-77.277962,-106.59349
2378000000,-12.247609,-11.06924,-77.547173,-107.23022
2379000000,-12.365937,-11.104043,-77.646545,-107.27244
2380000000,-12.426471,-11.104595,-77.889694,-107.37848
2381000000,-12.495325,-11.148437,-77.873489,-107.37524
2382000000,-12.614713,-11.084492,-77.877777,-107.58137
2383000000,-12.660105,-11.029593,-78.084755,-107.25213
2384000000,-12.714648,-10.984015,-78.479691,-107.6292
2385000000,-12.751107,-10.879204,-78.316521,-107.75357
2386000000,-12.7918,-10.785168,-78.605247,-107.84261
2387000000,-12.861491,-10.686824,-78.740318,-108.22856
2388000000,-12.889928,-10.542736,-79.090683,-108.86987
