f1,S21_A,S21_HFSS,f2,S21_Zolver
2800000000,-1.046881911,-1.202338594,2799991808,-1.204919701
2810000000,-1.046881911,-1.202479174,2809991680,-1.204918356
2820000000,-1.046881911,-1.202608183,2819991552,-1.204919701
2830000000,-1.046881911,-1.202725231,2829991424,-1.204920373
2840000000,-1.046881911,-1.20282996,2839991296,-1.204920373
2850000000,-1.046881911,-1.202922036,2849991168,-1.204919701
2860000000,-1.046881911,-1.203001154,2859991040,-1.204916339
2870000000,-1.046881911,-1.203067041,2869990912,-1.204918356
2880000000,-1.046881911,-1.20311945,2879990784,-1.204917011
2890000000,-1.046881911,-1.20315817,2889990656,-1.204919028
2900000000,-1.046881911,-1.203183019,2899990528,-1.204918356
2910000000,-1.046881911,-1.203193849,2909990400,-1.204918356
2920000000,-1.046881911,-1.203190546,2919990272,-1.204918356
2930000000,-1.046881911,-1.20317303,2929990144,-1.204919028
2940000000,-1.046881911,-1.203141259,2939990016,-1.204919028
2950000000,-1.046881911,-1.203095225,2949989888,-1.204918356
2960000000,-1.046881911,-1.203034959,2959989760,-1.204919701
2970000000,-1.046881911,-1.202960528,2969989632,-1.204919028
2980000000,-1.046881911,-1.20287204,2979989504,-1.204919701
2990000000,-1.046881911,-1.202769642,2989989376,-1.204919701
3000000000,-0.264157995,-1.202653521,2999989248,-1.204917684
