"Freq [GHz]","dB(S(1,1)) []"
2.085,-1.67993964613896
2.086,-1.68821558035651
2.087,-1.69655582684329
2.088,-1.70496095419058
2.089,-1.71343153664618
2.09,-1.72196815417536
2.091,-1.73057139252255
2.092,-1.7392418432737
2.093,-1.74798010391931
2.094,-1.75678677791821
2.095,-1.76566247476199
2.096,-1.77460781004017
2.097,-1.78362340550614
2.098,-1.79270988914377
2.099,-1.80186789523482
2.1,-1.81109806442702
2.101,-1.82040104380304
2.102,-1.82977748695008
2.103,-1.83922805403039
2.104,-1.84875341185243
2.105,-1.858354233943
2.106,-1.86803120061998
2.107,-1.87778499906606
2.108,-1.88761632340321
2.109,-1.89752587476802
2.11,-1.90751436138784
2.111,-1.91758249865786
2.112,-1.92773100921901
2.113,-1.93796062303672
2.114,-1.94827207748062
2.115,-1.95866611740514
2.116,-1.96914349523098
2.117,-1.97970497102754
2.118,-1.99035131259628
2.119,-2.00108329555507
2.12,-2.0119017034234
2.121,-2.02280732770869
2.122,-2.03380096799348
2.123,-2.04488343202372
2.124,-2.05605553579797
2.125,-2.06731810365773
2.126,-2.07867196837873
2.127,-2.09011797126329
2.128,-2.10165696223381
2.129,-2.11328979992729
2.13,-2.12501735179093
2.131,-2.13684049417891
2.132,-2.14876011245021
2.133,-2.16077710106772
2.134,-2.17289236369832
2.135,-2.18510681331429
2.136,-2.19742137229586
2.137,-2.20983697253495
2.138,-2.22235455554021
2.139,-2.23497507254322
2.14,-2.24769948460598
2.141,-2.2605287627298
2.142,-2.27346388796526
2.143,-2.28650585152373
2.144,-2.29965565489011
2.145,-2.31291430993692
2.146,-2.32628283903987
2.147,-2.33976227519473
2.148,-2.35335366213572
2.149,-2.36705805445526
2.15,-2.3808765177253
2.151,-2.39481012862006
2.152,-2.40885997504034
2.153,-2.42302715623934
2.154,-2.43731278295013
2.155,-2.45171797751459
2.156,-2.46624387401414
2.157,-2.48089161840196
2.158,-2.49566236863704
2.159,-2.51055729481981
2.16,-2.52557757932963
2.161,-2.54072441696395
2.162,-2.55599901507937
2.163,-2.57140259373442
2.164,-2.58693638583435
2.165,-2.6026016372777
2.166,-2.61839960710486
2.167,-2.63433156764866
2.168,-2.65039880468683
2.169,-2.66660261759667
2.17,-2.68294431951171
2.171,-2.6994252374805
2.172,-2.71604671262764
2.173,-2.73281010031697
2.174,-2.74971677031701
2.175,-2.76676810696875
2.176,-2.78396550935575
2.177,-2.80131039147668
2.178,-2.81880418242023
2.179,-2.83644832654263
2.18,-2.85424428364762
2.181,-2.8721935291691
2.182,-2.8902975543564
2.183,-2.90855786646224
2.184,-2.9269759889336
2.185,-2.94555346160522
2.186,-2.96429184089624
2.187,-2.98319270000959
2.188,-3.00225762913457
2.189,-3.02148823565245
2.19,-3.04088614434528
2.191,-3.06045299760793
2.192,-3.08019045566347
2.193,-3.10010019678196
2.194,-3.12018391750269
2.195,-3.14044333285997
2.196,-3.16088017661271
2.197,-3.18149620147753
2.198,-3.20229317936589
2.199,-3.22327290162503
2.2,-3.24443717928298
2.201,-3.26578784329774
2.202,-3.28732674481058
2.203,-3.30905575540379
2.204,-3.33097676736283
2.205,-3.35309169394304
2.206,-3.37540246964104
2.207,-3.39791105047097
2.208,-3.42061941424562
2.209,-3.44352956086264
2.21,-3.46664351259595
2.211,-3.4899633143925
2.212,-3.51349103417453
2.213,-3.5372287631474
2.214,-3.56117861611328
2.215,-3.58534273179077
2.216,-3.60972327314061
2.217,-3.63432242769773
2.218,-3.65914240790968
2.219,-3.68418545148177
2.22,-3.70945382172909
2.221,-3.73494980793538
2.222,-3.76067572571939
2.223,-3.78663391740841
2.224,-3.81282675241972
2.225,-3.83925662764972
2.226,-3.86592596787126
2.227,-3.89283722613934
2.228,-3.91999288420535
2.229,-3.94739545294027
2.23,-3.97504747276689
2.231,-4.00295151410145
2.232,-4.03111017780502
2.233,-4.05952609564483
2.234,-4.08820193076584
2.235,-4.11714037817301
2.236,-4.14634416522434
2.237,-4.17581605213535
2.238,-4.20555883249505
2.239,-4.23557533379392
2.24,-4.26586841796428
2.241,-4.29644098193332
2.242,-4.32729595818938
2.243,-4.35843631536165
2.244,-4.38986505881403
2.245,-4.42158523125327
2.246,-4.4535999133521
2.247,-4.48591222438775
2.248,-4.51852532289625
2.249,-4.55144240734329
2.25,-4.58466671681184
2.251,-4.61820153170731
2.252,-4.65205017448086
2.253,-4.68621601037113
2.254,-4.7207024481655
2.255,-4.75551294098106
2.256,-4.79065098706619
2.257,-4.82612013062341
2.258,-4.86192396265418
2.259,-4.89806612182637
2.26,-4.93455029536522
2.261,-4.97138021996847
2.262,-5.0085596827467
2.263,-5.04609252218944
2.264,-5.08398262915822
2.265,-5.1222339479072
2.266,-5.1608504771326
2.267,-5.19983627105172
2.268,-5.23919544051265
2.269,-5.27893215413572
2.27,-5.31905063948787
2.271,-5.35955518429082
2.272,-5.40045013766468
2.273,-5.44173991140771
2.274,-5.48342898131395
2.275,-5.5255218885298
2.276,-5.56802324095095
2.277,-5.61093771466125
2.278,-5.65427005541473
2.279,-5.69802508016266
2.28,-5.74220767862697
2.281,-5.78682281492174
2.282,-5.83187552922474
2.283,-5.87737093950046
2.284,-5.92331424327669
2.285,-5.9697107194767
2.286,-6.01656573030875
2.287,-6.06388472321532
2.288,-6.11167323288408
2.289,-6.15993688332279
2.29,-6.20868139000085
2.291,-6.25791256205946
2.292,-6.30763630459333
2.293,-6.35785862100646
2.294,-6.40858561544463
2.295,-6.45982349530771
2.296,-6.5115785738446
2.297,-6.56385727283395
2.298,-6.61666612535393
2.299,-6.6700117786444
2.3,-6.72390099706493
2.301,-6.77834066515237
2.302,-6.83333779078181
2.303,-6.88889950843477
2.304,-6.94503308257873
2.305,-7.00174591116245
2.306,-7.05904552923126
2.307,-7.1169396126673
2.308,-7.17543598205909
2.309,-7.23454260670595
2.31,-7.29426760876213
2.311,-7.35461926752612
2.312,-7.41560602388119
2.313,-7.47723648489246
2.314,-7.5395194285671
2.315,-7.60246380878398
2.316,-7.66607876039901
2.317,-7.73037360453386
2.318,-7.79535785405446
2.319,-7.8610412192471
2.32,-7.9274336137002
2.321,-7.99454516039919
2.322,-8.06238619804355
2.323,-8.1309672875943
2.324,-8.2002992190611
2.325,-8.27039301853867
2.326,-8.34125995550179
2.327,-8.41291155036948
2.328,-8.48535958234853
2.329,-8.5586160975674
2.33,-8.63269341751176
2.331,-8.70760414777314
2.332,-8.78336118712297
2.333,-8.85997773692405
2.334,-8.93746731089252
2.335,-9.01584374522338
2.336,-9.09512120909285
2.337,-9.17531421555186
2.338,-9.25643763282426
2.339,-9.33850669602453
2.34,-9.42153701930985
2.341,-9.50554460848085
2.342,-9.59054587404679
