Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°),S31 Log Mag(dB),S31 Phase(°),S41 Log Mag(dB),S41 Phase(°),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1067000000,-4.3540149,115.36785,-6.2406387,-65.183952,-11.71854,-59.034439,-5.0022559,-119.78236,,-4.059461378,-6.701116234,-12.40241616,-5.256884098
1068000000,-4.3265715,115.47858,-6.2258172,-65.312958,-11.74432,-58.926514,-5.0099969,-119.93236,,-4.0560695,-6.704994573,-12.42105219,-5.255632324
1069000000,-4.3495598,115.49989,-6.2636991,-65.296387,-11.773101,-58.794373,-5.0286126,-120.0518,,-4.052678276,-6.708894494,-12.439707,-5.254382921
1070000000,-4.3325505,115.3036,-6.2601609,-65.353683,-11.762985,-58.763344,-5.0498729,-120.10448,,-4.049287742,-6.712816117,-12.45837983,-5.253135922
1071000000,-4.3405228,115.36932,-6.2670822,-65.367554,-11.787828,-58.697903,-5.0164056,-120.25175,,-4.045897937,-6.716759565,-12.47706988,-5.251891364
1072000000,-4.3404646,115.00694,-6.287199,-65.511864,-11.793585,-58.502811,-5.0308809,-120.43423,,-4.042508901,-6.720724958,-12.49577635,-5.250649281
1073000000,-4.3462067,115.07273,-6.3045731,-65.737617,-11.848454,-58.56282,-5.0451174,-120.52428,,-4.039120672,-6.724712419,-12.51449842,-5.24940971
1074000000,-4.313828,115.12221,-6.2508144,-65.589218,-11.818102,-58.392567,-5.011929,-120.59523,,-4.035733289,-6.728722071,-12.53323525,-5.248172685
1075000000,-4.3413343,114.69865,-6.3083515,-65.991379,-11.878619,-58.536415,-5.0365252,-120.90776,,-4.032346792,-6.732754039,-12.55198596,-5.246938243
1076000000,-4.3109956,114.89444,-6.3060298,-65.810478,-11.882508,-58.51408,-5.0246034,-121.07748,,-4.028961221,-6.736808445,-12.57074969,-5.245706421
1077000000,-4.2962708,114.79656,-6.3185797,-65.882866,-11.901547,-58.476234,-5.0424528,-121.23438,,-4.025576616,-6.740885416,-12.58952552,-5.244477255
1078000000,-4.3083153,114.62804,-6.2849078,-65.755241,-11.923793,-58.391514,-5.0093555,-121.29327,,-4.022193018,-6.744985077,-12.60831254,-5.243250782
1079000000,-4.3211083,114.24381,-6.3121428,-65.99588,-11.894394,-58.296062,-5.0200424,-121.40724,,-4.018810467,-6.749107553,-12.6271098,-5.24202704
1080000000,-4.3009863,114.56744,-6.3193741,-66.078835,-11.92807,-58.419025,-5.0063758,-121.57226,,-4.015429005,-6.753252973,-12.64591633,-5.240806066
1081000000,-4.2736211,114.53919,-6.3229523,-66.170006,-11.957734,-58.158394,-5.0201669,-121.57084,,-4.012048672,-6.757421464,-12.66473116,-5.239587897
1082000000,-4.3089461,113.99834,-6.3267164,-66.398277,-11.99378,-58.146214,-5.0149865,-121.87989,,-4.008669512,-6.761613154,-12.68355328,-5.238372572
1083000000,-4.2787147,114.13911,-6.3388448,-66.315399,-11.99484,-58.176552,-5.0292096,-122.1553,,-4.005291565,-6.765828171,-12.70238166,-5.23716013
1084000000,-4.2583394,113.96386,-6.3018761,-66.363281,-12.01839,-58.01088,-4.9979668,-122.07619,,-4.001914875,-6.770066646,-12.72121524,-5.235950608
1085000000,-4.269937,113.87061,-6.3421922,-66.36528,-12.017393,-57.837475,-5.0220675,-122.18434,,-3.998539484,-6.774328709,-12.74005296,-5.234744046
1086000000,-4.3037596,113.59425,-6.347939,-66.779129,-12.068489,-58.129951,-5.0104251,-122.54015,,-3.995165435,-6.77861449,-12.75889371,-5.233540483
1087000000,-4.2718334,113.98981,-6.3415146,-66.633247,-12.058016,-57.862598,-5.0085292,-122.44468,,-3.991792771,-6.782924121,-12.77773639,-5.232339959
1088000000,-4.293736,113.75014,-6.3606124,-66.832504,-12.080563,-57.753456,-5.0169387,-122.7303,,-3.988421537,-6.787257734,-12.79657984,-5.231142514
1089000000,-4.2940226,113.36587,-6.3397155,-66.941612,-12.067688,-57.765221,-5.0032592,-122.91486,,-3.985051776,-6.791615462,-12.8154229,-5.229948186
1090000000,-4.2785826,113.48696,-6.3270769,-66.881004,-12.105374,-57.621117,-4.973134,-123.05991,,-3.981683534,-6.795997439,-12.83426437,-5.228757018
1091000000,-4.2297363,113.32327,-6.3325529,-66.993164,-12.128071,-57.513889,-5.0007277,-122.88125,,-3.978316853,-6.800403799,-12.85310306,-5.22756905
1092000000,-4.2800884,113.32909,-6.3668346,-67.027626,-12.163504,-57.422993,-4.997889,-123.16138,,-3.974951781,-6.804834677,-12.8719377,-5.226384322
1093000000,-4.2490883,113.09019,-6.3710227,-67.140648,-12.108305,-57.583012,-4.9927211,-123.42928,,-3.971588361,-6.809290207,-12.89076705,-5.225202876
1094000000,-4.2182088,112.94351,-6.3983779,-67.256012,-12.181141,-57.520683,-4.9975209,-123.60197,,-3.968226641,-6.813770528,-12.9095898,-5.224024754
1095000000,-4.2452426,112.99973,-6.3704867,-67.333679,-12.180944,-57.478577,-4.974515,-123.79472,,-3.964866666,-6.818275775,-12.92840465,-5.222849998
1096000000,-4.2462478,112.71906,-6.4024353,-67.321846,-12.197942,-57.4133,-4.9940243,-123.84995,,-3.961508482,-6.822806086,-12.94721025,-5.22167865
1097000000,-4.2158689,112.85419,-6.3836102,-67.464073,-12.238793,-57.315231,-4.9898314,-124.09458,,-3.958152136,-6.8273616,-12.96600522,-5.220510752
1098000000,-4.2308588,112.54586,-6.4062142,-67.499138,-12.223549,-57.112797,-4.9774261,-124.01005,,-3.954797676,-6.831942455,-12.98478819,-5.219346347
1099000000,-4.2504501,112.56321,-6.4252257,-67.690773,-12.297097,-57.23793,-4.993022,-124.44478,,-3.95144515,-6.836548791,-13.00355771,-5.218185479
