Freq(Hz),S11 Log Mag(dB),S11 Phase(deg),S21 Log Mag(dB),S21 Phase(deg),S31 Log Mag(dB),S31 Phase(deg),S41 Log Mag(dB),S41 Phase(deg),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS,,S21-S31,S21-S31_HFSS
1088000000,-4.6768999,159.37231,-7.254437,-50.273338,-5.5809054,-76.890083,-6.791481,-61.663425,,-4.815805775,-7.615925146,-5.850744851,-7.234755931,,26.616745,27.06352892
1089000000,-4.6881728,159.11676,-7.2469277,-50.232742,-5.531776,-76.986969,-6.7846661,-61.827705,,-4.81520506,-7.618075733,-5.849706567,-7.236435736,,26.754227,27.10106247
1090000000,-4.7045932,159.25871,-7.2149014,-50.423302,-5.5591683,-77.023849,-6.7711315,-62.04649,,-4.814608293,-7.620224526,-5.848664749,-7.238115304,,26.600547,27.13863917
1091000000,-4.6742592,159.0361,-7.2373562,-50.310772,-5.5535522,-76.991615,-6.7691998,-62.06752,,-4.814015482,-7.622371513,-5.847619393,-7.239794637,,26.680843,27.17625912
1092000000,-4.6816373,159.18159,-7.2281199,-50.499443,-5.5664649,-77.128555,-6.8029799,-62.037094,,-4.813426635,-7.624516682,-5.846570498,-7.241473736,,26.629112,27.21392243
1093000000,-4.6658473,158.89673,-7.2493706,-50.359463,-5.5511613,-77.367714,-6.7588415,-62.111465,,-4.81284176,-7.626660023,-5.84551806,-7.243152604,,27.008251,27.25162917
1094000000,-4.6781964,158.86412,-7.2959471,-50.652073,-5.5659828,-77.246712,-6.8219976,-62.256054,,-4.812260867,-7.628801522,-5.844462077,-7.244831241,,26.594639,27.28937945
1095000000,-4.6642399,159.02069,-7.2501245,-50.489838,-5.5474563,-77.471664,-6.8038611,-62.28397,,-4.811683962,-7.630941169,-5.843402547,-7.246509649,,26.981826,27.32717336
1096000000,-4.6782298,158.85449,-7.2845197,-50.713829,-5.5499635,-77.248466,-6.7945991,-62.378979,,-4.811111054,-7.633078952,-5.842339466,-7.248187831,,26.534637,27.36501099
1097000000,-4.6683726,158.77907,-7.2812352,-50.506397,-5.5446005,-77.632492,-6.8052874,-62.258419,,-4.810542153,-7.635214859,-5.841272832,-7.249865788,,27.126095,27.40289244
1098000000,-4.6780481,158.79686,-7.2599607,-50.509384,-5.5461726,-77.382919,-6.7782068,-62.448456,,-4.809977265,-7.637348878,-5.840202642,-7.251543522,,26.873535,27.44081781
1099000000,-4.6772494,158.80733,-7.2879682,-50.854202,-5.5495796,-77.714844,-6.8475366,-62.558857,,-4.809416401,-7.639480998,-5.839128894,-7.253221035,,26.860642,27.47878718
