Freq,M,H
1.525,27.57773611,48.956377
1.526,27.62021543,49.132897
1.527,27.66279334,48.973298
1.528,27.70547013,49.182282
1.529,27.74824614,49.208378
1.53,27.79112167,49.384547
1.531,27.83409704,49.349709
1.532,27.87717257,49.418264
1.533,27.92034857,49.37358
1.534,27.96362537,49.740542
1.535,28.00700327,49.682069
1.536,28.0504826,49.584875
1.537,28.09406369,49.732079
1.538,28.13774684,49.805406
1.539,28.18153238,50.006645
1.54,28.22542063,50.036711
1.541,28.26941191,50.211416
1.542,28.31350655,50.149007
1.543,28.35770487,50.103184
1.544,28.40200719,50.384097
1.545,28.44641384,50.426543
1.546,28.49092514,50.267022
1.547,28.53554142,50.59909
1.548,28.580263,50.502773
1.549,28.62509021,50.667704
1.55,28.67002338,50.936322
1.551,28.71506284,50.959062
1.552,28.76020891,50.727526
1.553,28.80546192,50.862594
1.554,28.85082221,51.262004
1.555,28.8962901,51.085788
1.556,28.94186592,51.17168
1.557,28.98755,51.271459
1.558,29.03334268,51.474606
1.559,29.07924428,51.571048
1.56,29.12525515,51.565971
1.561,29.1713756,51.784541
1.562,29.21760599,51.729941
1.563,29.26394663,51.641581
1.564,29.31039787,51.712768
1.565,29.35696003,52.04902
1.566,29.40363346,51.878776
1.567,29.45041849,52.094151
1.568,29.49731545,52.011114
1.569,29.54432469,52.324342
1.57,29.59144653,52.148763
1.571,29.63868133,52.263116
1.572,29.6860294,52.527477
1.573,29.7334911,52.64892
1.574,29.78106676,52.589871
1.575,29.82875672,52.670209
1.576,29.87656132,52.673345
1.577,29.9244809,52.71933
1.578,29.9725158,52.854996
1.579,30.02066636,52.872413
1.58,30.06893292,52.906719
1.581,30.11731582,52.97001
1.582,30.1658154,53.099707
1.583,30.214432,53.232328
1.584,30.26316598,53.221817
1.585,30.31201766,53.376382
1.586,30.36098739,53.422315
1.587,30.41007551,53.601992
1.588,30.45928237,53.731041
1.589,30.50860831,53.619436
1.59,30.55805367,53.966486
1.591,30.6076188,53.853883
1.592,30.65730404,53.971515
1.593,30.70710973,53.892264
1.594,30.75703622,54.083255
1.595,30.80708386,54.035876
1.596,30.85725298,53.884975
1.597,30.90754394,54.364214
1.598,30.95795707,54.260703
1.599,31.00849273,54.463278
1.6,31.05915126,54.556348
1.601,31.10993299,54.573803
1.602,31.16083829,54.492034
1.603,31.21186749,54.810942
1.604,31.26302093,54.894937
1.605,31.31429898,54.852466
1.606,31.36570196,54.952424
1.607,31.41723023,55.113783
1.608,31.46888413,55.217371
1.609,31.52066401,55.122674
1.61,31.57257021,55.324911
1.611,31.62460308,55.434936
1.612,31.67676296,55.589676
1.613,31.7290502,55.472298
1.614,31.78146515,55.379208
1.615,31.83400814,55.662424
1.616,31.88667954,55.79205
1.617,31.93947967,55.7041
1.618,31.99240888,55.880707
1.619,32.04546753,55.957028
1.62,32.09865595,56.222536
1.621,32.1519745,56.086949
1.622,32.2054235,56.061803
1.623,32.25900331,56.330148
1.624,32.31271428,56.292539
1.625,32.36655674,56.368589
1.626,32.42053104,56.371173
1.627,32.47463752,56.459024
1.628,32.52887652,56.67064
1.629,32.58324839,56.858327
1.63,32.63775347,57.140034
1.631,32.6923921,56.955784
1.632,32.74716462,57.07415
1.633,32.80207138,56.899722
1.634,32.85711271,57.099839
1.635,32.91228896,57.103788
1.636,32.96760046,57.234313
1.637,33.02304755,57.320798
1.638,33.07863057,57.411616
1.639,33.13434987,57.408588
1.64,33.19020577,57.686159
1.641,33.24619862,57.743329
1.642,33.30232876,57.669655
1.643,33.35859651,57.88591
1.644,33.41500221,57.858532
1.645,33.47154621,58.106007
1.646,33.52822883,58.227171
1.647,33.58505041,58.136328
1.648,33.64201128,58.289109
1.649,33.69911177,58.467239
1.65,33.75635222,58.502863
1.651,33.81373295,58.470311
1.652,33.8712543,58.642386
1.653,33.92891659,58.656528
1.654,33.98672016,58.72034
1.655,34.04466533,58.70659
1.656,34.10275243,58.825768
1.657,34.16098178,58.949791
1.658,34.21935371,59.019003
1.659,34.27786854,59.127954
1.66,34.3365266,59.030307
1.661,34.39532822,59.30974
1.662,34.4542737,59.215736
1.663,34.51336337,59.498948
1.664,34.57259755,59.316601
1.665,34.63197656,59.431319
1.666,34.69150071,59.505185
1.667,34.75117033,59.746045
1.668,34.81098572,59.679467
1.669,34.8709472,59.753579
1.67,34.93105508,60.139081
1.671,34.99130967,59.963909
1.672,35.05171129,59.924454
1.673,35.11226024,60.182089
1.674,35.17295683,60.177836
1.675,35.23380136,60.306906
1.676,35.29479414,60.182574
1.677,35.35593547,60.630692
1.678,35.41722566,60.60895
1.679,35.478665,60.737775
1.68,35.5402538,60.716776
1.681,35.60199235,60.905922
1.682,35.66388094,60.97061
1.683,35.72591988,60.885738
1.684,35.78810945,61.142661
1.685,35.85044994,61.268511
1.686,35.91294166,61.185262
1.687,35.97558487,61.217983
1.688,36.03837987,61.113976
1.689,36.10132695,61.677739
1.69,36.16442638,61.428837
1.691,36.22767845,61.691514
1.692,36.29108343,61.58682
1.693,36.35464161,61.734132
1.694,36.41835325,61.878124
1.695,36.48221864,61.939087
1.696,36.54623803,62.015323
1.697,36.61041171,62.005456
1.698,36.67473994,62.239699
1.699,36.73922299,62.363435
1.7,36.80386111,62.37178
1.701,36.86865457,62.278797
1.702,36.93360362,62.478054
1.703,36.99870854,62.496195
1.704,37.06396955,62.643245
1.705,37.12938694,62.608589
1.706,37.19496093,62.780084
1.707,37.26069178,62.840971
1.708,37.32657973,62.704521
