Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase
2260000000,-6.1298351,-6.6692147,-47.104347,148.29512
2261000000,-6.1093736,-6.4955592,-47.170361,147.70551
2262000000,-6.0837436,-6.3461399,-47.669586,146.76575
2263000000,-6.0552268,-6.2223492,-47.719196,145.80309
2264000000,-6.0440874,-6.1365252,-48.189442,144.48888
2265000000,-6.0443244,-6.0609136,-48.539913,143.28737
2266000000,-6.0528364,-6.0155025,-48.917305,141.8347
2267000000,-6.1108475,-6.0331039,-49.234581,140.39941
2268000000,-6.1448679,-6.0483513,-49.495415,138.77766
2269000000,-6.1705961,-6.1266985,-49.454823,137.58998
2270000000,-6.2006617,-6.2471457,-49.654194,136.19945
2271000000,-6.2517214,-6.3908,-49.479713,135.09972
2272000000,-6.3003421,-6.5545483,-49.638775,134.22678
2273000000,-6.3011293,-6.7295198,-49.397003,133.49142
2274000000,-6.2735081,-6.8969221,-49.095905,132.91174
2275000000,-6.2656651,-7.0870314,-49.127613,132.8278
2276000000,-6.2552452,-7.29423,-49.227352,132.65979
2277000000,-6.2345791,-7.4585004,-48.948341,132.91776
2278000000,-6.18578,-7.6470933,-49.189949,133.12865
2279000000,-6.1620426,-7.8072472,-49.32159,133.64104
2280000000,-6.1271353,-7.9290838,-49.460785,134.42491
2281000000,-6.1074638,-8.033637,-49.713959,135.39297
2282000000,-6.0716553,-8.1067657,-49.94421,136.14832
2283000000,-6.0581236,-8.1441298,-50.328125,137.30917
2284000000,-6.0550475,-8.146822,-50.775463,138.19461
2285000000,-6.0773993,-8.1195879,-51.100334,139.45474
2286000000,-6.0594521,-8.0444155,-51.331623,140.32556
2287000000,-6.1130047,-7.9173169,-51.657101,141.30896
2288000000,-6.1236262,-7.7734036,-51.902691,141.94102
2289000000,-6.1625676,-7.6190939,-52.054344,142.42885
2290000000,-6.1863966,-7.4414644,-52.212784,142.68181
2291000000,-6.2150593,-7.2457185,-52.246948,142.83696
2292000000,-6.2307334,-7.0705895,-52.167419,142.6564
2293000000,-6.2526755,-6.8667998,-52.224064,142.10738
