x,y1,y2,y3,,Frequency,S21_Z0lver,S21_HFSS,S21_Analytical
2.88,-1.204918356,-1.191393339,-1.05,,,,,
2.89,-1.204918356,-1.191119444,-1.05,,,,,
2.9,-1.204917684,-1.190836443,-1.05,,,,,
2.91,-1.204918356,-1.190544468,-1.05,,,,,
2.92,-1.204920373,-1.190243679,-1.05,,,,,
2.93,-1.204917684,-1.189934263,-1.05,,,,,
2.94,-1.204917684,-1.189616433,-1.05,,,,,
2.95,-1.204917684,-1.18929043,-1.05,,,,,
2.96,-1.204919028,-1.18895652,-1.05,,,,,
2.97,-1.204917684,-1.188615,-1.05,,,,,
2.98,-1.204919028,-1.188266193,-1.05,,,,,
2.99,-1.204917684,-1.187910453,-1.05,,,,,
3,-1.204917684,-1.187548163,-1.05,,,,,
