"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1.077,170.188463378064,-87.1971056104091
1.078,170.219862181435,-87.456437159704
1.079,170.239415495518,-87.7157888274521
1.08,170.247835172668,-87.9751605057407
1.081,170.245777548486,-88.2345520875205
1.082,170.233848673745,-88.4939634666194
1.083,170.212608975203,-88.7533945377569
1.084,170.182577415492,-89.0128451965588
1.085,170.144235212717,-89.2723153395707
1.086,170.098029172361,-89.5318048642729
1.087,170.044374677112,-89.7913136690943
1.088,169.98365837432,-90.050841653427
1.089,169.916240595691,-90.3103887176398
1.09,169.84245753941,-90.5699547630933
1.091,169.762623241156,-90.8295396921533
1.092,169.677031357152,-91.0891434082056
1.093,169.585956779612,-91.3487658156696
1.094,169.489657102477,-91.6084068200129
1.095,169.388373953203,-91.868066327765
1.096,169.282334204536,-92.1277442465319
1.097,169.171751078572,-92.3874404850094
1.098,169.056825154009,-92.6471549529982
1.099,168.937745286265,-92.906887561417
1.1,168.814689449044,-93.1666382223171
1.101,168.687825505011,-93.4264068488958
1.102,168.55731191238,-93.6861933555111
1.103,168.423298373502,-93.9459976576949
1.104,168.285926430896,-94.2058196721677
1.105,168.14533001557,-94.4656593168516
1.106,168.001635952025,-94.7255165108848
1.107,167.854964423824,-94.9853911746351
1.108,167.705429403278,-95.2452832297139
1.109,167.553139048387,-95.5051925989896
1.11,167.398196069909,-95.765119206602
1.111,167.240698071129,-96.0250629779752
1.112,167.080737862642,-96.2850238398318
1.113,166.918403754274,-96.5450017202061
1.114,166.753779826024,-96.8049965484585
1.115,166.586946179768,-97.0650082552879
1.116,166.417979173291,-97.3250367727462
1.117,166.246951638062,-97.5850820342512
1.118,166.073933082053,-97.8451439746003
1.119,165.898989878786,-98.105222529984
1.12,165.722185443664,-98.3653176379988
1.121,165.543580398591,-98.625429237661
1.122,165.363232725757,-98.8855572694199
1.123,165.181197911408,-99.1457016751707
1.124,164.997529080365,-99.4058623982683
1.125,164.812277121958,-99.6660393835395
