Freq,Milled,HFSS,Tapered
1.173,114.11565,63.73033077,-127.7859502
1.174,113.79984,63.55313166,-127.9559289
1.175,113.5217,63.37593191,-128.1258098
1.176,113.86121,63.19873161,-128.295593
1.177,113.76376,63.02153082,-128.4652787
1.178,113.68286,62.84432963,-128.6348673
1.179,113.16983,62.66712812,-128.8043588
1.18,113.56703,62.48992635,-128.9737534
1.181,112.89802,62.3127244,-129.1430515
1.182,112.57293,62.13552234,-129.3122532
1.183,112.7238,61.95832026,-129.4813586
1.184,112.56223,61.78111822,-129.650368
1.185,112.40073,61.6039163,-129.8192817
1.186,112.36577,61.42671456,-129.9880997
1.187,112.5099,61.24951309,-130.1568223
1.188,112.02333,61.07231194,-130.3254497
1.189,111.77145,60.8951112,-130.493982
1.19,111.54886,60.71791093,-130.6624195
1.191,111.69804,60.5407112,-130.8307624
1.192,111.49585,60.36351208,-130.9990108
1.193,111.54671,60.18631364,-131.167165
1.194,111.14407,60.00911595,-131.3352251
1.195,111.33977,59.83191907,-131.5031913
1.196,111.11922,59.65472307,-131.6710638
1.197,110.87637,59.47752802,-131.8388428
1.198,110.85818,59.30033398,-132.0065285
1.199,111.0144,59.12314103,-132.174121
1.2,110.5774,58.94594921,-132.3416205
1.201,110.27082,58.76875861,-132.5090273
1.202,110.20638,58.59156927,-132.6763414
1.203,110.06055,58.41438127,-132.8435632
1.204,109.95688,58.23719467,-133.0106926
1.205,109.74641,58.06000953,-133.17773
1.206,109.7417,57.88282591,-133.3446754
1.207,110.05713,57.70564387,-133.5115291
1.208,109.59095,57.52846347,-133.6782912
1.209,109.23995,57.35128478,-133.844962
1.21,109.54763,57.17410786,-134.0115415
1.211,108.93397,56.99693275,-134.1780299
1.212,108.89127,56.81975953,-134.3444274
1.213,108.67292,56.64258825,-134.5107342
1.214,108.63633,56.46541896,-134.6769504
1.215,108.54883,56.28825173,-134.8430762
1.216,108.17131,56.11108661,-135.0091118
1.217,108.40022,55.93392365,-135.1750572
1.218,108.24081,55.75676292,-135.3409127
1.219,108.34799,55.57960447,-135.5066784
1.22,107.68451,55.40244835,-135.6723545
1.221,107.55413,55.22529461,-135.8379411
1.222,107.70516,55.04814332,-136.0034384
1.223,107.91071,54.87099452,-136.1688465
1.224,107.10397,54.69384826,-136.3341656
1.225,107.30331,54.5167046,-136.4993958
1.226,107.25407,54.3395636,-136.6645373
1.227,106.92041,54.16242529,-136.8295902
1.228,107.22612,53.98528974,-136.9945546
1.229,106.64888,53.80815699,-137.1594308
1.23,106.69105,53.63102709,-137.3242188
1.231,106.40412,53.45390009,-137.4889188
1.232,106.06962,53.27677604,-137.6535308
1.233,106.26158,53.09965499,-137.8180552
1.234,106.34296,52.92253699,-137.9824919
1.235,105.87994,52.74542208,-138.1468412
1.236,105.82218,52.56831031,-138.3111031
1.237,105.69625,52.39120172,-138.4752778
1.238,105.66741,52.21409637,-138.6393654
1.239,105.29436,52.0369943,-138.8033661
1.24,105.17856,51.85989555,-138.96728
1.241,105.3214,51.68280017,-139.1311071
1.242,104.93655,51.5057082,-139.2948477
1.243,104.94565,51.32861968,-139.4585018
1.244,104.92443,51.15153467,-139.6220696
1.245,104.71604,50.97445319,-139.7855511
1.246,104.52721,50.7973753,-139.9489466
1.247,104.24088,50.62030103,-140.1122561
1.248,104.2217,50.44323043,-140.2754798
1.249,104.23256,50.26616353,-140.4386176
1.25,104.39077,50.08910039,-140.6016699
1.251,104.28419,49.91204103,-140.7646366
1.252,103.4744,49.73498549,-140.9275179
1.253,103.56617,49.55793383,-141.0903139
1.254,103.58179,49.38088606,-141.2530248
1.255,103.29762,49.20384224,-141.4156505
1.256,103.29587,49.0268024,-141.5781912
1.257,103.02212,48.84976658,-141.740647
1.258,102.81504,48.67273481,-141.9030181
1.259,102.86687,48.49570713,-142.0653044
1.26,102.81145,48.31868358,-142.2275062
1.261,102.76627,48.14166419,-142.3896235
1.262,102.45978,47.964649,-142.5516563
1.263,102.50996,47.78763804,-142.7136049
1.264,102.1382,47.61063134,-142.8754692
1.265,102.08413,47.43362894,-143.0372495
