Freq,HFSS,Analytical,Z0lver
2.043,-1.201813794,-1.0471,-1.204919701
2.044,-1.201759362,-1.0471,-1.204919701
2.045,-1.20170507,-1.0471,-1.204919701
2.046,-1.201650919,-1.0471,-1.204917684
2.047,-1.201596909,-1.0471,-1.204917684
2.048,-1.201543041,-1.0471,-1.204919028
2.049,-1.201489316,-1.0471,-1.204919701
2.05,-1.201435734,-1.0471,-1.204916339
2.051,-1.201382297,-1.0471,-1.204919701
2.052,-1.201329004,-1.0471,-1.204917684
2.053,-1.201275857,-1.0471,-1.204920373
2.054,-1.201222857,-1.0471,-1.204920373
2.055,-1.201170003,-1.0471,-1.204919028
2.056,-1.201117298,-1.0471,-1.204919028
2.057,-1.20106474,-1.0471,-1.204918356
2.058,-1.201012332,-1.0471,-1.204920373
2.059,-1.200960073,-1.0471,-1.204917011
2.06,-1.200907964,-1.0471,-1.204919701
2.061,-1.200856007,-1.0471,-1.204919701
2.062,-1.200804201,-1.0471,-1.204919028
2.063,-1.200752548,-1.0471,-1.204918356
2.064,-1.200701047,-1.0471,-1.204918356
2.065,-1.2006497,-1.0471,-1.204919028
2.066,-1.200598508,-1.0471,-1.204917011
2.067,-1.20054747,-1.0471,-1.204918356
2.068,-1.200496588,-1.0471,-1.204920373
2.069,-1.200445861,-1.0471,-1.204917684
2.07,-1.200395292,-1.0471,-1.204918356
2.071,-1.20034488,-1.0471,-1.204918356
2.072,-1.200294626,-1.0471,-1.204919028
2.073,-1.20024453,-1.0471,-1.204918356
2.074,-1.200194593,-1.0471,-1.204918356
2.075,-1.200144817,-1.0471,-1.204917011
2.076,-1.2000952,-1.0471,-1.204918356
2.077,-1.200045745,-1.0471,-1.204918356
2.078,-1.199996451,-1.0471,-1.204919701
2.079,-1.199947319,-1.0471,-1.204918356
2.08,-1.19989835,-1.0471,-1.204919701
2.081,-1.199849544,-1.0471,-1.204918356
2.082,-1.199800901,-1.0471,-1.204919701
2.083,-1.199752423,-1.0471,-1.204920373
2.084,-1.19970411,-1.0471,-1.204920373
2.085,-1.199655963,-1.0471,-1.204919701
2.086,-1.199607981,-1.0471,-1.204916339
2.087,-1.199560166,-1.0471,-1.204918356
2.088,-1.199512518,-1.0471,-1.204917011
2.089,-1.199465038,-1.0471,-1.204919028
2.09,-1.199417725,-1.0471,-1.204918356
2.091,-1.199370582,-1.0471,-1.204918356
2.092,-1.199323607,-1.0471,-1.204918356
2.093,-1.199276802,-1.0471,-1.204919028
2.094,-1.199230168,-1.0471,-1.204919028
2.095,-1.199183704,-1.0471,-1.204918356
2.096,-1.199137411,-1.0471,-1.204919701
2.097,-1.19909129,-1.0471,-1.204919028
2.098,-1.199045341,-1.0471,-1.204919701
2.099,-1.198999565,-1.0471,-1.204919701
2.1,-1.198953962,-1.0471,-1.204917684
2.101,-1.198908533,-1.0471,-1.204919028
2.102,-1.198863278,-1.0471,-1.204918356
2.103,-1.198818197,-1.0471,-1.204919701
2.104,-1.198773291,-1.0471,-1.204919028
2.105,-1.198728561,-1.0471,-1.204919701
2.106,-1.198684007,-1.0471,-1.204919701
2.107,-1.198639629,-1.0471,-1.204917684
2.108,-1.198595429,-1.0471,-1.204917684
2.109,-1.198551405,-1.0471,-1.204917684
2.11,-1.198507559,-1.0471,-1.204917684
2.111,-1.198463892,-1.0471,-1.204917684
2.112,-1.198420402,-1.0471,-1.204917684
2.113,-1.198377092,-1.0471,-1.204917684
2.114,-1.198333962,-1.0471,-1.204917684
2.115,-1.198291011,-1.0471,-1.204917684
2.116,-1.198248241,-1.0471,-1.204917684
2.117,-1.198205651,-1.0471,-1.204917684
2.118,-1.198163242,-1.0471,-1.204917684
2.119,-1.198121015,-1.0471,-1.204917684
2.12,-1.19807897,-1.0471,-1.204917684
2.121,-1.198037107,-1.0471,-1.204917684
2.122,-1.197995427,-1.0471,-1.204917684
2.123,-1.197953929,-1.0471,-1.204917684
2.124,-1.197912616,-1.0471,-1.204917684
2.125,-1.197871486,-1.0471,-1.204917684
2.126,-1.19783054,-1.0471,-1.204917684
2.127,-1.197789778,-1.0471,-1.204917684
2.128,-1.197749202,-1.0471,-1.204917684
2.129,-1.197708811,-1.0471,-1.204917684
2.13,-1.197668605,-1.0471,-1.204917684
2.131,-1.197628585,-1.0471,-1.204917684
2.132,-1.197588752,-1.0471,-1.204917684
2.133,-1.197549105,-1.0471,-1.204917684
2.134,-1.197509646,-1.0471,-1.204917684
2.135,-1.197470373,-1.0471,-1.204917684
2.136,-1.197431288,-1.0471,-1.204917684
2.137,-1.197392391,-1.0471,-1.204917684
2.138,-1.197353683,-1.0471,-1.204917684
2.139,-1.197315162,-1.0471,-1.204917684
2.14,-1.197276831,-1.0471,-1.204917684
2.141,-1.197238689,-1.0471,-1.204917684
2.142,-1.197200737,-1.0471,-1.204917684
2.143,-1.197162974,-1.0471,-1.204917684
2.144,-1.197125401,-1.0471,-1.204917684
2.145,-1.197088019,-1.0471,-1.204917684
2.146,-1.197050827,-1.0471,-1.204917684
2.147,-1.197013826,-1.0471,-1.204917684
2.148,-1.196977016,-1.0471,-1.204917684
2.149,-1.196940398,-1.0471,-1.204917684
2.15,-1.196903972,-1.0471,-1.204917684
2.151,-1.196867737,-1.0471,-1.204917684
2.152,-1.196831695,-1.0471,-1.204917684
2.153,-1.196795845,-1.0471,-1.204917684
2.154,-1.196760188,-1.0471,-1.204917684
2.155,-1.196724724,-1.0471,-1.204917684
2.156,-1.196689454,-1.0471,-1.204917684
2.157,-1.196654376,-1.0471,-1.204917684
2.158,-1.196619493,-1.0471,-1.204917684
2.159,-1.196584803,-1.0471,-1.204917684
2.16,-1.196550308,-1.0471,-1.204917684
2.161,-1.196516006,-1.0471,-1.204917684
2.162,-1.1964819,-1.0471,-1.204917684
2.163,-1.196447988,-1.0471,-1.204917684
2.164,-1.196414271,-1.0471,-1.204917684
2.165,-1.19638075,-1.0471,-1.204917684
2.166,-1.196347424,-1.0471,-1.204917684
2.167,-1.196314293,-1.0471,-1.204917684
2.168,-1.196281359,-1.0471,-1.204917684
2.169,-1.19624862,-1.0471,-1.204917684
2.17,-1.196216077,-1.0471,-1.204917684
2.171,-1.196183731,-1.0471,-1.204917684
2.172,-1.196151581,-1.0471,-1.204917684
2.173,-1.196119628,-1.0471,-1.204917684
2.174,-1.196087872,-1.0471,-1.204917684
2.175,-1.196056313,-1.0471,-1.204917684
2.176,-1.196024951,-1.0471,-1.204917684
2.177,-1.195993786,-1.0471,-1.204917684
