Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1.14,-4.602375236,-4.6483164,-7.737631191,-7.3823204,-5.820902311,-5.495172,-7.535124176,-6.8793511
1.141,-4.601567365,-4.6527929,-7.740160699,-7.3915815,-5.819722637,-5.5164046,-7.537116793,-6.8978043
1.142,-4.600763297,-4.6526327,-7.74269095,-7.3948503,-5.8185394,-5.4791102,-7.539109399,-6.90099
1.143,-4.599963042,-4.6341262,-7.745221927,-7.3598866,-5.817352595,-5.4789801,-7.541101991,-6.8758383
1.144,-4.599166607,-4.6491308,-7.747753613,-7.4093914,-5.816162219,-5.4734888,-7.543094569,-6.8998652
1.145,-4.598374004,-4.6147866,-7.750285993,-7.3751116,-5.814968266,-5.4882431,-7.54508713,-6.890625
1.146,-4.59758524,-4.6020622,-7.752819048,-7.3577962,-5.813770733,-5.4767914,-7.547079672,-6.8758492
1.147,-4.596800326,-4.5801744,-7.755352763,-7.3635597,-5.812569613,-5.4710088,-7.549072193,-6.8566694
1.148,-4.596019269,-4.6462045,-7.757887121,-7.372869,-5.811364904,-5.5093436,-7.551064693,-6.8989573
1.149,-4.59524208,-4.6425085,-7.760422104,-7.4044108,-5.810156599,-5.469986,-7.553057168,-6.9112725
1.15,-4.594468767,-4.6302028,-7.762957697,-7.3995752,-5.808944696,-5.5020728,-7.555049618,-6.9103775
1.151,-4.59369934,-4.6113644,-7.765493882,-7.4065132,-5.807729189,-5.4922137,-7.557042041,-6.9283624
1.152,-4.592933808,-4.6415777,-7.768030643,-7.3929043,-5.806510073,-5.451961,-7.559034434,-6.8871875
1.153,-4.592172181,-4.6069474,-7.770567962,-7.3890009,-5.805287344,-5.4849877,-7.561026797,-6.9233212
1.154,-4.591414467,-4.6319089,-7.773105823,-7.4217291,-5.804060998,-5.495348,-7.563019127,-6.91219
1.155,-4.590660677,-4.6118221,-7.775644209,-7.4191513,-5.80283103,-5.4749079,-7.565011423,-6.9348483
1.156,-4.589910818,-4.6048498,-7.778183103,-7.3855066,-5.801597436,-5.4509602,-7.567003682,-6.8856316
1.157,-4.589164902,-4.5915594,-7.780722487,-7.4178419,-5.80036021,-5.4627523,-7.568995904,-6.9206266
1.158,-4.588422936,-4.6014829,-7.783262345,-7.429491,-5.79911935,-5.4719453,-7.570988086,-6.9057288
1.159,-4.587684931,-4.6069946,-7.78580266,-7.4306054,-5.797874849,-5.4804764,-7.572980227,-6.9366012
1.16,-4.586950896,-4.6156907,-7.788343414,-7.4146895,-5.796626703,-5.4421816,-7.574972325,-6.9057064
1.161,-4.58622084,-4.5992198,-7.790884591,-7.4093804,-5.795374909,-5.4536686,-7.576964378,-6.9103975
1.162,-4.585494773,-4.5973697,-7.793426174,-7.4341226,-5.794119461,-5.452405,-7.578956385,-6.9459276
1.163,-4.584772705,-4.6285439,-7.795968144,-7.4539576,-5.792860355,-5.4723363,-7.580948343,-6.956018
1.164,-4.584054644,-4.583684,-7.798510485,-7.4348578,-5.791597587,-5.496985,-7.582940252,-6.934381
1.165,-4.5833406,-4.622313,-7.801053181,-7.4280453,-5.790331152,-5.4500842,-7.584932109,-6.9370732
1.166,-4.582630584,-4.6037097,-7.803596212,-7.4258671,-5.789061045,-5.4387555,-7.586923912,-6.9249353
1.167,-4.581924603,-4.6017222,-7.806139563,-7.4305477,-5.787787263,-5.4322176,-7.58891566,-6.9187503
1.168,-4.581222669,-4.586504,-7.808683216,-7.4439464,-5.7865098,-5.464211,-7.590907352,-6.9365826
1.169,-4.58052479,-4.6305695,-7.811227154,-7.430192,-5.785228653,-5.463151,-7.592898985,-6.9316792
1.17,-4.579830977,-4.5935111,-7.813771358,-7.4485178,-5.783943816,-5.4575949,-7.594890558,-6.909977
1.171,-4.579141238,-4.6182137,-7.816315813,-7.4284711,-5.782655286,-5.4285302,-7.596882068,-6.9276495
1.172,-4.578455584,-4.5951395,-7.8188605,-7.438128,-5.781363057,-5.4324813,-7.598873516,-6.9397111
1.173,-4.577774024,-4.6215172,-7.821405402,-7.4484911,-5.780067127,-5.4512606,-7.600864898,-6.9371748
1.174,-4.577096568,-4.627172,-7.823950502,-7.4864168,-5.778767489,-5.4449401,-7.602856213,-6.9895997
1.175,-4.576423226,-4.5917945,-7.826495782,-7.4459977,-5.77746414,-5.4408813,-7.604847459,-6.9358964
1.176,-4.575754006,-4.5783629,-7.829041224,-7.4313946,-5.776157075,-5.4052553,-7.606838635,-6.9348202
1.177,-4.575088921,-4.6275272,-7.831586812,-7.4925728,-5.77484629,-5.4794092,-7.608829739,-6.9797211
1.178,-4.574427978,-4.596148,-7.834132527,-7.4687009,-5.773531781,-5.4029274,-7.610820769,-6.9373889
1.179,-4.573771187,-4.6058116,-7.836678352,-7.4681082,-5.772213542,-5.4216251,-7.612811724,-6.9486704
1.18,-4.573118559,-4.5891061,-7.839224269,-7.456202,-5.770891571,-5.3888493,-7.614802602,-6.9244804
1.181,-4.572470104,-4.6169491,-7.841770261,-7.4609709,-5.769565861,-5.4426017,-7.616793401,-6.9387455
1.182,-4.571825831,-4.5591755,-7.84431631,-7.466856,-5.76823641,-5.4171529,-7.61878412,-6.9412808
1.183,-4.57118575,-4.5994158,-7.846862399,-7.4915223,-5.766903212,-5.4302649,-7.620774757,-6.9464426
1.184,-4.570549871,-4.6220908,-7.849408509,-7.501945,-5.765566263,-5.4417596,-7.62276531,-6.9874535
1.185,-4.569918205,-4.6131363,-7.851954623,-7.5030398,-5.764225559,-5.4271684,-7.624755778,-6.9548459
1.186,-4.56929076,-4.6094956,-7.854500724,-7.4792933,-5.762881096,-5.3934422,-7.626746159,-6.9618664
1.187,-4.568667547,-4.6145973,-7.857046793,-7.4919605,-5.761532869,-5.4313111,-7.628736451,-6.9605689
1.188,-4.568048576,-4.5703835,-7.859592812,-7.4907932,-5.760180873,-5.4048867,-7.630726654,-6.976614
1.189,-4.567433858,-4.5875058,-7.862138765,-7.4999123,-5.758825105,-5.4244051,-7.632716764,-6.9515047
1.19,-4.566823401,-4.5915351,-7.864684632,-7.4797263,-5.75746556,-5.3905368,-7.634706782,-6.9307642
1.191,-4.566217216,-4.5952878,-7.867230397,-7.4885607,-5.756102234,-5.4043646,-7.636696704,-6.9909406
1.192,-4.565615314,-4.5890031,-7.869776041,-7.474894,-5.754735123,-5.4164195,-7.63868653,-6.9588118
1.193,-4.565017704,-4.5976405,-7.872321546,-7.4743834,-5.753364222,-5.3978863,-7.640676258,-6.9748983
1.194,-4.564424396,-4.57932,-7.874866895,-7.4841924,-5.751989526,-5.4020581,-7.642665886,-6.9616852
1.195,-4.563835401,-4.6058207,-7.877412069,-7.5020061,-5.750611033,-5.4054923,-7.644655413,-6.98736
1.196,-4.563250729,-4.5838218,-7.879957051,-7.488194,-5.749228736,-5.4150276,-7.646644837,-6.9784145
1.197,-4.56267039,-4.5841942,-7.882501822,-7.4951277,-5.747842633,-5.3833818,-7.648634156,-6.9769568
1.198,-4.562094394,-4.6018672,-7.885046365,-7.5118194,-5.746452719,-5.4010839,-7.65062337,-6.9859738
1.199,-4.561522751,-4.6002116,-7.887590661,-7.5097928,-5.745058989,-5.3906498,-7.652612476,-6.9708037
1.2,-4.560955473,-4.5628457,-7.890134693,-7.5143805,-5.743661439,-5.3916888,-7.654601474,-6.9893022
1.201,-4.560392568,-4.5796785,-7.892678442,-7.4902139,-5.742260066,-5.381568,-7.65659036,-6.955646
1.202,-4.559834048,-4.5850334,-7.895221891,-7.509583,-5.740854864,-5.3951263,-7.658579135,-7.0047131
1.203,-4.559279922,-4.606503,-7.89776502,-7.516767,-5.73944583,-5.4130044,-7.660567796,-7.0314465
1.204,-4.558730202,-4.5987701,-7.900307813,-7.5060501,-5.738032959,-5.403317,-7.662556343,-7.0209308
1.205,-4.558184897,-4.5841298,-7.90285025,-7.5247803,-5.736616247,-5.3878098,-7.664544772,-7.0005302
1.206,-4.557644018,-4.6026373,-7.905392314,-7.5419779,-5.73519569,-5.4050517,-7.666533084,-6.9848137
1.207,-4.557107576,-4.5980968,-7.907933986,-7.5319829,-5.733771284,-5.3973675,-7.668521276,-6.9959726
1.208,-4.55657558,-4.5652094,-7.910475249,-7.5283136,-5.732343024,-5.3861618,-7.670509347,-7.0072894
1.209,-4.556048042,-4.5788722,-7.913016083,-7.524116,-5.730910907,-5.3874264,-7.672497296,-6.9924016
1.21,-4.555524972,-4.5741787,-7.915556471,-7.5691967,-5.729474927,-5.4076767,-7.674485122,-7.0458422
1.211,-4.55500638,-4.5764055,-7.918096395,-7.5458422,-5.728035082,-5.3880095,-7.676472822,-7.0131011
1.212,-4.554492277,-4.5701303,-7.920635835,-7.5233245,-5.726591366,-5.3772221,-7.678460395,-6.9881587
1.213,-4.553982673,-4.6099796,-7.923174774,-7.5249681,-5.725143776,-5.3677363,-7.68044784,-6.9905758
1.214,-4.55347758,-4.5919819,-7.925713194,-7.5393434,-5.723692307,-5.3579311,-7.682435156,-6.9951138
1.215,-4.552977007,-4.5712833,-7.928251075,-7.5369153,-5.722236956,-5.3634715,-7.684422341,-7.019073
1.216,-4.552480966,-4.5500188,-7.9307884,-7.5419769,-5.720777718,-5.3710189,-7.686409394,-6.9954462
1.217,-4.551989467,-4.5710344,-7.93332515,-7.5597358,-5.719314589,-5.3509116,-7.688396313,-7.0186658
1.218,-4.551502521,-4.5714765,-7.935861307,-7.532515,-5.717847564,-5.344758,-7.690383098,-6.9959078
1.219,-4.551020139,-4.5327911,-7.938396852,-7.5539951,-5.716376641,-5.3648028,-7.692369746,-7.0075836
1.22,-4.550542331,-4.5827556,-7.940931766,-7.5393386,-5.714901814,-5.3488379,-7.694356256,-7.0229855
1.221,-4.550069108,-4.5865064,-7.943466032,-7.55233,-5.71342308,-5.3486743,-7.696342628,-7.0053911
1.222,-4.549600481,-4.5597248,-7.945999631,-7.5544605,-5.711940434,-5.3587594,-7.69832886,-6.9967976
1.223,-4.549136461,-4.5667214,-7.948532543,-7.5619855,-5.710453872,-5.3498092,-7.70031495,-7.0330076
1.224,-4.548677058,-4.5436668,-7.951064751,-7.5359831,-5.708963391,-5.3406806,-7.702300897,-6.9899521
1.225,-4.548222285,-4.5677042,-7.953596236,-7.5626421,-5.707468987,-5.367559,-7.704286701,-7.0240235
1.226,-4.54777215,-4.5900927,-7.95612698,-7.567668,-5.705970654,-5.3343072,-7.706272359,-7.0387087
1.227,-4.547326667,-4.5864506,-7.958656963,-7.5579057,-5.704468389,-5.3819461,-7.708257871,-7.0494962
1.228,-4.546885844,-4.575531,-7.961186167,-7.6004143,-5.702962189,-5.3879147,-7.710243235,-7.0613313
1.229,-4.546449694,-4.6022644,-7.963714573,-7.5721216,-5.701452048,-5.3476286,-7.71222845,-6.9969935
