Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1.071,-4.04479596,-4.3405228,-6.730934455,-6.2670822,-12.54741427,-11.787828,-5.234582959,-5.0164056
1.072,-4.041372848,-4.3404646,-6.735102713,-6.287199,-12.5660207,-11.793585,-5.233350943,-5.0308809
1.073,-4.037950478,-4.3462067,-6.739295172,-6.3045731,-12.58463455,-11.848454,-5.232121725,-5.0451174
1.074,-4.034528893,-4.313828,-6.743511967,-6.2508144,-12.6032548,-11.818102,-5.230895343,-5.011929
1.075,-4.031108135,-4.3413343,-6.747753234,-6.3083515,-12.6218804,-11.878619,-5.229671839,-5.0365252
1.076,-4.027688245,-4.3109956,-6.752019109,-6.3060298,-12.64051028,-11.882508,-5.228451252,-5.0246034
1.077,-4.024269267,-4.2962708,-6.756309729,-6.3185797,-12.65914335,-11.901547,-5.227233623,-5.0424528
1.078,-4.020851243,-4.3083153,-6.760625232,-6.2849078,-12.6777785,-11.923793,-5.226018994,-5.0093555
1.079,-4.017434216,-4.3211083,-6.764965757,-6.3121428,-12.69641459,-11.894394,-5.224807405,-5.0200424
1.08,-4.01401823,-4.3009863,-6.769331444,-6.3193741,-12.71505045,-11.92807,-5.223598898,-5.0063758
1.081,-4.010603329,-4.2736211,-6.773722431,-6.3229523,-12.73368491,-11.957734,-5.222393515,-5.0201669
1.082,-4.007189557,-4.3089461,-6.778138861,-6.3267164,-12.75231675,-11.99378,-5.221191298,-5.0149865
1.083,-4.00377696,-4.2787147,-6.782580874,-6.3388448,-12.77094474,-11.99484,-5.219992291,-5.0292096
1.084,-4.000365581,-4.2583394,-6.787048613,-6.3018761,-12.78956761,-12.01839,-5.218796535,-4.9979668
1.085,-3.996955467,-4.269937,-6.791542221,-6.3421922,-12.8081841,-12.017393,-5.217604074,-5.0220675
1.086,-3.993546663,-4.3037596,-6.796061841,-6.347939,-12.82679288,-12.068489,-5.216414952,-5.0104251
1.087,-3.990139216,-4.2718334,-6.800607618,-6.3415146,-12.84539262,-12.058016,-5.215229212,-5.0085292
1.088,-3.986733171,-4.293736,-6.805179698,-6.3606124,-12.86398196,-12.080563,-5.214046899,-5.0169387
1.089,-3.983328576,-4.2940226,-6.809778226,-6.3397155,-12.8825595,-12.067688,-5.212868056,-5.0032592
1.09,-3.979925479,-4.2785826,-6.814403348,-6.3270769,-12.90112385,-12.105374,-5.21169273,-4.973134
1.091,-3.976523926,-4.2297363,-6.819055213,-6.3325529,-12.91967354,-12.128071,-5.210520965,-5.0007277
1.092,-3.973123966,-4.2800884,-6.823733969,-6.3668346,-12.93820712,-12.163504,-5.209352806,-4.997889
1.093,-3.969725648,-4.2490883,-6.828439764,-6.3710227,-12.95672309,-12.108305,-5.2081883,-4.9927211
1.094,-3.96632902,-4.2182088,-6.833172748,-6.3983779,-12.97521991,-12.181141,-5.207027493,-4.9975209
1.095,-3.962934131,-4.2452426,-6.837933072,-6.3704867,-12.99369603,-12.180944,-5.20587043,-4.974515
1.096,-3.959541032,-4.2462478,-6.842720887,-6.4024353,-13.01214988,-12.197942,-5.20471716,-4.9940243
1.097,-3.956149772,-4.2158689,-6.847536346,-6.3836102,-13.03057984,-12.238793,-5.203567729,-4.9898314
1.098,-3.952760402,-4.2308588,-6.8523796,-6.4062142,-13.04898427,-12.223549,-5.202422185,-4.9774261
1.099,-3.949372972,-4.2504501,-6.857250804,-6.4252257,-13.06736149,-12.297097,-5.201280575,-4.993022
1.1,-3.945987534,-4.2667284,-6.862150111,-6.4370804,-13.08570981,-12.284669,-5.200142949,-5.0020056
1.101,-3.94260414,-4.2086525,-6.867077678,-6.4523478,-13.10402749,-12.314027,-5.199009354,-5.0143261
1.102,-3.939222842,-4.2355514,-6.872033659,-6.4205093,-13.12231278,-12.329698,-5.19787984,-5.0108752
1.103,-3.935843692,-4.2582526,-6.877018212,-6.4237623,-13.14056388,-12.336092,-5.196754456,-4.9926267
1.104,-3.932466743,-4.2282901,-6.882031495,-6.4382544,-13.15877896,-12.364917,-5.195633252,-4.9741158
1.105,-3.929092049,-4.2297597,-6.887073664,-6.4669919,-13.17695618,-12.361784,-5.194516278,-4.9939404
1.106,-3.925719663,-4.2002821,-6.89214488,-6.4430518,-13.19509365,-12.356311,-5.193403584,-4.9800825
1.107,-3.922349641,-4.2043591,-6.897245303,-6.448266,-13.21318944,-12.399302,-5.192295221,-5.0078611
1.108,-3.918982035,-4.2259541,-6.902375092,-6.4459314,-13.23124162,-12.425203,-5.19119124,-5.0008793
1.109,-3.915616902,-4.1865425,-6.90753441,-6.437366,-13.24924819,-12.410847,-5.190091693,-4.9742036
