!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1328000000,-4.6841841,147.52684
1329000000,-4.700799,147.48737
1330000000,-4.6584964,147.36365
1331000000,-4.6934595,147.45219
1332000000,-4.6532927,147.42917
1333000000,-4.6723156,147.2849
1334000000,-4.6712408,147.05582
1335000000,-4.6637926,147.11211
1336000000,-4.6466475,147.13719
1337000000,-4.6739492,147.03114
1338000000,-4.670907,147.10326
1339000000,-4.6839252,146.94975
1340000000,-4.6633587,146.84547
1341000000,-4.684875,146.91437
1342000000,-4.6861429,146.8093
1343000000,-4.7074776,146.67513
1344000000,-4.6554651,146.76059
1345000000,-4.6658254,146.58113
1346000000,-4.6795225,146.56572
1347000000,-4.7218232,146.43762
1348000000,-4.6867867,146.50621
1349000000,-4.7154603,146.34618
1350000000,-4.6788096,146.22998
1351000000,-4.698472,146.31282
1352000000,-4.6941738,146.19748
1353000000,-4.6969666,146.13261
1354000000,-4.6916704,146.06429
1355000000,-4.7099361,146.13721
1356000000,-4.7080283,146.0968
1357000000,-4.7212462,146.01639
1358000000,-4.6913629,146.00655
1359000000,-4.7036495,145.94095
1360000000,-4.6797748,145.84691
1361000000,-4.6934838,145.76137
1362000000,-4.6910305,145.73247
1363000000,-4.7026424,145.71877
1364000000,-4.7158957,145.43797
1365000000,-4.7209172,145.51472
1366000000,-4.6941242,145.65247
1367000000,-4.7037206,145.67116
1368000000,-4.705791,145.46196
1369000000,-4.7076497,145.48286
1370000000,-4.7329011,145.36763
1371000000,-4.7121363,145.30804
1372000000,-4.7183886,145.14937
1373000000,-4.7056551,145.14023
1374000000,-4.7304592,145.20682
1375000000,-4.7093496,145.1373
1376000000,-4.718698,145.24986
1377000000,-4.7147374,144.65057
1378000000,-4.7044907,145.06966
1379000000,-4.7230506,144.79254
1380000000,-4.7220736,144.90346
1381000000,-4.7291245,144.8495
1382000000,-4.689539,144.62447
1383000000,-4.684731,144.53928
1384000000,-4.7133698,144.53667
1385000000,-4.7374263,144.64735
1386000000,-4.7297363,144.43181
1387000000,-4.7530646,144.61612
1388000000,-4.7257695,144.25482
1389000000,-4.7345414,144.36079
1390000000,-4.7354131,144.23866
1391000000,-4.7297759,144.20715
1392000000,-4.7328944,144.24214
1393000000,-4.7251191,144.31096
1394000000,-4.7389326,143.94046
1395000000,-4.7173777,143.97794
1396000000,-4.7460785,143.98824
1397000000,-4.7240572,143.94684
1398000000,-4.7207103,143.80162
1399000000,-4.7242608,143.8685
1400000000,-4.7425838,143.79306
1401000000,-4.7149549,143.61823
1402000000,-4.7257209,143.63559
1403000000,-4.7334352,143.52362
1404000000,-4.7697539,143.56313
1405000000,-4.7376719,143.26968
1406000000,-4.7527871,143.36127
1407000000,-4.7601094,143.32588
1408000000,-4.7367969,143.30496
1409000000,-4.7316389,143.38046
1410000000,-4.7361612,143.23705
1411000000,-4.7549381,143.16081
1412000000,-4.7418003,143.02234
1413000000,-4.7423096,143.06723
1414000000,-4.7568927,143.11154
1415000000,-4.7744355,143.10704
1416000000,-4.7622895,142.66554
1417000000,-4.7700953,142.92996
1418000000,-4.7707434,142.87076
