Freq,Measured,Simulated
1.168,0.07335116,-0.022366107
1.169,0.066966757,-0.022388335
1.17,0.051008929,-0.022410401
1.171,0.06362211,-0.022432306
1.172,0.067711376,-0.02245405
1.173,0.069967583,-0.022475633
1.174,0.036135212,-0.022497057
1.175,0.038729634,-0.022518321
1.176,0.054927204,-0.022539426
1.177,0.054958943,-0.022560372
1.178,0.037944481,-0.022581161
1.179,0.048539057,-0.022601792
1.18,0.056026351,-0.022622266
1.181,0.071222462,-0.022642584
1.182,0.042495143,-0.022662746
1.183,0.060669176,-0.022682752
1.184,0.04510643,-0.022702603
1.185,0.047443125,-0.022722299
1.186,0.064319678,-0.022741842
1.187,0.053671572,-0.022761231
1.188,0.055607736,-0.022780466
1.189,0.046136163,-0.022799549
1.19,0.058265876,-0.02281848
1.191,0.086032048,-0.022837259
1.192,0.028656388,-0.022855887
1.193,0.047239281,-0.022874364
1.194,0.054899927,-0.022892691
1.195,0.060508516,-0.022910869
1.196,0.059175543,-0.022928896
1.197,0.03676223,-0.022946775
1.198,0.067871049,-0.022964506
1.199,0.066424757,-0.022982089
1.2,0.057024769,-0.022999524
1.201,0.016257135,-0.023016813
1.202,0.066804379,-0.023033955
1.203,0.069386996,-0.023050951
1.204,0.070221215,-0.023067801
1.205,0.048738405,-0.023084507
1.206,0.056021471,-0.023101068
1.207,0.046550442,-0.023117484
1.208,0.044650503,-0.023133757
1.209,0.056047395,-0.023149887
1.21,0.034584317,-0.023165875
1.211,0.055912264,-0.02318172
1.212,0.069866113,-0.023197423
1.213,0.071982458,-0.023212985
1.214,0.051534832,-0.023228406
1.215,0.040083136,-0.023243687
1.216,0.029909521,-0.023258827
1.217,0.048939876,-0.023273829
1.218,0.086096138,-0.023288691
1.219,0.066739976,-0.023303415
1.22,0.049112137,-0.023318001
1.221,0.057404131,-0.023332449
1.222,0.041381314,-0.02334676
1.223,0.05718236,-0.023360934
1.224,0.047779862,-0.023374972
1.225,0.035069119,-0.023388874
1.226,0.062490098,-0.023402641
1.227,0.0304805,-0.023416273
1.228,0.04533416,-0.023429771
1.229,0.034697376,-0.023443135
1.23,0.072607428,-0.023456365
1.231,0.043562185,-0.023469462
1.232,0.0644067,-0.023482427
1.233,0.010781378,-0.023495259
1.234,0.03120207,-0.02350796
1.235,0.044986684,-0.023520529
1.236,0.055866137,-0.023532968
1.237,0.024031894,-0.023545276
1.238,0.044516463,-0.023557455
