Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
4.033,-4.4820135812,-6.7875571453,-11.5581762152,-5.3947723412
4.034,-4.4849555788,-6.7844556303,-11.5441981503,-5.3961757258
4.035,-4.4878991531,-6.7813719509,-11.5302215459,-5.3975804254
4.036,-4.4908442725,-6.7783060078,-11.5162469952,-5.3989864156
4.037,-4.4937909055,-6.7752577019,-11.5022750815,-5.4003936722
4.038,-4.4967390209,-6.7722269352,-11.4883063782,-5.4018021714
4.039,-4.4996885878,-6.7692136097,-11.4743414486,-5.4032118896
4.04,-4.5026395754,-6.7662176282,-11.4603808466,-5.4046228034
4.041,-4.5055919533,-6.7632388939,-11.4464251164,-5.4060348899
4.042,-4.5085456912,-6.7602773108,-11.4324747927,-5.4074481261
4.043,-4.5115007592,-6.757332783,-11.4185304008,-5.4088624897
4.044,-4.5144571274,-6.7544052153,-11.4045924571,-5.4102779581
4.045,-4.5174147664,-6.7514945131,-11.3906614684,-5.4116945096
4.046,-4.5203736467,-6.7486005823,-11.3767379328,-5.4131121222
4.047,-4.5233337394,-6.7457233291,-11.3628223394,-5.4145307744
4.048,-4.5262950156,-6.7428626605,-11.3489151686,-5.4159504449
4.049,-4.5292574466,-6.7400184837,-11.335016892,-5.4173711127
4.05,-4.532221004,-6.7371907066,-11.3211279727,-5.4187927571
4.051,-4.5351856597,-6.7343792375,-11.3072488654,-5.4202153573
4.052,-4.5381513857,-6.7315839853,-11.2933800165,-5.4216388932
4.053,-4.5411181542,-6.7288048593,-11.2795218638,-5.4230633447
4.054,-4.5440859377,-6.7260417694,-11.2656748375,-5.4244886918
4.055,-4.5470547089,-6.7232946257,-11.2518393595,-5.425914915
4.056,-4.5500244406,-6.7205633392,-11.2380158438,-5.4273419949
4.057,-4.5529951061,-6.717847821,-11.2242046965,-5.4287699123
4.058,-4.5559666786,-6.7151479829,-11.2104063163,-5.4301986484
4.059,-4.5589391317,-6.7124637372,-11.196621094,-5.4316281843
4.06,-4.5619124391,-6.7097949965,-11.1828494131,-5.4330585017
4.061,-4.5648865746,-6.707141674,-11.1690916496,-5.4344895822
4.062,-4.5678615126,-6.7045036833,-11.1553481722,-5.4359214078
4.063,-4.5708372274,-6.7018809386,-11.1416193425,-5.4373539606
4.064,-4.5738136934,-6.6992733544,-11.1279055149,-5.4387872232
4.065,-4.5767908855,-6.6966808457,-11.114207037,-5.4402211779
4.066,-4.5797687786,-6.694103328,-11.1005242492,-5.4416558078
4.067,-4.5827473479,-6.6915407173,-11.0868574854,-5.4430910957
4.068,-4.5857265688,-6.6889929299,-11.0732070727,-5.4445270249
4.069,-4.5887064167,-6.6864598828,-11.0595733314,-5.4459635788
4.07,-4.5916868674,-6.6839414931,-11.0459565755,-5.4474007411
4.071,-4.5946678968,-6.6814376787,-11.0323571127,-5.4488384955
4.072,-4.5976494811,-6.6789483578,-11.018775244,-5.4502768261
4.073,-4.6006315966,-6.676473449,-11.0052112644,-5.4517157171
4.074,-4.6036142198,-6.6740128713,-10.9916654628,-5.453155153
4.075,-4.6065973273,-6.6715665442,-10.9781381219,-5.4545951183
4.076,-4.609580896,-6.6691343878,-10.9646295186,-5.4560355978
4.077,-4.6125649031,-6.6667163224,-10.9511399236,-5.4574765765
4.078,-4.6155493256,-6.6643122688,-10.9376696022,-5.4589180397
4.079,-4.6185341412,-6.6619221483,-10.9242188137,-5.4603599726
4.08,-4.6215193272,-6.6595458825,-10.9107878119,-5.4618023608
4.081,-4.6245048616,-6.6571833935,-10.897376845,-5.4632451901
4.082,-4.6274907222,-6.6548346038,-10.8839861559,-5.4646884463
4.083,-4.6304768873,-6.6524994365,-10.8706159819,-5.4661321155
4.084,-4.6334633351,-6.6501778147,-10.8572665552,-5.467576184
4.085,-4.636450044,-6.6478696623,-10.8439381025,-5.4690206382
4.086,-4.6394369928,-6.6455749034,-10.8306308458,-5.4704654647
4.087,-4.6424241602,-6.6432934627,-10.8173450016,-5.4719106503
4.088,-4.6454115253,-6.6410252652,-10.8040807817,-5.473356182
4.089,-4.6483990672,-6.6387702361,-10.7908383928,-5.4748020468
4.09,-4.6513867653,-6.6365283015,-10.777618037,-5.4762482321
4.091,-4.6543745989,-6.6342993874,-10.7644199115,-5.4776947253
4.092,-4.6573625479,-6.6320834205,-10.7512442087,-5.4791415139
4.093,-4.6603505919,-6.6298803278,-10.7380911167,-5.4805885859
4.094,-4.663338711,-6.6276900366,-10.7249608187,-5.482035929
4.095,-4.6663268853,-6.6255124749,-10.7118534938,-5.4834835314
4.096,-4.6693150951,-6.6233475707,-10.6987693164,-5.4849313813
4.097,-4.6723033209,-6.6211952527,-10.6857084567,-5.4863794671
4.098,-4.6752915433,-6.6190554497,-10.6726710806,-5.4878277773
4.099,-4.6782797431,-6.6169280912,-10.6596573499,-5.4892763007
4.1,-4.6812679011,-6.614813107,-10.6466674222,-5.4907250261
4.101,-4.6842559986,-6.612710427,-10.6337014509,-5.4921739425
4.102,-4.6872440166,-6.6106199817,-10.6207595857,-5.4936230389
4.103,-4.6902319366,-6.6085417022,-10.6078419722,-5.4950723048
4.104,-4.6932197401,-6.6064755195,-10.594948752,-5.4965217295
4.105,-4.6962074088,-6.6044213653,-10.5820800632,-5.4979713026
4.106,-4.6991949246,-6.6023791717,-10.5692360398,-5.4994210138
4.107,-4.7021822693,-6.6003488708,-10.5564168125,-5.500870853
4.108,-4.7051694252,-6.5983303955,-10.543622508,-5.50232081
4.109,-4.7081563744,-6.5963236789,-10.5308532496,-5.5037708751
4.11,-4.7111430995,-6.5943286543,-10.5181091572,-5.5052210385
4.111,-4.7141295829,-6.5923452556,-10.5053903471,-5.5066712905
4.112,-4.7171158074,-6.590373417,-10.4926969322,-5.5081216217
4.113,-4.7201017557,-6.5884130729,-10.4800290221,-5.5095720228
4.114,-4.7230874109,-6.5864641583,-10.4673867231,-5.5110224843
4.115,-4.726072756,-6.5845266084,-10.4547701384,-5.5124729974
4.116,-4.7290577743,-6.5826003587,-10.4421793677,-5.5139235529
4.117,-4.7320424492,-6.5806853452,-10.4296145079,-5.515374142
4.118,-4.7350267642,-6.5787815041,-10.4170756527,-5.516824756
4.119,-4.7380107029,-6.576888772,-10.4045628928,-5.5182753863
4.12,-4.7409942492,-6.575007086,-10.3920763158,-5.5197260243
4.121,-4.7439773869,-6.5731363834,-10.3796160066,-5.5211766617
4.122,-4.7469601001,-6.5712766017,-10.3671820471,-5.5226272901
4.123,-4.7499423729,-6.5694276789,-10.3547745164,-5.5240779015
4.124,-4.7529241896,-6.5675895534,-10.3423934908,-5.5255284879
4.125,-4.7559055347,-6.5657621637,-10.3300390438,-5.5269790411
4.126,-4.7588863928,-6.563945449,-10.3177112464,-5.5284295535
4.127,-4.7618667484,-6.5621393484,-10.3054101669,-5.5298800174
4.128,-4.7648465865,-6.5603438017,-10.2931358708,-5.5313304251
4.129,-4.7678258918,-6.5585587488,-10.2808884214,-5.5327807691
4.13,-4.7708046496,-6.5567841299,-10.2686678793,-5.534231042
4.131,-4.7737828449,-6.5550198857,-10.2564743026,-5.5356812366
4.132,-4.776760463,-6.5532659571,-10.2443077471,-5.5371313457
4.133,-4.7797374893,-6.5515222854,-10.2321682661,-5.5385813621
4.134,-4.7827139094,-6.5497888121,-10.2200559107,-5.5400312789
4.135,-4.7856897089,-6.5480654792,-10.2079707296,-5.5414810891
4.136,-4.7886648735,-6.5463522287,-10.1959127693,-5.5429307861
4.137,-4.7916393892,-6.5446490033,-10.1838820741,-5.5443803631
4.138,-4.7946132419,-6.5429557457,-10.171878686,-5.5458298134
4.139,-4.7975864178,-6.5412723991,-10.159902645,-5.5472791306
4.14,-4.8005589029,-6.5395989068,-10.1479539889,-5.5487283083
4.141,-4.8035306837,-6.5379352128,-10.1360327536,-5.5501773401
4.142,-4.8065017467,-6.5362812609,-10.1241389729,-5.5516262198
4.143,-4.8094720782,-6.5346369955,-10.1122726784,-5.5530749413
4.144,-4.8124416651,-6.5330023614,-10.1004339,-5.5545234984
4.145,-4.815410494,-6.5313773033,-10.0886226657,-5.5559718852
4.146,-4.8183785518,-6.5297617666,-10.0768390014,-5.5574200958
4.147,-4.8213458256,-6.5281556969,-10.0650829312,-5.5588681244
4.148,-4.8243123023,-6.5265590398,-10.0533544777,-5.5603159652
4.149,-4.8272779692,-6.5249717417,-10.0416536612,-5.5617636127
4.15,-4.8302428135,-6.5233937488,-10.0299805006,-5.5632110612
4.151,-4.8332068227,-6.5218250078,-10.018335013,-5.5646583052
4.152,-4.8361699842,-6.5202654659,-10.0067172138,-5.5661053394
4.153,-4.8391322857,-6.5187150702,-9.9951271168,-5.5675521583
4.154,-4.8420937148,-6.5171737683,-9.983564734,-5.5689987569
4.155,-4.8450542593,-6.515641508,-9.972030076,-5.5704451297
4.156,-4.8480139071,-6.5141182375,-9.9605231517,-5.5718912718
