Freq(Hz),S32(dB)_milled,S32(dB)_HFSS,S32(dB)_z0lver
1064000000,-10.202634,-9.9668413,-11.1622459
1065000000,-10.210646,-9.973425533,-11.17044705
1066000000,-10.238541,-9.980011126,-11.17864491
1067000000,-10.236441,-9.98659809,-11.1868495
1068000000,-10.22697,-9.99318644,-11.19504895
1069000000,-10.254172,-9.999776188,-11.20325513
1070000000,-10.268863,-10.00636735,-11.21146165
1071000000,-10.241669,-10.01295993,-11.21967125
1072000000,-10.264326,-10.01955395,-11.22788027
1073000000,-10.303245,-10.02614943,-11.2360942
1074000000,-10.275352,-10.03274636,-11.24430754
1075000000,-10.293759,-10.03934478,-11.25252304
1076000000,-10.274597,-10.04594469,-11.26073703
1077000000,-10.322569,-10.0525461,-11.26895593
1078000000,-10.27797,-10.05914903,-11.27717239
1079000000,-10.29604,-10.06575348,-11.28539928
1080000000,-10.299706,-10.07235949,-11.29361912
1081000000,-10.310525,-10.07896705,-11.30184573
1082000000,-10.354845,-10.08557618,-11.31007172
1083000000,-10.361199,-10.0921869,-11.3183017
1084000000,-10.326486,-10.09879922,-11.32653292
1085000000,-10.351471,-10.10541314,-11.33476351
1086000000,-10.379667,-10.1120287,-11.34299625
1087000000,-10.372319,-10.11864589,-11.35123577
1088000000,-10.398252,-10.12526473,-11.35947281
1089000000,-10.377849,-10.13188524,-11.36771385
1090000000,-10.348009,-10.13850743,-11.37595424
1091000000,-10.381666,-10.14513131,-11.38419865
1092000000,-10.361856,-10.1517569,-11.39244241
1093000000,-10.403367,-10.15838421,-11.40069203
1094000000,-10.392953,-10.16501325,-11.40893915
1095000000,-10.392932,-10.17164404,-11.4171912
1096000000,-10.450511,-10.17827659,-11.42544633
1097000000,-10.438622,-10.18491092,-11.4337008
1098000000,-10.42562,-10.19154703,-11.44195647
1099000000,-10.449018,-10.19818495,-11.4502171
1100000000,-10.424455,-10.20482468,-11.45847518
1101000000,-10.470598,-10.21146625,-11.46674008
1102000000,-10.475094,-10.21810965,-11.47500619
1103000000,-10.488007,-10.22475492,-11.48327256
1104000000,-10.462892,-10.23140206,-11.49154295
1105000000,-10.469571,-10.23805108,-11.49981359
1106000000,-10.469335,-10.244702,-11.50808543
1107000000,-10.512797,-10.25135483,-11.51636223
1108000000,-10.519897,-10.2580096,-11.52464023
1109000000,-10.491136,-10.2646663,-11.53292036
1110000000,-10.532916,-10.27132496,-11.54120168
1111000000,-10.525644,-10.27798558,-11.54948325
1112000000,-10.510232,-10.28464819,-11.55777073
1113000000,-10.532685,-10.2913128,-11.56605656
1114000000,-10.530254,-10.29797942,-11.57434832
1115000000,-10.544749,-10.30464806,-11.58264126
1116000000,-10.543881,-10.31131875,-11.59093728
1117000000,-10.532024,-10.31799148,-11.59923449
1118000000,-10.584217,-10.32466629,-11.60753288
1119000000,-10.560959,-10.33134317,-11.6158334
1120000000,-10.595125,-10.33802215,-11.62413605
1121000000,-10.587985,-10.34470324,-11.63244274
1122000000,-10.598371,-10.35138645,-11.64074966
1123000000,-10.571243,-10.35807181,-11.64906252
1124000000,-10.578753,-10.36475931,-11.65737274
1125000000,-10.60705,-10.37144898,-11.66568796
1126000000,-10.626793,-10.37814084,-11.67400626
1127000000,-10.621049,-10.38483488,-11.6823267
1128000000,-10.663734,-10.39153114,-11.69064736
1129000000,-10.651869,-10.39822962,-11.69897302
