Freq(Hz),S21 Log Mag(dB),S21 Phase(¡)
1063000000,-10.181127,-150.79814
1064000000,-10.202634,-150.90715
1065000000,-10.210646,-151.32384
1066000000,-10.238541,-151.41034
1067000000,-10.236441,-151.54503
1068000000,-10.22697,-151.59293
1069000000,-10.254172,-151.43889
1070000000,-10.268863,-151.6093
1071000000,-10.241669,-151.92261
1072000000,-10.264326,-151.89133
1073000000,-10.303245,-151.87845
1074000000,-10.275352,-152.19185
1075000000,-10.293759,-152.38765
1076000000,-10.274597,-152.54509
1077000000,-10.322569,-152.7493
1078000000,-10.27797,-152.82423
1079000000,-10.29604,-152.90192
1080000000,-10.299706,-152.97586
1081000000,-10.310525,-152.94641
1082000000,-10.354845,-153.19374
1083000000,-10.361199,-153.38493
1084000000,-10.326486,-153.41692
1085000000,-10.351471,-153.60567
1086000000,-10.379667,-153.7744
1087000000,-10.372319,-153.90762
1088000000,-10.398252,-154.03763
1089000000,-10.377849,-154.0481
1090000000,-10.348009,-154.26804
1091000000,-10.381666,-154.38539
1092000000,-10.361856,-154.33687
1093000000,-10.403367,-154.59894
1094000000,-10.392953,-154.73514
1095000000,-10.392932,-154.74344
1096000000,-10.450511,-154.82074
1097000000,-10.438622,-155.04617
1098000000,-10.42562,-155.09821
1099000000,-10.449018,-155.44133
1100000000,-10.424455,-155.31616
1101000000,-10.470598,-155.63936
1102000000,-10.475094,-155.76207
1103000000,-10.488007,-155.71259
1104000000,-10.462892,-155.88171
1105000000,-10.469571,-156.11435
1106000000,-10.469335,-156.12094
1107000000,-10.512797,-156.12805
1108000000,-10.519897,-156.3109
1109000000,-10.491136,-156.41039
1110000000,-10.532916,-156.64525
1111000000,-10.525644,-156.60037
1112000000,-10.510232,-156.90884
1113000000,-10.532685,-157.00728
1114000000,-10.530254,-157.30138
1115000000,-10.544749,-156.87222
1116000000,-10.543881,-157.3782
1117000000,-10.532024,-157.4312
1118000000,-10.584217,-157.5909
1119000000,-10.560959,-157.72708
1120000000,-10.595125,-157.7771
1121000000,-10.587985,-157.95116
1122000000,-10.598371,-158.17737
1123000000,-10.571243,-157.97264
1124000000,-10.578753,-158.26369
1125000000,-10.60705,-158.40353
1126000000,-10.626793,-158.60042
1127000000,-10.621049,-158.53275
1128000000,-10.663734,-158.86668
1129000000,-10.651869,-159.01129
1130000000,-10.663339,-159.16167
1131000000,-10.610091,-159.25116
1132000000,-10.651902,-159.10336
1133000000,-10.657561,-159.60838
1134000000,-10.691261,-159.77344
1135000000,-10.710342,-159.61465
1136000000,-10.69614,-159.8159
1137000000,-10.706781,-159.81531
1138000000,-10.707919,-159.99721
1139000000,-10.731966,-160.09691
1140000000,-10.738436,-160.34682
1141000000,-10.743497,-160.45541
1142000000,-10.748964,-160.47791
1143000000,-10.721813,-160.4575
1144000000,-10.748817,-160.69496
1145000000,-10.74229,-160.88982
1146000000,-10.738216,-160.6777
1147000000,-10.742579,-161.06796
1148000000,-10.773067,-161.30267
1149000000,-10.770821,-161.2072
1150000000,-10.792253,-161.29871
1151000000,-10.799948,-161.40034
1152000000,-10.774674,-161.75192
1153000000,-10.792825,-161.69199
1154000000,-10.821312,-162.01503
1155000000,-10.809521,-162.01791
1156000000,-10.801022,-162.11079
1157000000,-10.81778,-162.22498
1158000000,-10.839805,-162.47716
1159000000,-10.864226,-162.65175
1160000000,-10.867642,-162.73619
1161000000,-10.850175,-162.64093
1162000000,-10.852784,-162.91724
1163000000,-10.875602,-163.05522
1164000000,-10.878407,-163.23434
1165000000,-10.86959,-163.19255
1166000000,-10.877916,-163.36879
1167000000,-10.896549,-163.5784
1168000000,-10.903621,-163.59398
1169000000,-10.911061,-163.617
1170000000,-10.914454,-163.9446
1171000000,-10.915903,-164.06862
1172000000,-10.927696,-163.97568
1173000000,-10.94289,-164.09575
1174000000,-10.952879,-164.04456
1175000000,-10.947335,-164.5452
1176000000,-10.958464,-164.59842
1177000000,-10.991856,-164.72794
1178000000,-10.964224,-164.76418
1179000000,-10.982199,-164.85043
1180000000,-10.983574,-165.11757
1181000000,-11.006876,-165.1356
1182000000,-11.021548,-165.23727
1183000000,-10.995149,-165.52344
1184000000,-11.032818,-165.47478
1185000000,-11.039273,-165.46283
1186000000,-11.051503,-165.60916
1187000000,-11.028689,-165.99617
1188000000,-11.044275,-165.89221
1189000000,-11.061044,-166.35179
1190000000,-11.034772,-166.37015
1191000000,-11.049726,-166.241
1192000000,-11.055412,-166.53065
1193000000,-11.087544,-166.61879
1194000000,-11.112437,-166.59683
1195000000,-11.0963,-166.85037
1196000000,-11.086001,-167.08461
1197000000,-11.10846,-167.27052
1198000000,-11.094446,-167.3297
1199000000,-11.116816,-167.32539
1200000000,-11.111794,-167.80046
1201000000,-11.148822,-167.59663
1202000000,-11.137229,-167.67557
1203000000,-11.161839,-167.81227
1204000000,-11.131238,-168.18549
1205000000,-11.158484,-168.11708
1206000000,-11.177249,-168.04417
1207000000,-11.190998,-168.15369
1208000000,-11.202482,-168.26811
1209000000,-11.184729,-168.41394
1210000000,-11.2348,-168.61584
1211000000,-11.223797,-168.6678
1212000000,-11.207029,-168.79558
1213000000,-11.233774,-168.99608
1214000000,-11.257304,-169.08871
1215000000,-11.227412,-169.17064
1216000000,-11.236295,-169.18393
1217000000,-11.238113,-169.56323
1218000000,-11.231858,-169.62344
1219000000,-11.245605,-169.69005
1220000000,-11.270048,-169.68251
1221000000,-11.256651,-170.0331
1222000000,-11.310158,-170.08862
1223000000,-11.281476,-170.35547
1224000000,-11.281071,-170.23514
1225000000,-11.281023,-170.4236
1226000000,-11.305648,-170.62738
1227000000,-11.316729,-170.57219
1228000000,-11.325446,-170.80936
1229000000,-11.304765,-170.74594
1230000000,-11.348132,-171.04062
1231000000,-11.352738,-171.15201
1232000000,-11.393615,-171.2408
1233000000,-11.338181,-171.57016
1234000000,-11.388732,-171.44099
1235000000,-11.362889,-171.69969
1236000000,-11.377585,-171.68454
1237000000,-11.384791,-171.93488
1238000000,-11.38697,-171.96902
1239000000,-11.40678,-172.16281
1240000000,-11.405431,-172.20032
1241000000,-11.409428,-172.24329
1242000000,-11.444591,-172.44371
1243000000,-11.413763,-172.75058
1244000000,-11.441752,-172.60748
1245000000,-11.438635,-172.79028
1246000000,-11.430734,-172.90321
1247000000,-11.459743,-173.21857
1248000000,-11.466923,-173.11426
1249000000,-11.459036,-173.29805
1250000000,-11.484996,-173.37947
1251000000,-11.46927,-173.66272
1252000000,-11.476719,-173.87015
1253000000,-11.510497,-173.7975
1254000000,-11.539649,-174.0423
1255000000,-11.505107,-173.93382
1256000000,-11.513577,-174.21426
1257000000,-11.50036,-174.27875
1258000000,-11.529825,-174.41843
1259000000,-11.537996,-174.59627
1260000000,-11.56813,-174.5809
1261000000,-11.575989,-174.66122
1262000000,-11.56179,-174.92543
1263000000,-11.545028,-175.15628
1264000000,-11.585882,-175.01559
1265000000,-11.577779,-175.12859
1266000000,-11.597495,-175.20686
1267000000,-11.578665,-175.43175
1268000000,-11.601113,-175.59897
1269000000,-11.573347,-175.61206
1270000000,-11.674026,-175.88342
1271000000,-11.631222,-175.92458
1272000000,-11.624829,-176.1797
1273000000,-11.659373,-176.08954
1274000000,-11.642654,-176.36456
1275000000,-11.638885,-176.56606
1276000000,-11.68793,-176.49602
1277000000,-11.657631,-176.69032
1278000000,-11.651483,-176.53496
1279000000,-11.702495,-176.77481
1280000000,-11.675127,-177.13208
1281000000,-11.713819,-177.08388
1282000000,-11.735543,-177.21635
1283000000,-11.75102,-177.57809
1284000000,-11.65337,-177.52562
1285000000,-11.737588,-177.62283
1286000000,-11.756185,-177.74202
1287000000,-11.74124,-177.71736
1288000000,-11.734075,-178.05319
1289000000,-11.762783,-178.27322
1290000000,-11.783761,-178.08276
1291000000,-11.760077,-178.37563
1292000000,-11.757284,-178.47543
1293000000,-11.804934,-178.63033
1294000000,-11.795684,-178.69838
1295000000,-11.814222,-178.77521
1296000000,-11.810009,-178.78731
1297000000,-11.848019,-179.0594
1298000000,-11.847648,-179.25494
1299000000,-11.815151,-179.29684
1300000000,-11.827709,-179.48465
1301000000,-11.879101,-179.47662
1302000000,-11.811334,-179.72139
1303000000,-11.866416,-179.96075
1304000000,-11.879582,-179.76147
1305000000,-11.878962,-179.95468
1306000000,-11.897859,-179.94661
1307000000,-11.876163,-180.34987
1308000000,-11.912449,-180.2377
1309000000,-11.911706,-180.41032
1310000000,-11.914876,-180.67085
1311000000,-11.92276,-180.64706
1312000000,-11.903742,-180.79262
1313000000,-11.933407,-180.98267
1314000000,-11.948262,-181.15266
1315000000,-11.955212,-181.35457
1316000000,-11.944869,-181.30466
1317000000,-11.972119,-181.45331
1318000000,-11.962393,-181.51004
1319000000,-11.957236,-181.67882
1320000000,-11.984562,-181.8824
1321000000,-11.979937,-181.96059
1322000000,-12.014848,-181.94649
1323000000,-12.036642,-182.23712
1324000000,-12.017223,-182.2377
1325000000,-12.031289,-182.35794
1326000000,-12.053198,-182.38025
1327000000,-12.035142,-182.50142
1328000000,-12.038728,-182.7227
1329000000,-12.092933,-182.77103
1330000000,-12.079594,-182.98619
1331000000,-12.092505,-183.21204
1332000000,-12.067787,-183.30426
1333000000,-12.115682,-183.47641
1334000000,-12.085985,-183.72372
1335000000,-12.096801,-183.66478
1336000000,-12.111404,-183.83565
1337000000,-12.108887,-183.90341
1338000000,-12.133036,-183.90678
1339000000,-12.16304,-184.25786
1340000000,-12.174239,-184.08722
1341000000,-12.160305,-184.27429
1342000000,-12.132077,-184.55296
1343000000,-12.204151,-184.60165
1344000000,-12.19381,-184.70398
1345000000,-12.212112,-184.92992
1346000000,-12.204008,-184.94873
1347000000,-12.220055,-185.18909
1348000000,-12.20362,-185.2222
1349000000,-12.231124,-185.25221
1350000000,-12.246336,-185.4425
1351000000,-12.245411,-185.49562
1352000000,-12.241734,-185.61375
1353000000,-12.216747,-185.86826
1354000000,-12.254987,-185.80139
1355000000,-12.280052,-185.9543
1356000000,-12.26827,-186.1655
1357000000,-12.273482,-186.32628
1358000000,-12.29045,-186.35855
1359000000,-12.277444,-186.53227
1360000000,-12.285776,-186.78232
1361000000,-12.309966,-186.92111
1362000000,-12.3199,-186.96465
1363000000,-12.290725,-187.10088
1364000000,-12.34198,-187.29622
1365000000,-12.335023,-187.29126
1366000000,-12.350969,-187.23582
1367000000,-12.35494,-187.4631
1368000000,-12.360417,-187.74408
1369000000,-12.360366,-187.65271
1370000000,-12.396445,-187.8046
1371000000,-12.390024,-187.81537
1372000000,-12.383794,-188.08521
1373000000,-12.388513,-188.35028
1374000000,-12.380347,-188.37329
1375000000,-12.423077,-188.55766
1376000000,-12.429875,-188.46472
1377000000,-12.453958,-188.6752
1378000000,-12.462092,-188.80847
1379000000,-12.458539,-188.87405
1380000000,-12.50093,-189.01878
1381000000,-12.48455,-189.2719
1382000000,-12.497105,-189.47041
1383000000,-12.486896,-189.29964
1384000000,-12.512819,-189.49767
1385000000,-12.510158,-189.55115
1386000000,-12.501145,-189.7766
1387000000,-12.533133,-189.81259
1388000000,-12.567643,-189.84622
1389000000,-12.538614,-190.15726
1390000000,-12.567464,-190.40565
1391000000,-12.549843,-190.31458
1392000000,-12.565123,-190.37846
1393000000,-12.576283,-190.55981
1394000000,-12.597985,-190.87247
1395000000,-12.563742,-190.70808
1396000000,-12.616751,-190.88885
1397000000,-12.625132,-190.96284
1398000000,-12.607918,-191.10048
1399000000,-12.608641,-190.92348
1400000000,-12.650478,-191.74837
1401000000,-12.596419,-191.59366
1402000000,-12.643952,-191.3943
1403000000,-12.652451,-191.86099
1404000000,-12.691178,-191.79605
1405000000,-12.654976,-192.16861
1406000000,-12.660453,-192.31578
1407000000,-12.702042,-192.14044
1408000000,-12.703304,-192.36957
1409000000,-12.672344,-192.40576
1410000000,-12.716947,-192.60997
1411000000,-12.719654,-192.77425
1412000000,-12.732467,-192.97333
1413000000,-12.70505,-192.88496
1414000000,-12.754125,-193.01443
1415000000,-12.753123,-193.16611
1416000000,-12.737221,-193.43828
1417000000,-12.78056,-193.49913
1418000000,-12.766423,-193.48177
1419000000,-12.792375,-193.74181
1420000000,-12.800804,-193.70963
1421000000,-12.82244,-193.88304
1422000000,-12.823028,-193.85587
1423000000,-12.780082,-193.9015
1424000000,-12.838131,-194.13551
1425000000,-12.832814,-194.35008
1426000000,-12.845551,-194.37869
1427000000,-12.864121,-194.57802
1428000000,-12.850616,-194.65303
1429000000,-12.863262,-194.7402
1430000000,-12.900084,-194.89021
1431000000,-12.871734,-195.18707
1432000000,-12.900528,-195.18344
1433000000,-12.932403,-195.41705
1434000000,-12.889698,-195.2856
1435000000,-12.903212,-195.62228
1436000000,-12.910633,-195.66786
1437000000,-12.960359,-195.93521
1438000000,-12.950994,-195.99734
1439000000,-13.001419,-195.99326
1440000000,-12.965875,-196.12407
1441000000,-12.977811,-196.07657
1442000000,-13.004443,-196.29372
1443000000,-12.979153,-196.57471
1444000000,-12.990041,-196.61217
1445000000,-13.022185,-196.65381
1446000000,-13.0138,-196.98422
1447000000,-13.010727,-196.80148
1448000000,-13.038412,-197.04173
1449000000,-13.048633,-197.20541
1450000000,-13.064083,-197.29997
1451000000,-13.077721,-197.43616
1452000000,-13.040815,-197.49152
1453000000,-13.104148,-197.81096
1454000000,-13.095788,-197.80392
1455000000,-13.125947,-197.95743
1456000000,-13.104053,-198.198
1457000000,-13.091468,-198.17757
1458000000,-13.141542,-198.50656
1459000000,-13.148873,-198.35248
1460000000,-13.138751,-198.49446
1461000000,-13.146439,-198.79411
1462000000,-13.148362,-198.81702
1463000000,-13.191527,-198.99313
1464000000,-13.18184,-199.09888
1465000000,-13.219267,-199.29782
1466000000,-13.222063,-199.09262
1467000000,-13.186456,-199.60875
1468000000,-13.202514,-199.50233
1469000000,-13.223532,-199.71291
1470000000,-13.234575,-199.72412
1471000000,-13.211466,-199.78743
1472000000,-13.245313,-200.18022
1473000000,-13.282557,-200.19168
1474000000,-13.272666,-200.16409
1475000000,-13.27501,-200.3443
1476000000,-13.256153,-200.36823
1477000000,-13.298563,-200.34839
1478000000,-13.331153,-200.62029
1479000000,-13.297958,-200.81848
1480000000,-13.314445,-201.07306
1481000000,-13.308594,-201.01688
1482000000,-13.334281,-201.28526
1483000000,-13.332177,-201.2299
1484000000,-13.358155,-201.40228
1485000000,-13.370955,-201.32106
1486000000,-13.368912,-201.72354
1487000000,-13.380389,-201.7641
1488000000,-13.41017,-201.7805
1489000000,-13.409138,-201.9949
1490000000,-13.379608,-202.06026
1491000000,-13.397372,-202.16432
1492000000,-13.426635,-202.2471
1493000000,-13.437347,-202.29089
1494000000,-13.447403,-202.54608
1495000000,-13.461121,-202.84943
1496000000,-13.467056,-202.75919
1497000000,-13.470386,-202.88559
1498000000,-13.464583,-203.1833
1499000000,-13.447326,-203.07497
1500000000,-13.511764,-203.44162
1501000000,-13.499911,-203.356
1502000000,-13.524757,-203.51129
1503000000,-13.471946,-203.56198
1504000000,-13.520048,-203.71712
1505000000,-13.553502,-204.03287
1506000000,-13.539941,-204.00845
1507000000,-13.550796,-203.99506
1508000000,-13.557015,-204.12572
1509000000,-13.591908,-204.16594
1510000000,-13.575928,-204.40962
1511000000,-13.633135,-204.41174
1512000000,-13.621881,-204.41751
1513000000,-13.597959,-204.77335
1514000000,-13.588705,-205.09227
1515000000,-13.646894,-204.74272
1516000000,-13.633573,-205.13982
1517000000,-13.649829,-205.28229
1518000000,-13.646755,-205.48154
1519000000,-13.655143,-205.46043
1520000000,-13.664542,-205.79176
1521000000,-13.702211,-205.84947
1522000000,-13.700162,-205.88811
1523000000,-13.756155,-206.22198
1524000000,-13.733256,-206.1096
1525000000,-13.742533,-206.18933
1526000000,-13.736727,-206.6664
1527000000,-13.718839,-206.45816
1528000000,-13.776642,-206.44441
1529000000,-13.739182,-206.49487
1530000000,-13.79132,-206.79079
1531000000,-13.798067,-206.92696
1532000000,-13.812018,-207.10535
1533000000,-13.816521,-207.06847
1534000000,-13.79618,-207.1951
1535000000,-13.821152,-207.35005
1536000000,-13.810111,-207.63333
1537000000,-13.828306,-207.80806
1538000000,-13.836671,-207.73804
1539000000,-13.871225,-207.82439
1540000000,-13.881948,-208.05618
1541000000,-13.845508,-208.18178
1542000000,-13.930577,-207.86502
1543000000,-13.919298,-208.34627
1544000000,-13.920421,-208.42789
1545000000,-13.917113,-208.51793
1546000000,-13.908866,-208.60249
1547000000,-13.967071,-208.88092
1548000000,-13.94836,-208.62476
1549000000,-13.985478,-209.05081
1550000000,-14.02544,-209.14392
1551000000,-13.964468,-209.3037
1552000000,-13.989437,-209.46573
1553000000,-14.040897,-209.42667
1554000000,-13.99702,-209.40691
1555000000,-14.033632,-209.55957
1556000000,-14.010525,-209.66167
1557000000,-14.064503,-209.9016
1558000000,-14.032378,-210.09084
1559000000,-14.043887,-210.05006
1560000000,-14.063098,-210.0506
1561000000,-14.053771,-210.45641
1562000000,-14.075249,-210.58621
1563000000,-14.123619,-210.55554
1564000000,-14.119419,-210.68088
1565000000,-14.115219,-210.96768
1566000000,-14.118185,-210.90945
1567000000,-14.108283,-211.10172
1568000000,-14.153827,-210.93974
1569000000,-14.17837,-211.33348
1570000000,-14.147429,-211.43643
1571000000,-14.144776,-211.42955
1572000000,-14.161755,-211.47731
1573000000,-14.154757,-211.81522
1574000000,-14.190784,-211.94696
1575000000,-14.202977,-212.0697
1576000000,-14.205645,-212.25948
1577000000,-14.245837,-212.30461
1578000000,-14.261272,-212.1185
1579000000,-14.282462,-212.72939
1580000000,-14.25511,-212.60394
1581000000,-14.256531,-212.56262
1582000000,-14.280267,-212.67923
1583000000,-14.28054,-212.89702
1584000000,-14.287267,-213.17532
1585000000,-14.299287,-213.02422
1586000000,-14.338271,-213.34265
1587000000,-14.314644,-213.18587
1588000000,-14.315535,-213.37494
1589000000,-14.363604,-213.5717
1590000000,-14.347739,-213.72711
1591000000,-14.366105,-213.83609
1592000000,-14.378706,-213.85027
1593000000,-14.369376,-213.96347
1594000000,-14.412133,-214.03523
1595000000,-14.399481,-214.27159
1596000000,-14.429337,-214.17821
1597000000,-14.457509,-214.55704
1598000000,-14.415188,-214.48015
1599000000,-14.460277,-214.80682
1600000000,-14.475613,-214.8064
1601000000,-14.450949,-214.81361
1602000000,-14.471151,-215.25768
1603000000,-14.473116,-214.91637
1604000000,-14.497061,-215.55954
1605000000,-14.521572,-215.48463
1606000000,-14.535167,-215.69383
1607000000,-14.539671,-215.82329
1608000000,-14.568048,-215.73416
1609000000,-14.554997,-216.20586
1610000000,-14.551021,-216.18977
1611000000,-14.558666,-216.18544
1612000000,-14.566955,-216.12279
1613000000,-14.615386,-216.27994
1614000000,-14.605687,-216.40485
1615000000,-14.610649,-216.52963
1616000000,-14.620668,-216.78996
1617000000,-14.625573,-216.73863
1618000000,-14.673543,-217.06947
1619000000,-14.663764,-217.18245
1620000000,-14.681919,-217.48128
1621000000,-14.658206,-217.21956
1622000000,-14.712229,-217.16621
1623000000,-14.70624,-217.6848
1624000000,-14.704028,-217.43826
1625000000,-14.727489,-217.81673
1626000000,-14.752915,-217.77603
1627000000,-14.731569,-217.76479
1628000000,-14.772646,-218.24933
1629000000,-14.782693,-218.26598
1630000000,-14.780632,-218.55284
1631000000,-14.803467,-218.38058
1632000000,-14.784264,-218.61154
1633000000,-14.817949,-218.68126
1634000000,-14.854597,-218.57957
1635000000,-14.843279,-218.88855
1636000000,-14.832608,-219.23828
1637000000,-14.854921,-218.87651
1638000000,-14.850799,-219.34612
1639000000,-14.865009,-219.42232
1640000000,-14.880233,-219.55342
1641000000,-14.920248,-219.36551
1642000000,-14.877683,-219.71812
1643000000,-14.914987,-219.82249
1644000000,-14.924611,-220.02281
1645000000,-14.982225,-220.06213
1646000000,-14.956204,-220.30261
1647000000,-14.944783,-220.16486
1648000000,-14.964706,-220.25366
1649000000,-15.003667,-220.39023
1650000000,-14.9925,-220.61662
1651000000,-15.003487,-220.69196
1652000000,-14.998868,-220.77667
1653000000,-15.030703,-221.00706
1654000000,-15.035365,-221.11256
1655000000,-15.08912,-221.15057
1656000000,-15.047735,-221.18196
1657000000,-15.07529,-221.36403
1658000000,-15.089793,-221.27844
1659000000,-15.106536,-221.71591
1660000000,-15.092028,-221.67836
1661000000,-15.138485,-222.05272
1662000000,-15.158567,-221.94144
1663000000,-15.146217,-221.98592
1664000000,-15.144851,-222.05138
1665000000,-15.140962,-222.22243
1666000000,-15.140236,-222.43756
1667000000,-15.185386,-222.5675
1668000000,-15.226,-222.61752
1669000000,-15.236658,-222.7579
1670000000,-15.218031,-222.84682
1671000000,-15.233534,-223.1559
1672000000,-15.27286,-223.10327
1673000000,-15.262045,-223.39034
1674000000,-15.265662,-223.49963
1675000000,-15.255637,-223.4511
1676000000,-15.3308,-223.66008
1677000000,-15.305575,-223.57773
1678000000,-15.347469,-224.0993
1679000000,-15.310807,-224.08244
1680000000,-15.367972,-223.8848
1681000000,-15.356317,-223.9684
1682000000,-15.389363,-224.35239
1683000000,-15.356931,-224.47588
1684000000,-15.380329,-224.43448
1685000000,-15.411119,-224.50609
1686000000,-15.426021,-224.73442
1687000000,-15.418067,-224.73863
1688000000,-15.435019,-224.88499
1689000000,-15.45552,-225.03058
1690000000,-15.411867,-225.13319
1691000000,-15.467727,-225.31003
1692000000,-15.462595,-225.52538
1693000000,-15.499821,-225.38231
1694000000,-15.446801,-225.68095
1695000000,-15.519477,-225.45483
1696000000,-15.472601,-225.72534
1697000000,-15.542252,-225.93987
1698000000,-15.589911,-225.87384
1699000000,-15.552733,-225.9778
1700000000,-15.571384,-226.1497
1701000000,-15.576214,-226.31398
1702000000,-15.596658,-226.51938
1703000000,-15.592118,-226.64911
1704000000,-15.61633,-226.50848
1705000000,-15.648369,-226.78891
1706000000,-15.623487,-226.81415
1707000000,-15.675797,-227.1089
1708000000,-15.642748,-227.1312
1709000000,-15.672008,-227.33147
1710000000,-15.674841,-227.47379
1711000000,-15.703856,-227.27122
1712000000,-15.691483,-227.46066
1713000000,-15.724121,-227.78703
1714000000,-15.740225,-227.84532
1715000000,-15.737914,-227.87535
1716000000,-15.76597,-228.20433
1717000000,-15.765043,-228.01801
1718000000,-15.800331,-228.23946
1719000000,-15.809713,-228.41045
1720000000,-15.818338,-228.39066
1721000000,-15.833679,-228.57433
1722000000,-15.829259,-228.64699
1723000000,-15.855924,-228.56725
1724000000,-15.859164,-228.85928
1725000000,-15.884971,-228.83827
1726000000,-15.888497,-229.13538
1727000000,-15.894668,-229.18033
1728000000,-15.930565,-229.18022
1729000000,-15.925783,-229.40141
1730000000,-15.937421,-229.66733
1731000000,-15.931156,-229.60284
1732000000,-15.938336,-229.79248
1733000000,-15.97698,-230.004
1734000000,-15.978633,-230.04143
1735000000,-15.978239,-229.87357
1736000000,-15.987726,-230.1599
1737000000,-16.01305,-230.22609
1738000000,-16.038248,-230.26224
1739000000,-16.029604,-230.44176
1740000000,-16.076561,-230.57526
1741000000,-16.093798,-230.69447
1742000000,-16.117022,-230.81403
1743000000,-16.104706,-230.93837
1744000000,-16.11315,-230.9937
1745000000,-16.124796,-231.22769
1746000000,-16.151899,-231.28444
1747000000,-16.145638,-231.30756
1748000000,-16.215668,-231.43675
1749000000,-16.197632,-231.50104
1750000000,-16.157385,-231.78537
1751000000,-16.213501,-231.9623
1752000000,-16.205217,-232.12633
1753000000,-16.221598,-232.03598
1754000000,-16.242861,-232.00787
1755000000,-16.271496,-232.21231
1756000000,-16.286364,-232.42213
1757000000,-16.27199,-232.7007
1758000000,-16.290876,-232.5672
1759000000,-16.309343,-232.858
1760000000,-16.323959,-232.78181
1761000000,-16.32745,-232.90659
1762000000,-16.323391,-232.96202
1763000000,-16.392071,-233.06543
1764000000,-16.383358,-233.27405
1765000000,-16.372383,-233.32303
1766000000,-16.42177,-233.3165
1767000000,-16.406164,-233.54753
1768000000,-16.413248,-233.61731
1769000000,-16.417192,-233.54771
1770000000,-16.442223,-233.88486
1771000000,-16.478827,-234.03171
1772000000,-16.445644,-234.14796
1773000000,-16.446835,-234.07573
1774000000,-16.504923,-234.20303
1775000000,-16.50491,-234.38579
1776000000,-16.523371,-234.51662
1777000000,-16.532812,-234.57001
1778000000,-16.536629,-234.6935
1779000000,-16.552305,-234.54059
1780000000,-16.600601,-234.82527
1781000000,-16.594967,-235.0005
1782000000,-16.621202,-235.12102
1783000000,-16.618008,-235.0556
1784000000,-16.620325,-235.38127
1785000000,-16.649572,-235.33652
1786000000,-16.636736,-235.51776
1787000000,-16.66291,-235.60541
1788000000,-16.706549,-235.75641
1789000000,-16.694571,-235.73349
1790000000,-16.710798,-236.04562
1791000000,-16.725813,-236.22012
1792000000,-16.715017,-236.25688
1793000000,-16.760752,-236.20059
1794000000,-16.736689,-236.31073
1795000000,-16.793879,-236.43031
1796000000,-16.764599,-236.82819
1797000000,-16.818899,-236.70387
1798000000,-16.83596,-236.83086
1799000000,-16.83209,-236.97186
1800000000,-16.836487,-237.12228
1801000000,-16.852737,-237.06169
1802000000,-16.892904,-237.3656
1803000000,-16.899035,-237.23425
1804000000,-16.904634,-237.49472
1805000000,-16.929977,-237.46524
1806000000,-16.916046,-237.73734
1807000000,-16.962908,-237.68217
1808000000,-16.96036,-237.77007
1809000000,-16.981375,-238.10684
1810000000,-17.018379,-237.92776
1811000000,-17.009872,-238.01595
1812000000,-17.003971,-238.34573
1813000000,-17.061838,-238.23424
1814000000,-17.021959,-238.51628
1815000000,-17.057833,-238.67679
1816000000,-17.091993,-238.69785
1817000000,-17.081644,-238.79953
1818000000,-17.075747,-238.89198
1819000000,-17.13159,-238.99304
1820000000,-17.145548,-239.13799
1821000000,-17.128689,-239.17036
