"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
3.765,-3.45331325975592,-4.77209901877363,-4.079124312582,-2.87331567810047
3.766,-3.4603061200022,-4.76676205659496,-4.07262691599369,-2.87689327509997
3.767,-3.46732920940655,-4.7614308212167,-4.06612375010156,-2.88047442036823
3.768,-3.47438270609073,-4.75610530852704,-4.0596148288224,-2.88405911353227
3.769,-3.48146678947384,-4.75078551441149,-4.05310016630252,-2.88764735421264
3.77,-3.48858164028346,-4.7454714347529,-4.04657977691985,-2.89123914202343
3.771,-3.49572744056698,-4.74016306543153,-4.04005367528612,-2.89483447657231
3.772,-3.5029043737029,-4.734860402325,-4.03352187624901,-2.89843335746046
3.773,-3.51011262441239,-4.72956344130846,-4.02698439489431,-2.9020357842826
3.774,-3.5173523787709,-4.72427217825443,-4.02044124654818,-2.90564175662701
3.775,-3.52462382421983,-4.718986609033,-4.01389244677927,-2.9092512740754
3.776,-3.53192714957849,-4.71370672951171,-4.00733801140103,-2.91286433620308
3.777,-3.53926254505592,-4.70843253555572,-4.00077795647397,-2.9164809425788
3.778,-3.54663020226314,-4.70316402302774,-3.99421229830784,-2.92010109276483
3.779,-3.5540303142252,-4.69790118778811,-3.98764105346403,-2.92372478631692
3.78,-3.56146307539362,-4.69264402569476,-3.98106423875779,-2.92735202278427
3.781,-3.56892868165881,-4.68739253260336,-3.97448187126062,-2.93098280170957
3.782,-3.57642733036267,-4.68214670436724,-3.96789396830255,-2.93461712262897
3.783,-3.58395922031126,-4.67690653683746,-3.96130054747454,-2.93825498507203
3.784,-3.59152455178772,-4.67167202586286,-3.95470162663086,-2.94189638856177
3.785,-3.59912352656513,-4.66644316729005,-3.94809722389147,-2.94554133261463
3.786,-3.60675634791972,-4.66121995696351,-3.94148735764446,-2.94918981674046
3.787,-3.61442322064403,-4.65600239072554,-3.93487204654847,-2.9528418404425
3.788,-3.62212435106037,-4.65079046441631,-3.92825130953514,-2.95649740321742
3.789,-3.62985994703421,-4.64558417387396,-3.92162516581163,-2.9601565045552
3.79,-3.63763021798792,-4.64038351493456,-3.91499363486304,-2.96381914393926
3.791,-3.64543537491456,-4.63518848343215,-3.90835673645499,-2.96748532084634
3.792,-3.65327563039176,-4.62999907519883,-3.90171449063611,-2.97115503474649
3.793,-3.66115119859579,-4.62481528606471,-3.89506691774066,-2.97482828510315
3.794,-3.66906229531587,-4.61963711185801,-3.88841403839099,-2.97850507137302
3.795,-3.67700913796843,-4.61446454840508,-3.88175587350024,-2.98218539300616
3.796,-3.6849919456117,-4.60929759153039,-3.8750924442749,-2.98586924944584
3.797,-3.69301093896033,-4.60413623705664,-3.86842377221747,-2.98955664012869
3.798,-3.70106634040021,-4.59898048080472,-3.86174987912908,-2.99324756448448
3.799,-3.70915837400352,-4.59383031859381,-3.85507078711219,-2.99694202193638
3.8,-3.71728726554375,-4.58868574624135,-3.84838651857329,-3.00064001190065
3.801,-3.72545324251104,-4.58354675956317,-3.84169709622561,-3.00434153378682
3.802,-3.73365653412764,-4.57841335437338,-3.83500254309183,-3.00804658699762
3.803,-3.74189737136351,-4.57328552648458,-3.82830288250687,-3.01175517092891
3.804,-3.75017598695208,-4.56816327170774,-3.82159813812067,-3.01546728496979
3.805,-3.75849261540616,-4.56304658585237,-3.81488833390096,-3.01918292850242
3.806,-3.76684749303413,-4.55793546472645,-3.80817349413612,-3.02290210090214
3.807,-3.77524085795617,-4.55282990413652,-3.80145364343798,-3.02662480153739
3.808,-3.78367295012068,-4.54772989988772,-3.79472880674471,-3.03035102976967
3.809,-3.79214401132094,-4.54263544778381,-3.78799900932371,-3.0340807849536
3.81,-3.80065428521189,-4.53754654362722,-3.78126427677451,-3.0378140664368
3.811,-3.80920401732713,-4.5324631832191,-3.7745246350317,-3.04155087355992
3.812,-3.81779345509605,-4.5273853623593,-3.76778011036785,-3.04529120565668
3.813,-3.82642284786122,-4.52231307684651,-3.76103072939656,-3.04903506205372
3.814,-3.83509244689582,-4.51724632247819,-3.75427651907536,-3.0527824420707
3.815,-3.84380250542146,-4.51218509505072,-3.74751750670882,-3.05653334502018
3.816,-3.85255327862599,-4.50712939035933,-3.74075371995153,-3.06028777020767
3.817,-3.86134502368171,-4.50207920419822,-3.73398518681115,-3.06404571693157
3.818,-3.8701779997635,-4.49703453236058,-3.72721193565158,-3.0678071844832
3.819,-3.87905246806746,-4.49199537063861,-3.72043399519598,-3.07157217214666
3.82,-3.8879686918295,-4.48696171482359,-3.71365139452992,-3.07534067919894
3.821,-3.89692693634428,-4.48193356070592,-3.70686416310461,-3.07911270490981
3.822,-3.90592746898424,-4.47691090407512,-3.70007233073996,-3.08288824854183
3.823,-3.91497055921895,-4.47189374071993,-3.69327592762785,-3.08666730935032
3.824,-3.92405647863462,-4.46688206642832,-3.68647498433537,-3.0904498865833
3.825,-3.93318550095379,-4.46187587698755,-3.67966953180801,-3.09423597948155
3.826,-3.94235790205525,-4.45687516818417,-3.67285960137298,-3.09802558727845
3.827,-3.95157395999427,-4.45187993580416,-3.66604522474247,-3.1018187092001
