"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.099,-50.0837554758945,-0.237281904804239
1.1,-50.1258339358185,-0.237325571976175
1.101,-50.1682089739453,-0.237369000128669
1.102,-50.2108831160945,-0.237412189811203
1.103,-50.2538589215291,-0.237455141573627
1.104,-50.2971389834859,-0.237497855966158
1.105,-50.3407259297111,-0.237540333539373
1.106,-50.3846224230041,-0.237582574844191
1.107,-50.4288311617661,-0.237624580431877
1.108,-50.4733548805569,-0.23766635085404
1.109,-50.5181963506558,-0.237707886662612
1.11,-50.5633583806304,-0.237749188409841
1.111,-50.6088438169102,-0.237790256648308
1.112,-50.6546555443657,-0.237831091930885
1.113,-50.7007964868935,-0.237871694810763
1.114,-50.7472696080057,-0.237912065841413
1.115,-50.7940779114244,-0.23795220557661
1.116,-50.8412244416809,-0.237992114570393
1.117,-50.8887122847177,-0.238031793377097
1.118,-50.9365445684956,-0.238071242551315
1.119,-50.9847244636026,-0.238110462647907
1.12,-51.0332551838658,-0.238149454221987
1.121,-51.0821399869654,-0.238188217828915
1.122,-51.1313821750498,-0.238226754024305
1.123,-51.1809850953511,-0.238265063363993
1.124,-51.2309521408012,-0.23830314640406
1.125,-51.2812867506459,-0.238341003700799
1.126,-51.3319924110583,-0.23837863581073
1.127,-51.3830726557483,-0.238416043290578
1.128,-51.4345310665688,-0.238453226697278
1.129,-51.4863712741168,-0.238490186587954
1.13,-51.5385969583278,-0.238526923519931
1.131,-51.591211849063,-0.238563438050722
1.132,-51.6442197266871,-0.238599730738008
1.133,-51.6976244226351,-0.238635802139661
1.134,-51.7514298199671,-0.238671652813704
1.135,-51.8056398539081,-0.238707283318326
1.136,-51.8602585123721,-0.238742694211878
1.137,-51.9152898364669,-0.238777886052854
1.138,-51.9707379209783,-0.238812859399886
1.139,-52.0266069148307,-0.238847614811758
1.14,-52.0829010215211,-0.238882152847366
1.141,-52.1396244995242,-0.238916474065748
1.142,-52.1967816626647,-0.238950579026048
1.143,-52.2543768804536,-0.238984468287534
1.144,-52.3124145783846,-0.239018142409575
1.145,-52.3708992381868,-0.239051601951632
1.146,-52.4298353980294,-0.239084847473284
1.147,-52.4892276526729,-0.239117879534172
1.148,-52.5490806535628,-0.239150698694046
1.149,-52.6093991088594,-0.239183305512721
1.15,-52.6701877833991,-0.239215700550072
1.151,-52.7314514985786,-0.239247884366068
1.152,-52.7931951321577,-0.239279857520719
1.153,-52.8554236179718,-0.239311620574099
1.154,-52.9181419455463,-0.239343174086314
1.155,-52.9813551596051,-0.239374518617534
1.156,-53.0450683594628,-0.23940565472796
1.157,-53.1092866982922,-0.239436582977816
1.158,-53.1740153822549,-0.239467303927372
1.159,-53.2392596694845,-0.239497818136885
1.16,-53.30502486891,-0.239528126166677
1.161,-53.3713163389058,-0.239558228577033
1.162,-53.4381394857536,-0.239588125928264
1.163,-53.5054997619019,-0.239617818780681
1.164,-53.5734026640053,-0.239647307694581
1.165,-53.6418537307269,-0.239676593230258
1.166,-53.7108585402835,-0.239705675947972
1.167,-53.7804227077137,-0.239734556407982
1.168,-53.8505518818462,-0.239763235170505
1.169,-53.9212517419448,-0.239791712795722
1.17,-53.9925279940038,-0.239819989843787
1.171,-54.0643863666671,-0.239848066874795
1.172,-54.1368326067392,-0.239875944448805
1.173,-54.209872474259,-0.239903623125818
1.174,-54.2835117370986,-0.23993110346577
1.175,-54.3577561650535,-0.239958386028531
1.176,-54.4326115233804,-0.239985471373914
1.177,-54.5080835657435,-0.240012360061637
1.178,-54.5841780265213,-0.240039052651348
1.179,-54.660900612423,-0.240065549702614
1.18,-54.7382569933651,-0.240091851774903
1.181,-54.8162527925466,-0.240117959427591
1.182,-54.8948935756646,-0.240143873219952
1.183,-54.9741848392022,-0.240169593711149
1.184,-55.0541319977188,-0.240195121460245
1.185,-55.1347403700665,-0.240220457026169
1.186,-55.2160151644501,-0.240245600967751
1.187,-55.2979614622445,-0.240270553843684
1.188,-55.3805842004734,-0.240295316212524
1.189,-55.463888152851,-0.240319888632703
1.19,-55.5478779092766,-0.240344271662506
1.191,-55.6325578536669,-0.240368465860072
1.192,-55.717932140004,-0.240392471783395
1.193,-55.8040046664638,-0.240416289990306
1.194,-55.890779047486,-0.240439921038484
1.195,-55.9782585836339,-0.240463365485432
1.196,-56.0664462290816,-0.240486623888503
1.197,-56.1553445565601,-0.240509696804857
1.198,-56.2449557195757,-0.240532584791477
1.199,-56.3352814117104,-0.240555288405172
1.2,-56.4263228227953,-0.240577808202563
1.201,-56.5180805917402,-0.240600144740065
1.202,-56.6105547557877,-0.240622298573907
1.203,-56.7037446959482,-0.240644270260105
1.204,-56.797649078358,-0.240666060354486
1.205,-56.8922657912915,-0.240687669412652
1.206,-56.9875918775441,-0.240709097989991
1.207,-57.0836234618888,-0.240730346641668
1.208,-57.1803556733021,-0.24075141592263
1.209,-57.2777825616368,-0.240772306387598
1.21,-57.3758970084156,-0.240793018591042
1.211,-57.474690631408,-0.240813553087211
1.212,-57.5741536826464,-0.240833910430097
1.213,-57.6742749395358,-0.240854091173462
1.214,-57.7750415887105,-0.240874095870802
1.215,-57.8764391022937,-0.240893925075362
