"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1.666,-1.57732022015243,-8.48183532984413
1.667,-1.57729391224024,-8.48021681477287
1.668,-1.57726204826007,-8.47862059334284
1.669,-1.57722465022469,-8.47704654835726
1.67,-1.57718174018481,-8.47549456306257
1.671,-1.57713334022867,-8.47396452114837
1.672,-1.57707947248005,-8.47245630674722
1.673,-1.57702015909749,-8.47096980443448
1.674,-1.5769554222731,-8.46950489922811
1.675,-1.5768852842315,-8.46806147658835
1.676,-1.5768097672287,-8.46663942241756
1.677,-1.57672889355085,-8.46523862305982
1.678,-1.5766426855131,-8.46385896530066
1.679,-1.57655116545874,-8.46250033636668
1.68,-1.57645435575806,-8.46116262392514
1.681,-1.57635227880691,-8.45984571608362
1.682,-1.57624495702618,-8.45854950138951
1.683,-1.57613241286021,-8.45727386882958
1.684,-1.57601466877609,-8.45601870782948
1.685,-1.57589174726245,-8.45478390825324
1.686,-1.57576367082848,-8.45356936040271
1.687,-1.57563046200274,-8.45237495501701
1.688,-1.57549214333236,-8.45120058327196
1.689,-1.57534873738187,-8.4500461367794
1.69,-1.57520026673211,-8.44891150758666
1.691,-1.57504675397952,-8.44779658817581
1.692,-1.57488822173478,-8.44670127146303
1.693,-1.57472469262216,-8.44562545079788
1.694,-1.57455618927827,-8.44456901996262
1.695,-1.57438273435114,-8.44353187317142
1.696,-1.57420435049937,-8.44251390506962
1.697,-1.57402106039107,-8.44151501073292
1.698,-1.57383288670304,-8.44053508566662
1.699,-1.5736398521195,-8.43957402580475
1.7,-1.57344197933165,-8.43863172750923
1.701,-1.57323929103617,-8.43770808756906
1.702,-1.57303180993499,-8.43680300319934
1.703,-1.57281955873356,-8.43591637204046
1.704,-1.57260256014073,-8.43504809215714
1.705,-1.57238083686724,-8.4341980620375
1.706,-1.57215441162522,-8.4333661805921
1.707,-1.57192330712725,-8.43255234715297
1.708,-1.57168754608521,-8.43175646147267
1.709,-1.57144715120972,-8.43097842372319
1.71,-1.57120214520937,-8.43021813449502
1.711,-1.57095255078931,-8.42947549479609
