"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
3.015,-12.6671209456492,-0.625816735497458
3.016,-12.6544445734139,-0.626767269748318
3.017,-12.6417838652336,-0.627719631483675
3.018,-12.6291387709336,-0.62867382367394
3.019,-12.616509240547,-0.629629849298786
3.02,-12.6038952243132,-0.630587711347175
3.021,-12.5912966726766,-0.631547412817373
3.022,-12.5787135362862,-0.632508956716988
3.023,-12.5661457659936,-0.633472346062997
3.024,-12.5535933128524,-0.634437583881765
3.025,-12.5410561281171,-0.635404673209083
3.026,-12.5285341632417,-0.636373617090197
3.027,-12.5160273698788,-0.637344418579815
3.028,-12.5035356998786,-0.638317080742166
3.029,-12.4910591052876,-0.639291606651001
3.03,-12.4785975383479,-0.640267999389642
3.031,-12.4661509514955,-0.641246262050994
3.032,-12.4537192973599,-0.642226397737584
3.033,-12.4413025287628,-0.643208409561584
3.034,-12.4289005987169,-0.644192300644844
3.035,-12.4165134604252,-0.645178074118905
3.036,-12.4041410672796,-0.646165733125068
3.037,-12.3917833728603,-0.647155280814369
3.038,-12.3794403309342,-0.648146720347644
3.039,-12.3671118954547,-0.649140054895557
3.04,-12.3547980205599,-0.650135287638609
3.041,-12.3424986605722,-0.651132421767184
3.042,-12.3302137699969,-0.65213146048158
3.043,-12.3179433035217,-0.653132406992015
3.044,-12.3056872160152,-0.654135264518702
3.045,-12.2934454625261,-0.655140036291826
3.046,-12.2812179982826,-0.6561467255516
3.047,-12.2690047786909,-0.657155335548311
3.048,-12.2568057593348,-0.65816586954232
3.049,-12.2446208959742,-0.659178330804107
3.05,-12.2324501445448,-0.660192722614302
3.051,-12.2202934611564,-0.661209048263707
3.052,-12.2081508020927,-0.662227311053337
3.053,-12.1960221238102,-0.663247514294446
3.054,-12.1839073829369,-0.664269661308551
3.055,-12.1718065362719,-0.66529375542748
3.056,-12.1597195407843,-0.666319799993383
3.057,-12.1476463536123,-0.667347798358781
3.058,-12.1355869320621,-0.668377753886579
3.059,-12.1235412336077,-0.669409669950115
3.06,-12.1115092158893,-0.67044354993318
3.061,-12.0994908367128,-0.671479397230052
3.062,-12.0874860540488,-0.672517215245532
3.063,-12.0754948260319,-0.673557007394969
3.064,-12.0635171109597,-0.674598777104299
3.065,-12.0515528672922,-0.675642527810065
3.066,-12.0396020536506,-0.676688262959471
3.067,-12.0276646288168,-0.677735986010391
3.068,-12.0157405517323,-0.678785700431408
3.069,-12.0038297814976,-0.679837409701863
3.07,-11.9919322773714,-0.680891117311862
3.071,-11.9800479987695,-0.681946826762327
3.072,-11.9681769052644,-0.683004541565014
3.073,-11.9563189565843,-0.684064265242567
3.074,-11.944474112612,-0.685126001328529
3.075,-11.9326423333849,-0.686189753367393
3.076,-11.9208235790934,-0.687255524914622
3.077,-11.9090178100806,-0.688323319536687
3.078,-11.8972249868413,-0.6893931408111
3.079,-11.8854450700215,-0.690464992326458
3.08,-11.8736780204173,-0.691538877682453
3.081,-11.8619237989745,-0.692614800489938
3.082,-11.8501823667874,-0.693692764370933
3.083,-11.8384536850987,-0.694772772958661
3.084,-11.8267377152979,-0.695854829897617
3.085,-11.8150344189215,-0.696938938843552
3.086,-11.8033437576515,-0.698025103463543
3.087,-11.7916656933152,-0.699113327436017
3.088,-11.7800001878841,-0.700203614450782
3.089,-11.7683472034734,-0.701295968209071
3.09,-11.7567067023413,-0.702390392423566
3.091,-11.7450786468881,-0.703486890818443
3.092,-11.7334629996558,-0.704585467129401
3.093,-11.7218597233271,-0.705686125103702
3.094,-11.7102687807248,-0.706788868500196
3.095,-11.6986901348113,-0.707893701089382
3.096,-11.6871237486876,-0.709000626653409
3.097,-11.6755695855928,-0.710109648986134
3.098,-11.6640276089036,-0.711220771893167
3.099,-11.6524977821331,-0.712333999191876
3.1,-11.6409800689308,-0.713449334711458
3.101,-11.6294744330814,-0.71456678229294
3.102,-11.6179808385044,-0.715686345789254
3.103,-11.6064992492533,-0.716808029065241
3.104,-11.5950296295152,-0.717931835997714
3.105,-11.5835719436099,-0.719057770475464
3.106,-11.5721261559894,-0.720185836399334
3.107,-11.5606922312371,-0.721316037682232
3.108,-11.5492701340674,-0.722448378249164
3.109,-11.5378598293249,-0.7235828620373
3.11,-11.5264612819838,-0.724719492995979
3.111,-11.5150744571474,-0.725858275086769
3.112,-11.5036993200473,-0.726999212283497
3.113,-11.4923358360429,-0.728142308572288
3.114,-11.4809839706207,-0.729287567951596
3.115,-11.469643689394,-0.73043499443226
