Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1084000000,-6.2113109,,-1.2078336,,-1.7130212,,-15.590792,,-0.733631603,-16.94957036
1085000000,-6.2153363,,-1.1851572,,-1.7118115,,-15.566269,,-0.734905732,-16.92075848
1086000000,-6.2204819,,-1.2178619,,-1.7257344,,-15.592192,,-0.73618747,-16.89197903
1087000000,-6.2367649,,-1.2004184,,-1.716171,,-15.55775,,-0.737476805,-16.86323215
1088000000,-6.2484951,,-1.1683863,,-1.6841993,,-15.535869,,-0.738773722,-16.83451797
1089000000,-6.2492604,,-1.1833755,,-1.6863488,,-15.531957,,-0.740078208,-16.80583663
1090000000,-6.273344,,-1.1733755,,-1.700119,,-15.502491,,-0.741390249,-16.77718825
1091000000,-6.3018479,,-1.1987245,,-1.6952066,,-15.492558,,-0.74270983,-16.74857298
1092000000,-6.2860913,,-1.204322,,-1.7190136,,-15.486093,,-0.744036937,-16.71999093
1093000000,-6.3348627,,-1.2217282,,-1.6948062,,-15.506079,,-0.745371555,-16.69144226
1094000000,-6.3358908,,-1.2118367,,-1.6884507,,-15.472775,,-0.746713669,-16.66292709
1095000000,-6.3407884,,-1.1891081,,-1.7009057,,-15.454059,,-0.748063262,-16.63444556
1096000000,-6.3204556,,-1.1950952,,-1.6660463,,-15.448216,,-0.74942032,-16.6059978
1097000000,-6.3427172,,-1.2118882,,-1.6946352,,-15.423622,,-0.750784826,-16.57758394
1098000000,-6.3751259,,-1.2075169,,-1.687808,,-15.426586,,-0.752156763,-16.54920413
1099000000,-6.3945947,,-1.2077039,,-1.704037,,-15.443916,,-0.753536115,-16.5208585
1100000000,-6.4133987,,-1.1724834,,-1.6676193,,-15.385777,,-0.754922865,-16.49254718
1101000000,-6.4119191,,-1.1985315,,-1.6647751,,-15.359967,,-0.756316996,-16.46427031
1102000000,-6.4031754,,-1.1914103,,-1.6744406,,-15.366502,,-0.757718489,-16.43602802
1103000000,-6.4633131,,-1.1932489,,-1.6543657,,-15.337089,,-0.759127328,-16.40782046
1104000000,-6.4489956,,-1.1986974,,-1.6676908,,-15.332257,,-0.760543493,-16.37964776
