"Freq [GHz]","S(1,1) []"
1.289,-0.993519673474778 + 0.0612519969092694i
1.29,-0.993492573218219 + 0.0617101149447156i
1.291,-0.993465254044781 + 0.0621679934925781i
1.292,-0.993437716284526 + 0.0626256332382346i
1.293,-0.993409960265796 + 0.0630830348656202i
1.294,-0.993381986315218 + 0.0635401990572446i
1.295,-0.993353794757713 + 0.0639971264941894i
1.296,-0.993325385916498 + 0.0644538178561165i
1.297,-0.993296760113096 + 0.0649102738212723i
1.298,-0.993267917667339 + 0.0653664950664947i
1.299,-0.993238858897374 + 0.0658224822672221i
1.3,-0.993209584119669 + 0.0662782360974872i
1.301,-0.993180093649018 + 0.0667337572299365i
1.302,-0.99315038779855 + 0.0671890463358293i
1.303,-0.99312046687973 + 0.0676441040850388i
1.304,-0.993090331202365 + 0.0680989311460654i
1.305,-0.993059981074616 + 0.0685535281860392i
1.306,-0.993029416802992 + 0.0690078958707226i
1.307,-0.992998638692367 + 0.0694620348645155i
1.308,-0.992967647045978 + 0.0699159458304723i
1.309,-0.992936442165434 + 0.0703696294302886i
1.31,-0.992905024350719 + 0.0708230863243188i
1.311,-0.992873393900199 + 0.07127631717158i
1.312,-0.992841551110628 + 0.0717293226297509i
1.313,-0.992809496277149 + 0.0721821033551903i
1.314,-0.992777229693306 + 0.0726346600029257i
1.315,-0.992744751651041 + 0.0730869932266721i
1.316,-0.992712062440708 + 0.0735391036788259i
1.317,-0.992679162351072 + 0.0739909920104826i
1.318,-0.992646051669314 + 0.0744426588714313i
1.319,-0.992612730681041 + 0.0748941049101634i
1.32,-0.992579199670285 + 0.0753453307738814i
1.321,-0.992545458919515 + 0.0757963371084994i
1.322,-0.992511508709634 + 0.0762471245586456i
1.323,-0.992477349319989 + 0.0766976937676793i
1.324,-0.992442981028375 + 0.0771480453776823i
1.325,-0.992408404111042 + 0.077598180029469i
1.326,-0.992373618842693 + 0.0780480983625964i
1.327,-0.992338625496496 + 0.0784978010153635i
1.328,-0.992303424344087 + 0.0789472886248149i
