"Freq [GHz]","cang_deg(S(2,1)) [deg]"
1.132,-0.138906775415976
1.133,-0.139609988287585
1.134,-0.140312081822321
1.135,-0.141013056818834
1.136,-0.141712914079328
1.137,-0.142411654410053
1.138,-0.143109278620469
1.139,-0.143805787523796
1.14,-0.144501181937126
1.141,-0.145195462680851
1.142,-0.145888630578802
1.143,-0.146580686459038
1.144,-0.147271631152102
1.145,-0.147961465492822
1.146,-0.148650190319184
1.147,-0.149337806472602
1.148,-0.150024314797871
1.149,-0.150709716143422
1.15,-0.151394011360623
1.151,-0.152077201304717
1.152,-0.152759286833832
1.153,-0.153440268809614
1.154,-0.154120148096672
1.155,-0.154798925563439
1.156,-0.155476602081202
1.157,-0.156153178524292
1.158,-0.156828655770673
1.159,-0.157503034701053
1.16,-0.158176316199499
1.161,-0.15884850115332
1.162,-0.159519590452391
1.163,-0.160189584990376
1.164,-0.160858485663691
1.165,-0.161526293371332
1.166,-0.16219300901604
1.167,-0.162858633503047
1.168,-0.16352316774079
1.169,-0.164186612640623
1.17,-0.16484896911669
1.171,-0.165510238085961
1.172,-0.166170420468864
1.173,-0.166829517188262
1.174,-0.167487529169287
1.175,-0.168144457341151
1.176,-0.168800302634938
1.177,-0.169455065984778
1.178,-0.170108748327371
1.179,-0.170761350602823
1.18,-0.171412873753038
1.181,-0.172063318723337
1.182,-0.17271268646147
1.183,-0.173360977917521
1.184,-0.174008194045004
1.185,-0.174654335799134
1.186,-0.175299404138446
1.187,-0.175943400023848
1.188,-0.176586324418537
1.189,-0.177228178288826
1.19,-0.177868962602808
1.191,-0.178508678331901
1.192,-0.179147326449155
1.193,-0.179784907930825
1.194,-0.180421423755414
1.195,-0.181056874903599
1.196,-0.181691262358865
1.197,-0.182324587106769
1.198,-0.182956850135252
1.199,-0.183588052434975
1.2,-0.184218194998612
1.201,-0.184847278821231
1.202,-0.185475304900187
1.203,-0.186102274235351
1.204,-0.186728187828586
1.205,-0.187353046684203
1.206,-0.187976851808617
1.207,-0.18859960421052
1.208,-0.189221304900899
1.209,-0.189841954892694
1.21,-0.190461555201372
1.211,-0.191080106844228
1.212,-0.191697610840697
1.213,-0.192314068212766
1.214,-0.192929479984075
1.215,-0.193543847180315
1.216,-0.194157170829819
1.217,-0.194769451962163
1.218,-0.195380691609634
1.219,-0.195990890806279
1.22,-0.196600050588253
1.221,-0.197208171993263
1.222,-0.197815256061715
1.223,-0.198421303835581
1.224,-0.199026316358636
1.225,-0.199630294676681
1.226,-0.200233239837742
1.227,-0.200835152891358
1.228,-0.201436034889034
1.229,-0.202035886884212
1.23,-0.202634709932268
1.231,-0.203232505090301
1.232,-0.203829273417143
1.233,-0.204425015973477
1.234,-0.205019733822014
1.235,-0.205613428026936
1.236,-0.206206099654112
1.237,-0.206797749771758
1.238,-0.207388379449187
1.239,-0.207977989757668
1.24,-0.208566581770006
1.241,-0.209154156561092
1.242,-0.209740715206972
1.243,-0.210326258785944
1.244,-0.210910788377449
1.245,-0.211494305062606
1.246,-0.212076809924423
1.247,-0.21265830404717
1.248,-0.213238788517238
1.249,-0.213818264422039
1.25,-0.214396732850714
1.251,-0.214974194893966
1.252,-0.215550651644152
1.253,-0.216126104195225
1.254,-0.216700553642261
1.255,-0.21727400108206
1.256,-0.217846447612791
1.257,-0.218417894334206
1.258,-0.218988342347766
1.259,-0.219557792755752
1.26,-0.220126246662251
1.261,-0.220693705172847
1.262,-0.221260169394336
1.263,-0.221825640434954
1.264,-0.222390119404323
1.265,-0.222953607413344
1.266,-0.223516105574447
1.267,-0.224077615001284
1.268,-0.224638136808667
1.269,-0.225197672113143
1.27,-0.225756222032029
1.271,-0.226313787684455
1.272,-0.226870370190306
1.273,-0.227425970671233
1.274,-0.227980590249867
1.275,-0.228534230049985
1.276,-0.229086891196677
1.277,-0.229638574816373
1.278,-0.230189282036547
1.279,-0.230739013986055
1.28,-0.231287771794388
1.281,-0.231835556593242
1.282,-0.232382369514399
1.283,-0.232928211691176
1.284,-0.233473084258198
1.285,-0.234016988351028
1.286,-0.234559925106348
1.287,-0.235101895662078
1.288,-0.235642901156962
1.289,-0.236182942730983
1.29,-0.236722021525305
1.291,-0.237260138681724
1.292,-0.237797295343439
1.293,-0.23833349265462
1.294,-0.238868731760545
1.295,-0.239403013806979
1.296,-0.239936339941535
1.297,-0.240468711312114
1.298,-0.241000129067737
1.299,-0.241530594358557
1.3,-0.242060108335496
1.301,-0.242588672150605
1.302,-0.243116286956775
1.303,-0.243642953907724
1.304,-0.244168674158191
1.305,-0.244693448863851
1.306,-0.24521727918098
1.307,-0.245740166267155
1.308,-0.246262111280504
1.309,-0.246783115380114
1.31,-0.247303179725887
1.311,-0.247822305478704
1.312,-0.248340493799949
1.313,-0.248857745852336
1.314,-0.249374062798687
1.315,-0.249889445803379
1.316,-0.250403896031004
1.317,-0.250917414647044
1.318,-0.25143000281811
1.319,-0.251941661710803
1.32,-0.252452392493571
1.321,-0.252962196334574
1.322,-0.253471074403051
1.323,-0.253979027869293
1.324,-0.254486057903779
1.325,-0.254992165678026
1.326,-0.255497352364149
1.327,-0.256001619134829
1.328,-0.256504967163602
1.329,-0.257007397624334
1.33,-0.257508911692183
1.331,-0.258009510542244
1.332,-0.258509195350556
1.333,-0.259007967293957
