Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
1,-11.91272733,-3.53774014,-12.71713973,-3.479547922,-7.122814912,-13.03902707
1.001,-11.9167395,-3.537614313,-12.72254977,-3.47952366,-7.127186909,-13.04361628
1.002,-11.92075474,-3.537488265,-12.7279669,-3.479499496,-7.131558038,-13.0482113
1.003,-11.92477305,-3.537361995,-12.73339106,-3.47947543,-7.1359283,-13.05281208
1.004,-11.92879443,-3.537235505,-12.73882216,-3.47945146,-7.140297694,-13.05741851
1.005,-11.9328189,-3.537108795,-12.74426013,-3.479427586,-7.144666219,-13.06203052
1.006,-11.93684644,-3.536981865,-12.7497049,-3.479403806,-7.149033874,-13.06664804
1.007,-11.94087706,-3.536854715,-12.75515638,-3.479380122,-7.153400659,-13.07127097
1.008,-11.94491077,-3.536727347,-12.76061451,-3.479356531,-7.157766573,-13.07589923
1.009,-11.94894756,-3.536599761,-12.76607921,-3.479333033,-7.162131616,-13.08053276
1.01,-11.95298745,-3.536471956,-12.7715504,-3.479309628,-7.166495786,-13.08517146
1.011,-11.95703042,-3.536343935,-12.77702801,-3.479286314,-7.170859084,-13.08981526
1.012,-11.96107649,-3.536215696,-12.78251197,-3.479263092,-7.175221508,-13.09446408
1.013,-11.96512566,-3.536087241,-12.78800221,-3.47923996,-7.179583059,-13.09911784
1.014,-11.96917793,-3.53595857,-12.79349864,-3.479216918,-7.183943735,-13.10377647
1.015,-11.9732333,-3.535829684,-12.79900121,-3.479193965,-7.188303536,-13.10843988
1.016,-11.97729178,-3.535700583,-12.80450983,-3.4791711,-7.192662462,-13.11310799
1.017,-11.98135337,-3.535571268,-12.81002444,-3.479148323,-7.197020512,-13.11778073
1.018,-11.98541807,-3.535441739,-12.81554496,-3.479125633,-7.201377686,-13.12245803
1.019,-11.98948588,-3.535311996,-12.82107132,-3.479103029,-7.205733983,-13.1271398
1.02,-11.9935568,-3.535182041,-12.82660345,-3.479080511,-7.210089403,-13.13182597
1.021,-11.99763085,-3.535051873,-12.83214128,-3.479058078,-7.214443946,-13.13651647
1.022,-12.00170802,-3.534921494,-12.83768474,-3.47903573,-7.21879761,-13.14121121
1.023,-12.00578831,-3.534790903,-12.84323376,-3.479013465,-7.223150397,-13.14591013
1.024,-12.00987173,-3.534660102,-12.84878827,-3.478991283,-7.227502305,-13.15061314
1.025,-12.01395828,-3.534529091,-12.85434819,-3.478969184,-7.231853335,-13.15532018
1.026,-12.01804796,-3.534397869,-12.85991346,-3.478947166,-7.236203485,-13.16003117
1.027,-12.02214078,-3.534266439,-12.86548402,-3.47892523,-7.240552756,-13.16474603
1.028,-12.02623674,-3.5341348,-12.87105978,-3.478903373,-7.244901147,-13.16946469
1.029,-12.03033584,-3.534002953,-12.87664069,-3.478881597,-7.249248659,-13.17418708
1.03,-12.03443809,-3.533870898,-12.88222667,-3.478859899,-7.253595291,-13.17891313
1.031,-12.03854348,-3.533738637,-12.88781766,-3.47883828,-7.257941043,-13.18364276
1.032,-12.04265202,-3.533606169,-12.89341359,-3.478816738,-7.262285914,-13.18837591
1.033,-12.04676371,-3.533473495,-12.89901439,-3.478795273,-7.266629905,-13.19311249
1.034,-12.05087856,-3.533340616,-12.90461999,-3.478773885,-7.270973015,-13.19785244
1.035,-12.05499657,-3.533207533,-12.91023033,-3.478752572,-7.275315245,-13.20259569
1.036,-12.05911774,-3.533074245,-12.91584534,-3.478731335,-7.279656593,-13.20734216
1.037,-12.06324208,-3.532940753,-12.92146496,-3.478710171,-7.283997061,-13.21209179
1.038,-12.06736958,-3.532807058,-12.92708912,-3.478689081,-7.288336649,-13.21684451
1.039,-12.07150025,-3.532673161,-12.93271775,-3.478668065,-7.292675355,-13.22160024
1.04,-12.0756341,-3.532539062,-12.93835079,-3.47864712,-7.29701318,-13.22635893
1.041,-12.07977112,-3.532404762,-12.94398817,-3.478626248,-7.301350125,-13.23112048
1.042,-12.08391132,-3.53227026,-12.94962983,-3.478605446,-7.305686188,-13.23588485
1.043,-12.0880547,-3.532135559,-12.95527571,-3.478584715,-7.310021371,-13.24065196
1.044,-12.09220127,-3.532000658,-12.96092574,-3.478564053,-7.314355673,-13.24542175
1.045,-12.09635103,-3.531865558,-12.96657985,-3.478543461,-7.318689094,-13.25019414
1.046,-12.10050398,-3.53173026,-12.97223799,-3.478522936,-7.323021635,-13.25496907
1.047,-12.10466012,-3.531594763,-12.97790008,-3.47850248,-7.327353296,-13.25974647
1.048,-12.10881946,-3.53145907,-12.98356608,-3.47848209,-7.331684076,-13.26452628
1.049,-12.112982,-3.53132318,-12.98923591,-3.478461767,-7.336013976,-13.26930842
1.05,-12.11714774,-3.531187094,-12.99490951,-3.47844151,-7.340342996,-13.27409284
1.051,-12.12131669,-3.531050812,-13.00058682,-3.478421318,-7.344671136,-13.27887947
1.052,-12.12548885,-3.530914336,-13.00626778,-3.47840119,-7.348998397,-13.28366824
1.053,-12.12966422,-3.530777665,-13.01195233,-3.478381126,-7.353324779,-13.28845908
1.054,-12.13384281,-3.530640801,-13.0176404,-3.478361125,-7.357650281,-13.29325194
1.055,-12.13802461,-3.530503744,-13.02333194,-3.478341186,-7.361974905,-13.29804675
1.056,-12.14220964,-3.530366494,-13.02902688,-3.47832131,-7.366298651,-13.30284345
1.057,-12.14639789,-3.530229053,-13.03472517,-3.478301494,-7.370621518,-13.30764197
1.058,-12.15058937,-3.530091421,-13.04042674,-3.478281739,-7.374943507,-13.31244224
1.059,-12.15478408,-3.529953598,-13.04613154,-3.478262044,-7.379264619,-13.31724422
1.06,-12.15898202,-3.529815585,-13.0518395,-3.478242408,-7.383584854,-13.32204782
1.061,-12.16318321,-3.529677383,-13.05755057,-3.478222831,-7.387904213,-13.326853
1.062,-12.16738763,-3.529538993,-13.06326468,-3.478203311,-7.392222694,-13.33165969
1.063,-12.17159529,-3.529400414,-13.06898179,-3.478183849,-7.3965403,-13.33646783
1.064,-12.17580621,-3.529261648,-13.07470182,-3.478164444,-7.400857031,-13.34127735
1.065,-12.18002037,-3.529122696,-13.08042473,-3.478145094,-7.405172887,-13.34608821
1.066,-12.18423779,-3.528983557,-13.08615046,-3.4781258,-7.409487868,-13.35090032
1.067,-12.18845846,-3.528844233,-13.09187894,-3.478106561,-7.413801975,-13.35571365
1.068,-12.19268239,-3.528704724,-13.09761012,-3.478087375,-7.418115208,-13.36052812
1.069,-12.19690958,-3.528565032,-13.10334395,-3.478068244,-7.422427568,-13.36534368
1.07,-12.20114004,-3.528425156,-13.10908036,-3.478049164,-7.426739056,-13.37016027
1.071,-12.20537377,-3.528285097,-13.1148193,-3.478030138,-7.431049673,-13.37497783
1.072,-12.20961077,-3.528144856,-13.12056072,-3.478011162,-7.435359417,-13.3797963
1.073,-12.21385105,-3.528004433,-13.12630456,-3.477992238,-7.439668291,-13.38461562
1.074,-12.2180946,-3.52786383,-13.13205077,-3.477973363,-7.443976295,-13.38943574
1.075,-12.22234144,-3.527723047,-13.13779928,-3.477954539,-7.44828343,-13.3942566
1.076,-12.22659156,-3.527582084,-13.14355005,-3.477935763,-7.452589695,-13.39907813
1.077,-12.23084498,-3.527440943,-13.14930302,-3.477917036,-7.456895093,-13.4039003
1.078,-12.23510168,-3.527299624,-13.15505813,-3.477898357,-7.461199623,-13.40872303
1.079,-12.23936168,-3.527158127,-13.16081534,-3.477879725,-7.465503286,-13.41354627
1.08,-12.24362497,-3.527016454,-13.16657458,-3.477861139,-7.469806083,-13.41836997
1.081,-12.24789157,-3.526874604,-13.17233581,-3.477842599,-7.474108015,-13.42319407
1.082,-12.25216147,-3.52673258,-13.17809897,-3.477824104,-7.478409082,-13.42801852
1.083,-12.25643468,-3.52659038,-13.18386401,-3.477805654,-7.482709286,-13.43284326
1.084,-12.2607112,-3.526448007,-13.18963088,-3.477787248,-7.487008626,-13.43766823
1.085,-12.26499104,-3.526305461,-13.19539952,-3.477768886,-7.491307104,-13.44249339
1.086,-12.2692742,-3.526162742,-13.20116988,-3.477750566,-7.495604721,-13.44731868
1.087,-12.27356067,-3.526019851,-13.20694191,-3.477732289,-7.499901477,-13.45214404
1.088,-12.27785047,-3.52587679,-13.21271557,-3.477714053,-7.504197374,-13.45696943
1.089,-12.2821436,-3.525733558,-13.21849079,-3.477695858,-7.508492411,-13.46179479
1.09,-12.28644006,-3.525590156,-13.22426752,-3.477677703,-7.512786591,-13.46662006
1.091,-12.29073986,-3.525446585,-13.23004573,-3.477659588,-7.517079913,-13.4714452
1.092,-12.29504299,-3.525302846,-13.23582534,-3.477641513,-7.52137238,-13.47627015
1.093,-12.29934947,-3.52515894,-13.24160633,-3.477623476,-7.525663991,-13.48109486
1.094,-12.30365928,-3.525014867,-13.24738863,-3.477605476,-7.529954748,-13.48591929
1.095,-12.30797245,-3.524870628,-13.2531722,-3.477587515,-7.534244651,-13.49074337
1.096,-12.31228897,-3.524726223,-13.25895698,-3.477569589,-7.538533703,-13.49556706
1.097,-12.31660884,-3.524581654,-13.26474294,-3.477551701,-7.542821903,-13.50039032
1.098,-12.32093208,-3.524436921,-13.27053001,-3.477533847,-7.547109252,-13.50521308
1.099,-12.32525867,-3.524292025,-13.27631815,-3.477516029,-7.551395753,-13.5100353
1.1,-12.32958863,-3.524146967,-13.28210732,-3.477498245,-7.555681405,-13.51485693
1.101,-12.33392196,-3.524001747,-13.28789746,-3.477480494,-7.55996621,-13.51967792
1.102,-12.33825865,-3.523856366,-13.29368853,-3.477462777,-7.564250169,-13.52449823
1.103,-12.34259873,-3.523710825,-13.29948048,-3.477445093,-7.568533283,-13.5293178
1.104,-12.34694218,-3.523565125,-13.30527327,-3.47742744,-7.572815553,-13.53413658
1.105,-12.35128901,-3.523419266,-13.31106684,-3.477409819,-7.57709698,-13.53895453
1.106,-12.35563923,-3.523273249,-13.31686114,-3.477392229,-7.581377566,-13.54377161
1.107,-12.35999284,-3.523127075,-13.32265615,-3.477374669,-7.585657311,-13.54858776
1.108,-12.36434984,-3.522980745,-13.3284518,-3.477357139,-7.589936217,-13.55340293
1.109,-12.36871024,-3.52283426,-13.33424805,-3.477339638,-7.594214285,-13.55821709
1.11,-12.37307403,-3.522687619,-13.34004485,-3.477322165,-7.598491516,-13.56303018
1.111,-12.37744123,-3.522540825,-13.34584217,-3.477304721,-7.602767912,-13.56784215
1.112,-12.38181183,-3.522393877,-13.35163995,-3.477287304,-7.607043473,-13.57265297
1.113,-12.38618585,-3.522246777,-13.35743816,-3.477269913,-7.611318201,-13.57746259
1.114,-12.39056327,-3.522099525,-13.36323674,-3.477252549,-7.615592096,-13.58227096
1.115,-12.39494411,-3.521952122,-13.36903565,-3.477235211,-7.619865162,-13.58707804
1.116,-12.39932837,-3.521804569,-13.37483485,-3.477217898,-7.624137398,-13.59188378
1.117,-12.40371606,-3.521656867,-13.38063429,-3.477200609,-7.628408806,-13.59668814
1.118,-12.40810717,-3.521509016,-13.38643394,-3.477183345,-7.632679387,-13.60149107
1.119,-12.41250171,-3.521361018,-13.39223374,-3.477166104,-7.636949143,-13.60629254
1.12,-12.41689968,-3.521212873,-13.39803366,-3.477148886,-7.641218076,-13.6110925
1.121,-12.42130109,-3.521064581,-13.40383365,-3.47713169,-7.645486185,-13.6158909
1.122,-12.42570594,-3.520916144,-13.40963367,-3.477114516,-7.649753474,-13.6206877
1.123,-12.43011424,-3.520767563,-13.41543367,-3.477097364,-7.654019942,-13.62548286
1.124,-12.43452598,-3.520618838,-13.42123362,-3.477080232,-7.658285592,-13.63027634
1.125,-12.43894117,-3.52046997,-13.42703348,-3.477063121,-7.662550426,-13.6350681
1.126,-12.44335982,-3.52032096,-13.4328332,-3.477046029,-7.666814443,-13.6398581
1.127,-12.44778192,-3.520171809,-13.43863273,-3.477028956,-7.671077647,-13.64464628
1.128,-12.45220749,-3.520022517,-13.44443205,-3.477011902,-7.675340038,-13.64943262
1.129,-12.45663651,-3.519873085,-13.45023111,-3.476994865,-7.679601619,-13.65421708
1.13,-12.46106901,-3.519723515,-13.45602986,-3.476977847,-7.683862389,-13.6589996
1.131,-12.46550498,-3.519573807,-13.46182827,-3.476960845,-7.688122352,-13.66378016
1.132,-12.46994442,-3.519423961,-13.4676263,-3.47694386,-7.692381508,-13.6685587
1.133,-12.47438734,-3.519273979,-13.47342391,-3.476926891,-7.696639859,-13.6733352
1.134,-12.47883375,-3.519123862,-13.47922106,-3.476909937,-7.700897407,-13.67810962
1.135,-12.48328363,-3.51897361,-13.48501771,-3.476892998,-7.705154153,-13.6828819
1.136,-12.48773701,-3.518823224,-13.49081382,-3.476876074,-7.709410099,-13.68765203
1.137,-12.49219388,-3.518672706,-13.49660935,-3.476859163,-7.713665247,-13.69241995
1.138,-12.49665424,-3.518522055,-13.50240426,-3.476842266,-7.717919597,-13.69718563
1.139,-12.5011181,-3.518371273,-13.50819852,-3.476825381,-7.722173152,-13.70194903
1.14,-12.50558547,-3.51822036,-13.51399208,-3.476808509,-7.726425914,-13.70671011
1.141,-12.51005634,-3.518069318,-13.51978492,-3.476791649,-7.730677883,-13.71146884
1.142,-12.51453072,-3.517918147,-13.52557698,-3.4767748,-7.734929063,-13.71622518
1.143,-12.51900861,-3.517766848,-13.53136824,-3.476757962,-7.739179453,-13.7209791
1.144,-12.52349002,-3.517615422,-13.53715865,-3.476741134,-7.743429057,-13.72573054
1.145,-12.52797495,-3.51746387,-13.54294819,-3.476724316,-7.747677876,-13.73047949
1.146,-12.5324634,-3.517312193,-13.5487368,-3.476707508,-7.751925911,-13.7352259
1.147,-12.53695538,-3.517160392,-13.55452447,-3.476690708,-7.756173164,-13.73996974
1.148,-12.54145089,-3.517008466,-13.56031114,-3.476673917,-7.760419638,-13.74471098
1.149,-12.54594993,-3.516856418,-13.56609679,-3.476657133,-7.764665333,-13.74944957
1.15,-12.55045251,-3.516704249,-13.57188137,-3.476640357,-7.768910252,-13.75418548
1.151,-12.55495863,-3.516551958,-13.57766486,-3.476623588,-7.773154397,-13.75891868
1.152,-12.55946829,-3.516399548,-13.58344722,-3.476606826,-7.777397769,-13.76364913
1.153,-12.5639815,-3.516247018,-13.5892284,-3.476590069,-7.78164037,-13.76837681
1.154,-12.56849826,-3.51609437,-13.59500839,-3.476573318,-7.785882202,-13.77310167
1.155,-12.57301858,-3.515941604,-13.60078714,-3.476556572,-7.790123266,-13.77782368
1.156,-12.57754245,-3.515788722,-13.60656461,-3.47653983,-7.794363566,-13.78254281
1.157,-12.58206988,-3.515635725,-13.61234078,-3.476523093,-7.798603102,-13.78725902
1.158,-12.58660088,-3.515482613,-13.61811561,-3.476506359,-7.802841876,-13.79197229
1.159,-12.59113544,-3.515329387,-13.62388906,-3.476489628,-7.807079891,-13.79668258
1.16,-12.59567358,-3.515176048,-13.62966111,-3.4764729,-7.811317149,-13.80138986
1.161,-12.60021529,-3.515022597,-13.63543172,-3.476456175,-7.81555365,-13.80609409
1.162,-12.60476057,-3.514869035,-13.64120085,-3.476439451,-7.819789398,-13.81079524
1.163,-12.60930944,-3.514715363,-13.64696847,-3.476422729,-7.824024394,-13.81549329
1.164,-12.61386189,-3.514561582,-13.65273456,-3.476406007,-7.82825864,-13.8201882
1.165,-12.61841793,-3.514407692,-13.65849907,-3.476389286,-7.832492139,-13.82487994
1.166,-12.62297757,-3.514253695,-13.66426198,-3.476372565,-7.836724892,-13.82956847
1.167,-12.62754079,-3.514099591,-13.67002325,-3.476355844,-7.8409569,-13.83425378
1.168,-12.63210762,-3.513945382,-13.67578285,-3.476339122,-7.845188167,-13.83893582
1.169,-12.63667804,-3.513791068,-13.68154075,-3.476322398,-7.849418695,-13.84361457
1.17,-12.64125208,-3.51363665,-13.68729692,-3.476305673,-7.853648485,-13.84829
1.171,-12.64582971,-3.51348213,-13.69305133,-3.476288946,-7.857877539,-13.85296208
1.172,-12.65041096,-3.513327507,-13.69880394,-3.476272216,-7.862105859,-13.85763078
1.173,-12.65499583,-3.513172784,-13.70455473,-3.476255483,-7.866333449,-13.86229607
1.174,-12.65958431,-3.51301796,-13.71030366,-3.476238747,-7.870560309,-13.86695791
1.175,-12.66417642,-3.512863038,-13.7160507,-3.476222007,-7.874786441,-13.87161629
1.176,-12.66877215,-3.512708018,-13.72179583,-3.476205263,-7.879011849,-13.87627118
1.177,-12.6733715,-3.5125529,-13.72753901,-3.476188515,-7.883236534,-13.88092254
1.178,-12.67797449,-3.512397686,-13.73328022,-3.476171761,-7.887460498,-13.88557035
1.179,-12.68258112,-3.512242377,-13.73901942,-3.476155002,-7.891683744,-13.89021457
1.18,-12.68719138,-3.512086973,-13.74475658,-3.476138237,-7.895906274,-13.89485519
1.181,-12.69180528,-3.511931476,-13.75049168,-3.476121466,-7.900128089,-13.89949218
1.182,-12.69642283,-3.511775887,-13.75622469,-3.476104689,-7.904349192,-13.9041255
1.183,-12.70104402,-3.511620206,-13.76195557,-3.476087904,-7.908569586,-13.90875514
1.184,-12.70566887,-3.511464434,-13.7676843,-3.476071112,-7.912789272,-13.91338106
1.185,-12.71029737,-3.511308573,-13.77341085,-3.476054312,-7.917008252,-13.91800323
1.186,-12.71492952,-3.511152624,-13.77913519,-3.476037504,-7.92122653,-13.92262164
1.187,-12.71956534,-3.510996587,-13.7848573,-3.476020688,-7.925444108,-13.92723626
1.188,-12.72420482,-3.510840463,-13.79057714,-3.476003863,-7.929660986,-13.93184706
1.189,-12.72884797,-3.510684253,-13.7962947,-3.475987028,-7.933877169,-13.93645401
1.19,-12.73349479,-3.510527959,-13.80200993,-3.475970184,-7.938092658,-13.94105709
1.191,-12.73814528,-3.510371581,-13.80772281,-3.47595333,-7.942307455,-13.94565628
1.192,-12.74279945,-3.510215121,-13.81343332,-3.475936466,-7.946521563,-13.95025154
1.193,-12.7474573,-3.510058578,-13.81914144,-3.47591959,-7.950734985,-13.95484287
1.194,-12.75211883,-3.509901955,-13.82484712,-3.475902704,-7.954947722,-13.95943022
1.195,-12.75678405,-3.509745252,-13.83055035,-3.475885807,-7.959159777,-13.96401358
1.196,-12.76145295,-3.509588471,-13.8362511,-3.475868897,-7.963371152,-13.96859293
1.197,-12.76612555,-3.509431611,-13.84194934,-3.475851976,-7.96758185,-13.97316823
1.198,-12.77080185,-3.509274675,-13.84764505,-3.475835042,-7.971791873,-13.97773947
1.199,-12.77548184,-3.509117663,-13.8533382,-3.475818095,-7.976001223,-13.98230662
1.2,-12.78016554,-3.508960576,-13.85902877,-3.475801135,-7.980209904,-13.98686966
1.201,-12.78485293,-3.508803415,-13.86471673,-3.475784161,-7.984417916,-13.99142857
1.202,-12.78954404,-3.508646181,-13.87040205,-3.475767174,-7.988625264,-13.99598332
1.203,-12.79423886,-3.508488876,-13.87608471,-3.475750173,-7.992831949,-14.00053389
1.204,-12.79893739,-3.5083315,-13.88176469,-3.475733157,-7.997037974,-14.00508026
1.205,-12.80363964,-3.508174054,-13.88744195,-3.475716127,-8.001243341,-14.00962241
1.206,-12.80834561,-3.508016539,-13.89311649,-3.475699081,-8.005448052,-14.01416032
1.207,-12.8130553,-3.507858957,-13.89878826,-3.47568202,-8.009652111,-14.01869395
1.208,-12.81776871,-3.507701308,-13.90445725,-3.475664943,-8.01385552,-14.0232233
1.209,-12.82248586,-3.507543593,-13.91012343,-3.475647851,-8.018058281,-14.02774834
1.21,-12.82720674,-3.507385813,-13.91578679,-3.475630741,-8.022260397,-14.03226905
1.211,-12.83193135,-3.50722797,-13.92144728,-3.475613616,-8.02646187,-14.03678541
1.212,-12.8366597,-3.507070064,-13.9271049,-3.475596473,-8.030662703,-14.0412974
1.213,-12.84139179,-3.506912096,-13.93275962,-3.475579313,-8.034862899,-14.045805
1.214,-12.84612762,-3.506754068,-13.93841141,-3.475562136,-8.03906246,-14.05030818
1.215,-12.8508672,-3.50659598,-13.94406025,-3.475544941,-8.043261389,-14.05480693
1.216,-12.85561053,-3.506437834,-13.94970612,-3.475527728,-8.047459688,-14.05930123
1.217,-12.86035761,-3.50627963,-13.955349,-3.475510496,-8.05165736,-14.06379106
1.218,-12.86510845,-3.50612137,-13.96098886,-3.475493246,-8.055854407,-14.0682764
1.219,-12.86986305,-3.505963055,-13.96662568,-3.475475977,-8.060050833,-14.07275722
1.22,-12.8746214,-3.505804685,-13.97225945,-3.475458689,-8.064246639,-14.07723352
1.221,-12.87938352,-3.505646262,-13.97789012,-3.475441381,-8.068441829,-14.08170526
1.222,-12.8841494,-3.505487786,-13.98351769,-3.475424054,-8.072636406,-14.08617244
1.223,-12.88891905,-3.505329259,-13.98914214,-3.475406707,-8.076830371,-14.09063504
1.224,-12.89369248,-3.505170683,-13.99476344,-3.475389339,-8.081023728,-14.09509303
1.225,-12.89846968,-3.505012057,-14.00038156,-3.475371951,-8.085216479,-14.0995464
1.226,-12.90325065,-3.504853383,-14.0059965,-3.475354542,-8.089408627,-14.10399512
1.227,-12.90803541,-3.504694662,-14.01160822,-3.475337113,-8.093600175,-14.10843919
1.228,-12.91282395,-3.504535895,-14.01721671,-3.475319662,-8.097791125,-14.11287859
1.229,-12.91761627,-3.504377083,-14.02282194,-3.475302189,-8.101981481,-14.11731329
1.23,-12.92241238,-3.504218227,-14.0284239,-3.475284695,-8.106171244,-14.12174328
1.231,-12.92721228,-3.504059329,-14.03402256,-3.47526718,-8.110360418,-14.12616855
1.232,-12.93201597,-3.503900389,-14.03961791,-3.475249642,-8.114549006,-14.13058907
1.233,-12.93682346,-3.503741409,-14.04520992,-3.475232081,-8.11873701,-14.13500482
1.234,-12.94163475,-3.503582389,-14.05079857,-3.475214498,-8.122924434,-14.13941581
1.235,-12.94644983,-3.50342333,-14.05638385,-3.475196892,-8.127111279,-14.143822
1.236,-12.95126872,-3.503264234,-14.06196573,-3.475179263,-8.131297549,-14.14822337
1.237,-12.95609142,-3.503105102,-14.0675442,-3.475161611,-8.135483246,-14.15261993
1.238,-12.96091792,-3.502945935,-14.07311923,-3.475143936,-8.139668374,-14.15701164
1.239,-12.96574823,-3.502786733,-14.0786908,-3.475126237,-8.143852935,-14.16139849
1.24,-12.97058236,-3.502627499,-14.0842589,-3.475108514,-8.148036932,-14.16578048
1.241,-12.9754203,-3.502468233,-14.08982351,-3.475090767,-8.152220369,-14.17015757
1.242,-12.98026206,-3.502308935,-14.09538461,-3.475072996,-8.156403247,-14.17452976
1.243,-12.98510764,-3.502149609,-14.10094217,-3.4750552,-8.16058557,-14.17889703
1.244,-12.98995704,-3.501990253,-14.10649619,-3.47503738,-8.16476734,-14.18325937
1.245,-12.99481027,-3.50183087,-14.11204663,-3.475019535,-8.168948561,-14.18761677
1.246,-12.99966732,-3.50167146,-14.1175935,-3.475001665,-8.173129236,-14.1919692
1.247,-13.0045282,-3.501512025,-14.12313675,-3.47498377,-8.177309367,-14.19631665
1.248,-13.00939292,-3.501352566,-14.12867638,-3.47496585,-8.181488957,-14.20065912
1.249,-13.01426146,-3.501193084,-14.13421238,-3.474947904,-8.18566801,-14.20499658
1.25,-13.01913385,-3.501033579,-14.13974471,-3.474929933,-8.189846528,-14.20932902
1.251,-13.02401007,-3.500874054,-14.14527337,-3.474911935,-8.194024515,-14.21365643
1.252,-13.02889013,-3.500714509,-14.15079833,-3.474893912,-8.198201972,-14.2179788
1.253,-13.03377403,-3.500554945,-14.15631958,-3.474875863,-8.202378904,-14.22229611
1.254,-13.03866178,-3.500395363,-14.16183711,-3.474857788,-8.206555313,-14.22660834
1.255,-13.04355337,-3.500235765,-14.16735088,-3.474839686,-8.210731202,-14.23091549
1.256,-13.04844881,-3.500076152,-14.1728609,-3.474821557,-8.214906574,-14.23521755
1.257,-13.0533481,-3.499916524,-14.17836713,-3.474803402,-8.219081433,-14.23951449
1.258,-13.05825125,-3.499756884,-14.18386957,-3.474785221,-8.22325578,-14.24380632
1.259,-13.06315825,-3.499597231,-14.18936819,-3.474767012,-8.227429621,-14.248093
1.26,-13.0680691,-3.499437568,-14.19486299,-3.474748776,-8.231602956,-14.25237454
1.261,-13.07298382,-3.499277895,-14.20035393,-3.474730513,-8.23577579,-14.25665092
1.262,-13.07790239,-3.499118213,-14.20584102,-3.474712223,-8.239948126,-14.26092213
1.263,-13.08282483,-3.498958523,-14.21132422,-3.474693905,-8.244119966,-14.26518816
1.264,-13.08775113,-3.498798828,-14.21680353,-3.47467556,-8.248291314,-14.269449
1.265,-13.09268129,-3.498639127,-14.22227893,-3.474657187,-8.252462173,-14.27370462
1.266,-13.09761533,-3.498479422,-14.22775041,-3.474638787,-8.256632545,-14.27795503
1.267,-13.10255323,-3.498319714,-14.23321794,-3.474620359,-8.260802435,-14.28220021
1.268,-13.107495,-3.498160005,-14.23868151,-3.474601902,-8.264971844,-14.28644016
1.269,-13.11244065,-3.498000295,-14.24414111,-3.474583418,-8.269140777,-14.29067485
1.27,-13.11739017,-3.497840585,-14.24959672,-3.474564906,-8.273309237,-14.29490428
1.271,-13.12234356,-3.497680877,-14.25504832,-3.474546365,-8.277477226,-14.29912844
1.272,-13.12730083,-3.497521172,-14.26049591,-3.474527797,-8.281644747,-14.30334732
1.273,-13.13226199,-3.49736147,-14.26593946,-3.4745092,-8.285811805,-14.30756091
1.274,-13.13722702,-3.497201774,-14.27137896,-3.474490574,-8.289978402,-14.31176919
1.275,-13.14219593,-3.497042084,-14.2768144,-3.47447192,-8.294144541,-14.31597216
1.276,-13.14716873,-3.496882402,-14.28224576,-3.474453238,-8.298310225,-14.32016981
1.277,-13.15214541,-3.496722728,-14.28767302,-3.474434527,-8.302475458,-14.32436213
1.278,-13.15712598,-3.496563064,-14.29309618,-3.474415787,-8.306640243,-14.32854911
1.279,-13.16211043,-3.496403411,-14.29851521,-3.474397019,-8.310804583,-14.33273073
1.28,-13.16709878,-3.49624377,-14.30393011,-3.474378222,-8.314968482,-14.336907
1.281,-13.17209101,-3.496084142,-14.30934086,-3.474359396,-8.319131942,-14.34107789
1.282,-13.17708714,-3.495924528,-14.31474744,-3.474340541,-8.323294967,-14.34524341
1.283,-13.18208716,-3.495764931,-14.32014985,-3.474321657,-8.327457559,-14.34940354
1.284,-13.18709107,-3.495605349,-14.32554806,-3.474302745,-8.331619724,-14.35355827
1.285,-13.19209888,-3.495445786,-14.33094207,-3.474283803,-8.335781463,-14.3577076
1.286,-13.19711058,-3.495286242,-14.33633185,-3.474264833,-8.33994278,-14.36185152
1.287,-13.20212618,-3.495126718,-14.3417174,-3.474245833,-8.344103678,-14.36599001
1.288,-13.20714568,-3.494967216,-14.34709871,-3.474226805,-8.34826416,-14.37012308
1.289,-13.21216908,-3.494807736,-14.35247575,-3.474207747,-8.35242423,-14.3742507
1.29,-13.21719638,-3.49464828,-14.35784852,-3.474188661,-8.356583892,-14.37837288
1.291,-13.22222758,-3.494488849,-14.36321701,-3.474169545,-8.360743148,-14.38248961
1.292,-13.22726268,-3.494329444,-14.36858119,-3.474150401,-8.364902001,-14.38660087
1.293,-13.23230168,-3.494170067,-14.37394106,-3.474131227,-8.369060456,-14.39070667
1.294,-13.23734459,-3.494010718,-14.37929661,-3.474112024,-8.373218515,-14.39480699
1.295,-13.2423914,-3.493851398,-14.38464782,-3.474092793,-8.377376183,-14.39890182
1.296,-13.24744212,-3.49369211,-14.38999467,-3.474073532,-8.381533461,-14.40299117
1.297,-13.25249675,-3.493532854,-14.39533716,-3.474054242,-8.385690354,-14.40707501
1.298,-13.25755528,-3.493373631,-14.40067528,-3.474034924,-8.389846864,-14.41115335
1.299,-13.26261771,-3.493214443,-14.40600901,-3.474015576,-8.394002996,-14.41522618
1.3,-13.26768406,-3.49305529,-14.41133833,-3.4739962,-8.398158753,-14.41929349
1.301,-13.27275431,-3.492896175,-14.41666325,-3.473976795,-8.402314138,-14.42335527
