Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
2.916,-13.16838063,-3.725122935,-14.93639878,-3.703054304,-17.20112555,-14.86638656
2.917,-13.16653888,-3.725335283,-14.93672704,-3.703231126,-17.20926043,-14.86751805
2.918,-13.16470754,-3.725547019,-14.93706159,-3.703407487,-17.21740102,-14.86865568
2.919,-13.16288661,-3.72575814,-14.93740243,-3.703583388,-17.22554733,-14.86979943
2.92,-13.1610761,-3.725968647,-14.93774954,-3.703758828,-17.23369935,-14.87094932
2.921,-13.15927601,-3.726178539,-14.93810295,-3.703933806,-17.24185712,-14.87210532
2.922,-13.15748635,-3.726387815,-14.93846265,-3.704108322,-17.25002063,-14.87326746
2.923,-13.15570711,-3.726596475,-14.93882864,-3.704282376,-17.25818989,-14.87443571
2.924,-13.15393831,-3.726804518,-14.93920092,-3.704455967,-17.26636492,-14.87561008
2.925,-13.15217994,-3.727011944,-14.9395795,-3.704629095,-17.27454572,-14.87679057
2.926,-13.15043202,-3.727218753,-14.93996437,-3.704801759,-17.28273231,-14.87797718
2.927,-13.14869455,-3.727424943,-14.94035554,-3.704973959,-17.2909247,-14.8791699
2.928,-13.14696752,-3.727630515,-14.94075302,-3.705145694,-17.29912289,-14.88036873
2.929,-13.14525096,-3.727835467,-14.9411568,-3.705316965,-17.30732689,-14.88157367
2.93,-13.14354485,-3.7280398,-14.94156688,-3.70548777,-17.31553672,-14.88278472
2.931,-13.14184921,-3.728243513,-14.94198326,-3.705658109,-17.32375239,-14.88400187
2.932,-13.14016403,-3.728446605,-14.94240595,-3.705827983,-17.33197391,-14.88522513
2.933,-13.13848933,-3.728649076,-14.94283495,-3.70599739,-17.34020128,-14.88645448
2.934,-13.13682511,-3.728850926,-14.94327026,-3.70616633,-17.34843452,-14.88768993
2.935,-13.13517137,-3.729052154,-14.94371188,-3.706334804,-17.35667363,-14.88893147
2.936,-13.13352811,-3.729252759,-14.94415982,-3.706502809,-17.36491864,-14.89017911
2.937,-13.13189535,-3.729452742,-14.94461406,-3.706670347,-17.37316954,-14.89143283
2.938,-13.13027307,-3.729652101,-14.94507462,-3.706837416,-17.38142635,-14.89269264
2.939,-13.1286613,-3.729850838,-14.9455415,-3.707004017,-17.38968908,-14.89395853
2.94,-13.12706003,-3.73004895,-14.94601469,-3.707170149,-17.39795775,-14.89523051
2.941,-13.12546926,-3.730246437,-14.94649421,-3.707335812,-17.40623235,-14.89650856
2.942,-13.123889,-3.7304433,-14.94698004,-3.707501004,-17.4145129,-14.89779268
