Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
2.038,4.479186101,63.37630929,-177.9696284,63.37596038,-28.16234264,-178.123685
2.039,4.451599872,63.22813701,-178.0870173,63.22783474,-28.34298559,-178.239927
2.04,4.424034153,63.07996379,-178.2044496,63.07970791,-28.52362676,-178.3562146
2.041,4.396488249,62.93178966,-178.3219253,62.93157988,-28.70426614,-178.4725478
2.042,4.368961464,62.78361461,-178.4394446,62.78345067,-28.88490375,-178.5889266
2.043,4.341453099,62.63543867,-178.5570074,62.63532028,-29.06553956,-178.7053511
2.044,4.313962453,62.48726183,-178.6746137,62.48718872,-29.24617357,-178.8218214
2.045,4.286488824,62.33908411,-178.7922637,62.339056,-29.42680578,-178.9383374
2.046,4.259031506,62.19090551,-178.9099573,62.19092213,-29.60743619,-179.0548992
2.047,4.231589794,62.04272605,-179.0276946,62.04278712,-29.78806477,-179.1715069
2.048,4.204162977,61.89454573,-179.1454756,61.89465097,-29.96869154,-179.2881606
2.049,4.176750346,61.74636457,-179.2633004,61.74651369,-30.14931648,-179.4048602
2.05,4.149351187,61.59818256,-179.3811689,61.5983753,-30.32993959,-179.5216058
2.051,4.121964786,61.44999972,-179.4990813,61.4502358,-30.51056086,-179.6383975
2.052,4.094590427,61.30181606,-179.6170376,61.3020952,-30.69118028,-179.7552353
2.053,4.067227391,61.15363158,-179.7350378,61.15395351,-30.87179786,-179.8721193
2.054,4.039874959,61.0054463,-179.8530819,61.00581073,-31.05241358,-179.9890495
2.055,4.012532408,60.85726022,-179.9711699,60.85766688,-31.23302744,179.8939741
2.056,3.985199015,60.70907336,179.9106981,60.70952196,-31.41363943,179.7769515
2.057,3.957874055,60.56088571,179.792522,60.56137598,-31.59424955,179.6598825
2.058,3.9305568,60.4126973,179.6743019,60.41322895,-31.77485779,179.5427672
2.059,3.903246523,60.26450812,179.5560378,60.26508088,-31.95546415,179.4256055
2.06,3.875942494,60.11631819,179.4377295,60.11693178,-32.13606862,179.3083973
2.061,3.848643979,59.96812752,179.3193771,59.96878165,-32.31667119,179.1911427
2.062,3.821350247,59.81993612,179.2009806,59.82063051,-32.49727186,179.0738416
2.063,3.794060563,59.67174398,179.0825399,59.67247836,-32.67787062,178.956494
2.064,3.76677419,59.52355113,178.964055,59.52432521,-32.85846747,178.8390998
2.065,3.73949039,59.37535757,178.8455258,59.37617107,-33.03906241,178.721659
2.066,3.712208425,59.22716332,178.7269525,59.22801595,-33.21965541,178.6041716
2.067,3.684927555,59.07896837,178.6083348,59.07985986,-33.40024649,178.4866375
2.068,3.657647037,58.93077273,178.4896729,58.93170281,-33.58083564,178.3690567
2.069,3.630366129,58.78257643,178.3709667,58.7835448,-33.76142284,178.2514292
2.07,3.603084085,58.63437946,178.2522161,58.63538584,-33.9420081,178.133755
2.071,3.575800161,58.48618184,178.1334212,58.48722594,-34.1225914,178.016034
2.072,3.548513611,58.33798356,178.014582,58.33906512,-34.30317275,177.8982662
2.073,3.521223685,58.18978466,177.8956983,58.19090337,-34.48375213,177.7804515
2.074,3.493929635,58.04158512,177.7767703,58.04274071,-34.66432954,177.66259
2.075,3.46663071,57.89338496,177.6577979,57.89457715,-34.84490498,177.5446817
2.076,3.439326161,57.74518419,177.538781,57.74641269,-35.02547844,177.4267264
2.077,3.412015233,57.59698282,177.4197197,57.59824734,-35.20604991,177.3087242
2.078,3.384697175,57.44878085,177.300614,57.45008112,-35.38661939,177.1906751
2.079,3.357371232,57.3005783,177.1814638,57.30191403,-35.56718688,177.072579
2.08,3.330036649,57.15237518,177.0622692,57.15374608,-35.74775236,176.9544359
2.081,3.302692669,57.00417149,176.94303,57.00557728,-35.92831584,176.8362458
2.082,3.275338537,56.85596724,176.8237464,56.85740764,-36.1088773,176.7180087
2.083,3.247973495,56.70776244,176.7044182,56.70923716,-36.28943674,176.5997246
2.084,3.220596784,56.5595571,176.5850456,56.56106585,-36.46999415,176.4813934
2.085,3.193207644,56.41135123,176.4656284,56.41289373,-36.65054954,176.3630151
2.086,3.165805317,56.26314484,176.3461667,56.26472081,-36.83110289,176.2445897
2.087,3.138389042,56.11493793,176.2266605,56.11654708,-37.0116542,176.1261172
2.088,3.110958057,55.96673053,176.1071097,55.96837256,-37.19220347,176.0075976
2.089,3.083511601,55.81852262,175.9875144,55.82019726,-37.37275068,175.8890309
2.09,3.056048912,55.67031423,175.8678745,55.67202119,-37.55329583,175.770417
2.091,3.028569227,55.52210536,175.7481901,55.52384436,-37.73383892,175.6517559
2.092,3.001071782,55.37389602,175.6284612,55.37566677,-37.91437995,175.5330477
2.093,2.973555814,55.22568623,175.5086877,55.22748843,-38.0949189,175.4142923
2.094,2.946020559,55.07747598,175.3888696,55.07930936,-38.27545577,175.2954897
2.095,2.918465252,54.92926529,175.269007,54.93112955,-38.45599055,175.17664
2.096,2.890889129,54.78105417,175.1490998,54.78294903,-38.63652325,175.057743
2.097,2.863291423,54.63284262,175.029148,54.6347678,-38.81705385,174.9387988
2.098,2.835671371,54.48463066,174.9091517,54.48658586,-38.99758235,174.8198073
2.099,2.808028206,54.3364183,174.7891109,54.33840323,-39.17810874,174.7007687
2.1,2.780361162,54.18820553,174.6690255,54.19021992,-39.35863302,174.5816828
2.101,2.752669474,54.03999238,174.5488955,54.04203593,-39.53915519,174.4625496
2.102,2.724952376,53.89177885,174.428721,53.89385127,-39.71967523,174.3433692
2.103,2.6972091,53.74356495,174.3085019,53.74566596,-39.90019315,174.2241416
2.104,2.669438882,53.59535069,174.1882384,53.59747999,-40.08070893,174.1048667
2.105,2.641640955,53.44713608,174.0679302,53.44929339,-40.26122258,173.9855446
2.106,2.613814552,53.29892112,173.9475776,53.30110615,-40.44173408,173.8661752
2.107,2.585958909,53.15070583,173.8271804,53.15291829,-40.62224343,173.7467586
