frequency, S11, S12, S21, S22
2238925568.0000000000, -8.9594934311, -0.9356508462, -0.9356515007, -8.9595021917
2239925504.0000000000, -8.9334090097, -0.9409170943, -0.9409164395, -8.9334097379
2240925440.0000000000, -8.9073416129, -0.9462051180, -0.9462057732, -8.9073328978
2241925376.0000000000, -8.8812920088, -0.9515201947, -0.9515195391, -8.8813014256
2242925312.0000000000, -8.8552913019, -0.9568715486, -0.9568702368, -8.8552992492
2243925248.0000000000, -8.8293234338, -0.9622428303, -0.9622434865, -8.8293284781
2244925184.0000000000, -8.8033818555, -0.9676412930, -0.9676380099, -8.8033847305
2245925120.0000000000, -8.7774722721, -0.9730630373, -0.9730636943, -8.7774658202
2246925056.0000000000, -8.7515774484, -0.9785173021, -0.9785179594, -8.7515845987
2247924992.0000000000, -8.7257323892, -0.9839982199, -0.9839995353, -8.7257309628
2248924928.0000000000, -8.6999141189, -0.9895091231, -0.9895071490, -8.6999126962
2249924864.0000000000, -8.6741105405, -0.9950480844, -0.9950480844, -8.6741147976
2250924800.0000000000, -8.6483563887, -1.0006079023, -1.0006059259, -8.6483585117
2251924736.0000000000, -8.6226253359, -1.0062037701, -1.0062031109, -8.6226253359
2252924672.0000000000, -8.5969321594, -1.0118271729, -1.0118251944, -8.5969441284
2253924608.0000000000, -8.5712760351, -1.0174722166, -1.0174761759, -8.5712732261
2254924544.0000000000, -8.5456274280, -1.0231461988, -1.0231461988, -8.5456358335
2255924480.0000000000, -8.5200493283, -1.0288610585, -1.0288617192, -8.5200360537
2256924416.0000000000, -8.4944661003, -1.0345943894, -1.0345963725, -8.4944674940
2257924352.0000000000, -8.4689279973, -1.0403568038, -1.0403568038, -8.4689224365
2258924288.0000000000, -8.4434154275, -1.0461483499, -1.0461470264, -8.4434147342
2259924224.0000000000, -8.4179546414, -1.0519684145, -1.0519677524, -8.4179518751
2260924160.0000000000, -8.3924916038, -1.0578163828, -1.0578170454, -8.3924978121
2261924096.0000000000, -8.3670904859, -1.0636976054, -1.0636976054, -8.3670877336
2262924032.0000000000, -8.3417125470, -1.0696041788, -1.0696021888, -8.3417146060
2263923968.0000000000, -8.3163728349, -1.0755447746, -1.0755441108, -8.3163694120
2264923904.0000000000, -8.2910616624, -1.0815161306, -1.0815154664, -8.2910609795
2265923840.0000000000, -8.2657680769, -1.0875076675, -1.0875096610, -8.2657742070
2266923776.0000000000, -8.2405267566, -1.0935320529, -1.0935347126, -8.2405294743
2267923712.0000000000, -8.2153110372, -1.0995866829, -1.0995873483, -8.2153090041
2268923648.0000000000, -8.1901364333, -1.1056776018, -1.1056795990, -8.1901256174
2269923584.0000000000, -8.1649744741, -1.1117928831, -1.1117928831, -8.1649764970
2270923520.0000000000, -8.1398601985, -1.1179379018, -1.1179379018, -8.1398541450
2271923456.0000000000, -8.1147840135, -1.1241193798, -1.1241213807, -8.1147773043
2272923392.0000000000, -8.0897230366, -1.1303227004, -1.1303240352, -8.0897243750
2273923328.0000000000, -8.0647006754, -1.1365619254, -1.1365619254, -8.0647073511
2274923264.0000000000, -8.0397401040, -1.1428364515, -1.1428397925, -8.0397307814
2275923200.0000000000, -8.0147792414, -1.1491323014, -1.1491316327, -8.0147752559
2276923136.0000000000, -7.9898652886, -1.1554575415, -1.1554602177, -7.9898646260
2277923072.0000000000, -7.9649874751, -1.1618202590, -1.1618182505, -7.9649821876
2278923008.0000000000, -7.9401265659, -1.1682151635, -1.1682158334, -7.9401259066
2279922944.0000000000, -7.9153141566, -1.1746416440, -1.1746376220, -7.9153174449
2280922880.0000000000, -7.8905401989, -1.1810930510, -1.1810957341, -7.8905356066
2281922816.0000000000, -7.8657927802, -1.1875835254, -1.1875835254, -7.8657875448
2282922752.0000000000, -7.8410783830, -1.1941017227, -1.1941010510, -7.8410816471
2283922688.0000000000, -7.8163962628, -1.2006510548, -1.2006503827, -7.8163956116
2284922624.0000000000, -7.7917541264, -1.2072275449, -1.2072268724, -7.7917541264
2285922560.0000000000, -7.7671434042, -1.2138379736, -1.2138393196, -7.7671472922
2286922496.0000000000, -7.7425782348, -1.2204830788, -1.2204844256, -7.7425717708
2287922432.0000000000, -7.7180294143, -1.2271615789, -1.2271636005, -7.7180345729
2288922368.0000000000, -7.6935188405, -1.2338667948, -1.2338647719, -7.6935246297
2289922304.0000000000, -7.6690463797, -1.2406082241, -1.2406102484, -7.6690521547
2290922240.0000000000, -7.6446118993, -1.2473832361, -1.2473825609, -7.6446138196
2291922176.0000000000, -7.6202203756, -1.2541932474, -1.2541925717, -7.6202152672
2292922112.0000000000, -7.5958455232, -1.2610268318, -1.2610254795, -7.5958487082
2293922048.0000000000, -7.5715191373, -1.2678989200, -1.2678975668, -7.5715159601
2294921984.0000000000, -7.5472264289, -1.2748014633, -1.2747994321, -7.5472276967
2295921920.0000000000, -7.5229685612, -1.2817392644, -1.2817419747, -7.5229653994
2296921856.0000000000, -7.4987321762, -1.2887083253, -1.2887110374, -7.4987422696
2297921792.0000000000, -7.4745436912, -1.2957121004, -1.2957100649, -7.4745443205
2298921728.0000000000, -7.4503928561, -1.3027493014, -1.3027438695, -7.4504035285
2299921664.0000000000, -7.4262832971, -1.3098159187, -1.3098145597, -7.4262807920
2300921600.0000000000, -7.4021986124, -1.3169208504, -1.3169174507, -7.4021961133
2301921536.0000000000, -7.3781456179, -1.3240600922, -1.3240607726, -7.3781499809
2302921472.0000000000, -7.3541403909, -1.3312269047, -1.3312262238, -7.3541453651
2303921408.0000000000, -7.3301759031, -1.3384370161, -1.3384370161, -7.3301709408
2304921344.0000000000, -7.3062315791, -1.3456727868, -1.3456741506, -7.3062402425
2305921280.0000000000, -7.2823407474, -1.3529417752, -1.3529458696, -7.2823463033
2306921216.0000000000, -7.2584791430, -1.3602481474, -1.3602515619, -7.2584760637
2307921152.0000000000, -7.2346509938, -1.3675940316, -1.3675940316, -7.2346497650
2308921088.0000000000, -7.2108653902, -1.3749747238, -1.3749760916, -7.2108561962
2309921024.0000000000, -7.1871160490, -1.3823820842, -1.3823813998, -7.1871154375
2310920960.0000000000, -7.1633863753, -1.3898257568, -1.3898257568, -7.1633985759
2311920896.0000000000, -7.1397140953, -1.3973044480, -1.3973023917, -7.1397189640
2312920832.0000000000, -7.1160697917, -1.4048168602, -1.4048175461, -7.1160764703
2313920768.0000000000, -7.0924673299, -1.4123699299, -1.4123699299, -7.0924709642
2314920704.0000000000, -7.0688968771, -1.4199527533, -1.4199561882, -7.0688944599
2315920640.0000000000, -7.0453752187, -1.4275715814, -1.4275702063, -7.0453716015
2316920576.0000000000, -7.0218780829, -1.4352244279, -1.4352189237, -7.0218804887
2317920512.0000000000, -6.9984234281, -1.4429216952, -1.4429189410, -6.9984210279
2318920448.0000000000, -6.9750110851, -1.4506421193, -1.4506441866, -6.9750110851
2319920384.0000000000, -6.9516378994, -1.4584029900, -1.4584029900, -6.9516295379
2320920320.0000000000, -6.9282870406, -1.4661988756, -1.4662023265, -6.9282751234
2321920256.0000000000, -6.9049852308, -1.4740333070, -1.4740339977, -6.9049828529
2322920192.0000000000, -6.8817020069, -1.4818966923, -1.4818966923, -6.8817031931
2323920128.0000000000, -6.8584776017, -1.4898036230, -1.4898029312, -6.8584693177
2324920064.0000000000, -6.8352987440, -1.4977403505, -1.4977417352, -6.8352987440
2325920000.0000000000, -6.8121499290, -1.5057194131, -1.5057221847, -6.8121487511
2326919936.0000000000, -6.7890334228, -1.5137332791, -1.5137298118, -6.7890392990
2327919872.0000000000, -6.7659538153, -1.5217778630, -1.5217813331, -6.7659549878
2328919808.0000000000, -6.7429320313, -1.5298699037, -1.5298699037, -6.7429296916
2329919744.0000000000, -6.7199292787, -1.5379886570, -1.5379865716, -6.7199222759
2330919680.0000000000, -6.6969700017, -1.5461557496, -1.5461564453, -6.6969700017
2331919616.0000000000, -6.6740435662, -1.5543504062, -1.5543504062, -6.6740424044
2332919552.0000000000, -6.6511684135, -1.5625824451, -1.5625845357, -6.6511660952
2333919488.0000000000, -6.6283269647, -1.5708491634, -1.5708477686, -6.6283258082
2334919424.0000000000, -6.6055087236, -1.5791625078, -1.5791604138, -6.6055121852
2335919360.0000000000, -6.5827573974, -1.5875093157, -1.5875079185, -6.5827631536
2336919296.0000000000, -6.5600381892, -1.5958868684, -1.5958840716, -6.5600393378
2337919232.0000000000, -6.5373521439, -1.6043155306, -1.6043134313, -6.5373601661
2338919168.0000000000, -6.5147002963, -1.6127702128, -1.6127681117, -6.5147083004
2339919104.0000000000, -6.4921007843, -1.6212656950, -1.6212663960, -6.4921099111
2340919040.0000000000, -6.4695476778, -1.6297985675, -1.6297971644, -6.4695454012
2341918976.0000000000, -6.4470191995, -1.6383724306, -1.6383703241, -6.4470214710
2342918912.0000000000, -6.4245209635, -1.6469782478, -1.6469817616, -6.4245277625
2343918848.0000000000, -6.4020890596, -1.6556160951, -1.6556224255, -6.4020800146
2344918784.0000000000, -6.3796791598, -1.6643177285, -1.6643170245, -6.3796802879
2345918720.0000000000, -6.3573103634, -1.6730375092, -1.6730375092, -6.3573126145
2346918656.0000000000, -6.3349914916, -1.6818022761, -1.6818050970, -6.3349858763
2347918592.0000000000, -6.3127010314, -1.6906015536, -1.6906036711, -6.3127055137
2348918528.0000000000, -6.2904713280, -1.6994403711, -1.6994424904, -6.2904713280
2349918464.0000000000, -6.2682686189, -1.7083223621, -1.7083216551, -6.2682619254
2350918400.0000000000, -6.2460961736, -1.7172419732, -1.7172412655, -6.2461017392
2351918336.0000000000, -6.2239650065, -1.7261964646, -1.7261957563, -6.2239694492
2352918272.0000000000, -6.2018893595, -1.7351908859, -1.7351930129, -6.2018915759
2353918208.0000000000, -6.1798435403, -1.7442246280, -1.7442217895, -6.1798534923
2354918144.0000000000, -6.1578395960, -1.7532977902, -1.7532970800, -6.1578473194
2355918080.0000000000, -6.1358916692, -1.7624161600, -1.7624175818, -6.1358916692
2356918016.0000000000, -6.1139786259, -1.7715684683, -1.7715706030, -6.1139731334
2357917952.0000000000, -6.0921058230, -1.7807612109, -1.7807626353, -6.0920992463
2358917888.0000000000, -6.0702665392, -1.7899966302, -1.7899952045, -6.0702687266
2359917824.0000000000, -6.0484628421, -1.7992691285, -1.7992684150, -6.0484715728
2360917760.0000000000, -6.0267131155, -1.8085730874, -1.8085716590, -6.0267142045
2361917696.0000000000, -6.0050018985, -1.8179300330, -1.8179278884, -6.0050051583
2362917632.0000000000, -5.9833388013, -1.8273172086, -1.8273164930, -5.9833377170
2363917568.0000000000, -5.9617019752, -1.8367511641, -1.8367518803, -5.9617084667
2364917504.0000000000, -5.9401280571, -1.8462255717, -1.8462248548, -5.9401248183
2365917440.0000000000, -5.9185855005, -1.8557441259, -1.8557419731, -5.9185822687
2366917376.0000000000, -5.8970774279, -1.8652932971, -1.8652961702, -5.8970774279
2367917312.0000000000, -5.8756240969, -1.8748889817, -1.8748868248, -5.8756283875
2368917248.0000000000, -5.8542081292, -1.8845219493, -1.8845205100, -5.8542081292
2369917184.0000000000, -5.8328325875, -1.8941944599, -1.8941944599, -5.8328261791
2370917120.0000000000, -5.8114973108, -1.9039224825, -1.9039203194, -5.8114973108
