Freq,Simulated,Measured
1.111,-5.89283351,-6.5295444
1.112,-5.909060021,-6.5660982
1.113,-5.926663738,-6.5505738
1.114,-5.946006573,-6.5492258
1.115,-5.967486008,-6.6057601
1.116,-5.991463476,-6.6032686
1.117,-6.018112656,-6.6088438
1.118,-6.047167792,-6.6245761
1.119,-6.077623694,-6.6202803
1.12,-6.107586241,-6.6280661
1.121,-6.134577793,-6.6684618
1.122,-6.156388011,-6.6713252
1.123,-6.172005902,-6.6743932
1.124,-6.181922645,-6.6767936
1.125,-6.187642248,-6.6883879
1.126,-6.190908147,-6.7112098
1.127,-6.193167573,-6.7320194
1.128,-6.195397227,-6.7077885
1.129,-6.198154654,-6.7484145
1.13,-6.201702154,-6.7432308
1.131,-6.206121648,-6.7978177
1.132,-6.211396643,-6.7889585
1.133,-6.217463372,-6.7728157
1.134,-6.224240043,-6.7988682
1.135,-6.231642341,-6.8236318
1.136,-6.239590944,-6.8565068
1.137,-6.248014628,-6.8559499
1.138,-6.256851074,-6.8682098
1.139,-6.26604654,-6.8728771
1.14,-6.275555048,-6.9118614
1.141,-6.285337417,-6.8952885
1.142,-6.295360298,-6.8829684
1.143,-6.305595295,-6.8959465
1.144,-6.316018186,-6.9612365
1.145,-6.326608269,-6.9543672
1.146,-6.337347795,-6.974113
1.147,-6.348221499,-6.9783683
1.148,-6.359216215,-6.9812565
1.149,-6.370320543,-6.9738255
1.15,-6.381524581,-6.9939022
1.151,-6.392819699,-7.0295906
1.152,-6.40419835,-7.0480556
1.153,-6.415653912,-7.0210824
1.154,-6.427180558,-7.0390224
1.155,-6.438773141,-7.0702567
1.156,-6.450427104,-7.0743365
1.157,-6.462138401,-7.1108403
1.158,-6.473903425,-7.1023288
1.159,-6.485718957,-7.1287284
1.16,-6.497582113,-7.1324244
1.161,-6.509490306,-7.159019
1.162,-6.521441204,-7.186132
1.163,-6.533432706,-7.1864305
1.164,-6.545462912,-7.1995378
1.165,-6.557530098,-7.1972427
1.166,-6.569632702,-7.2094002
1.167,-6.5817693,-7.2137108
1.168,-6.593938593,-7.2174392
1.169,-6.606139396,-7.2250333
1.17,-6.618370624,-7.2616339
1.171,-6.630631281,-7.2754374
1.172,-6.642920453,-7.2661481
1.173,-6.655237298,-7.2882614
1.174,-6.667581041,-7.3077526
1.175,-6.679950967,-7.3399434
1.176,-6.692346413,-7.3486228
1.177,-6.704766767,-7.3566055
1.178,-6.717211461,-7.359879
1.179,-6.729679965,-7.3607612
1.18,-6.74217179,-7.3908534
1.181,-6.754686479,-7.4012451
1.182,-6.767223605,-7.408206
1.183,-6.779782771,-7.4116917
1.184,-6.792363604,-7.432817
1.185,-6.804965756,-7.4480147
1.186,-6.8175889,-7.4871268
1.187,-6.830232731,-7.4794888
1.188,-6.842896962,-7.5044174
1.189,-6.855581321,-7.4589949
1.19,-6.868285553,-7.5294719
1.191,-6.88100942,-7.4741802
1.192,-6.893752695,-7.5322266
1.193,-6.906515163,-7.5518179
1.194,-6.919296623,-7.5877886
1.195,-6.932096883,-7.5740643
