"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.045,-13.8167097685479,-3.4160080449103,-17.0134048167118,-3.44523479654878,-9.69126151025917,-16.7874843599986
1.046,-13.8222230467966,-3.41595590203766,-17.0173045277663,-3.44527701957879,-9.69796282033452,-16.7907826127945
1.047,-13.8277347394225,-3.41590410304323,-17.0212121942992,-3.44531886270509,-9.7046656434394,-16.7940857590867
1.048,-13.8332448471513,-3.41585264722865,-17.0251279311954,-3.4453603278828,-9.71136998737476,-16.7973939061083
1.049,-13.8387533707107,-3.415801533895,-17.0290518543198,-3.44540141706543,-9.71807585997234,-16.8007071621592
1.05,-13.84426031083,-3.41575076234276,-17.0329840805206,-3.44544213220484,-9.72478326909461,-16.8040256366129
1.051,-13.8497656682399,-3.41570033187184,-17.0369247276336,-3.44548247525126,-9.73149222263471,-16.807349439923
1.052,-13.8552694436725,-3.41565024178163,-17.0408739144855,-3.44552244815329,-9.73820272851644,-16.8106786836299
1.053,-13.860771637861,-3.41560049137104,-17.0448317608977,-3.44556205285786,-9.74491479469418,-16.8140134803673
1.054,-13.8662722515397,-3.41555107993849,-17.0487983876899,-3.4456012913103,-9.75162842915284,-16.8173539438688
1.055,-13.8717712854434,-3.41550200678193,-17.0527739166834,-3.44564016545428,-9.75834363990781,-16.8207001889743
1.056,-13.8772687403077,-3.41545327119893,-17.0567584707043,-3.44567867723183,-9.7650604350049,-16.8240523316363
1.057,-13.8827646168684,-3.41540487248664,-17.060752173587,-3.44571682858334,-9.77177882252033,-16.8274104889263
1.058,-13.8882589158618,-3.41535680994185,-17.0647551501771,-3.44575462144756,-9.77849881056061,-16.8307747790412
1.059,-13.8937516380241,-3.41530908286101,-17.0687675263343,-3.44579205776159,-9.78522040726257,-16.8341453213095
1.06,-13.8992427840912,-3.41526169054024,-17.0727894289352,-3.44582913946089,-9.79194362079324,-16.837522236197
1.061,-13.9047323547988,-3.4152146322754,-17.0768209858762,-3.4458658684793,-9.79866845934983,-16.8409056453135
1.062,-13.9102203508822,-3.41516790736208,-17.080862326076,-3.44590224674896,-9.80539493115969,-16.8442956714184
1.063,-13.9157067730759,-3.41512151509561,-17.0849135794778,-3.44593827620043,-9.81212304448026,-16.8476924384267
1.064,-13.9211916221134,-3.41507545477115,-17.088974877052,-3.44597395876256,-9.81885280759898,-16.8510960714146
1.065,-13.9266748987273,-3.41502972568365,-17.0930463507979,-3.44600929636261,-9.82558422883332,-16.8545066966256
1.066,-13.9321566036489,-3.41498432712792,-17.097128133746,-3.44604429092615,-9.83231731653063,-16.8579244414759
1.067,-13.9376367376079,-3.41493925839865,-17.1012203599597,-3.44607894437711,-9.83905207906817,-16.8613494345599
1.068,-13.9431153013327,-3.41489451879038,-17.1053231645369,-3.44611325863779,-9.84578852485305,-16.8647818056556
1.069,-13.9485922955496,-3.41485010759764,-17.1094366836115,-3.44614723562881,-9.85252666232215,-16.8682216857301
1.07,-13.9540677209829,-3.41480602411485,-17.1135610543551,-3.44618087726917,-9.85926649994209,-16.8716692069444
1.071,-13.9595415783549,-3.41476226763644,-17.1176964149775,-3.44621418547618,-9.86600804620919,-16.875124502659
1.072,-13.9650138683854,-3.41471883745684,-17.1218429047281,-3.44624716216552,-9.87275130964943,-16.8785877074383
1.073,-13.9704845917916,-3.41467573287049,-17.1260006638964,-3.44627980925122,-9.87949629881835,-16.8820589570559
1.074,-13.9759537492879,-3.4146329531719,-17.1301698338128,-3.44631212864564,-9.88624302230109,-16.8855383884986
1.075,-13.9814213415859,-3.41459049765565,-17.1343505568489,-3.44634412225948,-9.89299148871226,-16.8890261399719
1.076,-13.9868873693939,-3.41454836561643,-17.1385429764177,-3.44637579200178,-9.89974170669593,-16.8925223509034
1.077,-13.992351833417,-3.41450655634906,-17.142747236973,-3.44640713977996,-9.90649368492561,-16.8960271619476
1.078,-13.9978147343567,-3.41446506914852,-17.1469634840102,-3.44643816749972,-9.91324743210413,-16.8995407149899
1.079,-14.0032760729108,-3.41442390330996,-17.1511918640646,-3.44646887706514,-9.92000295696369,-16.9030631531503
1.08,-14.0087358497731,-3.41438305812875,-17.1554325247117,-3.44649927037862,-9.92676026826573,-16.9065946207873
1.081,-14.0141940656334,-3.41434253290049,-17.1596856145653,-3.44652934934091,-9.93351937480094,-16.9101352635013
1.082,-14.0196507211773,-3.41430232692105,-17.163951283277,-3.44655911585108,-9.94028028538917,-16.9136852281383
