Freq,Simulated,Measured
1.286,-1.172293927,-1.3233275
1.287,-1.173181871,-1.3295115
1.288,-1.174067735,-1.3111228
1.289,-1.174951513,-1.2913573
1.29,-1.1758332,-1.3094356
1.291,-1.176712793,-1.3170756
1.292,-1.177590286,-1.3189366
1.293,-1.178465675,-1.2925867
1.294,-1.179338956,-1.3113253
1.295,-1.180210123,-1.3093866
1.296,-1.181079172,-1.2840554
1.297,-1.1819461,-1.302066
1.298,-1.182810901,-1.2821674
1.299,-1.183673571,-1.2887931
1.3,-1.184534106,-1.3150902
1.301,-1.185392502,-1.3203243
1.302,-1.186248754,-1.3010743
1.303,-1.187102858,-1.2948102
1.304,-1.187954811,-1.2400975
1.305,-1.188804608,-1.2813352
1.306,-1.189652245,-1.2621036
1.307,-1.190497718,-1.2985967
1.308,-1.191341023,-1.2877011
1.309,-1.192182157,-1.2983257
1.31,-1.193021115,-1.2901859
1.311,-1.193857893,-1.304075
1.312,-1.194692489,-1.2945043
1.313,-1.195524897,-1.3038216
1.314,-1.196355115,-1.2821057
1.315,-1.197183139,-1.3009624
1.316,-1.198008965,-1.3319134
1.317,-1.19883259,-1.3115325
1.318,-1.19965401,-1.3107623
1.319,-1.200473221,-1.2995634
1.32,-1.201290221,-1.3204875
1.321,-1.202105006,-1.3257073
1.322,-1.202917573,-1.2824851
1.323,-1.203727917,-1.2919167
1.324,-1.204536037,-1.2881919
1.325,-1.205341929,-1.3235061
1.326,-1.20614559,-1.3103833
1.327,-1.206947016,-1.3120494
1.328,-1.207746204,-1.2925578
1.329,-1.208543152,-1.3211174
1.33,-1.209337857,-1.2938966
1.331,-1.210130315,-1.3106939
1.332,-1.210920524,-1.3031645
1.333,-1.211708481,-1.2967052
1.334,-1.212494182,-1.3079815
1.335,-1.213277626,-1.2844958
1.336,-1.21405881,-1.2748996
1.337,-1.21483773,-1.2960861
1.338,-1.215614384,-1.3042029
1.339,-1.21638877,-1.3008871
1.34,-1.217160885,-1.2917441
1.341,-1.217930727,-1.2752807
1.342,-1.218698292,-1.3060094
1.343,-1.219463579,-1.2698911
1.344,-1.220226586,-1.3097429
1.345,-1.220987309,-1.3074104
1.346,-1.221745746,-1.3187231
1.347,-1.222501896,-1.3046778
1.348,-1.223255756,-1.3092666
1.349,-1.224007324,-1.301854
1.35,-1.224756598,-1.3074324
1.351,-1.225503575,-1.3041614
1.352,-1.226248254,-1.2644126
1.353,-1.226990633,-1.2624283
1.354,-1.227730709,-1.2858524
1.355,-1.22846848,-1.294286
1.356,-1.229203946,-1.3011664
1.357,-1.229937104,-1.296842
1.358,-1.230667951,-1.3095865
1.359,-1.231396487,-1.3044358
1.36,-1.23212271,-1.3200495
1.361,-1.232846617,-1.320119
1.362,-1.233568208,-1.3004187
1.363,-1.234287481,-1.3008249
1.364,-1.235004434,-1.32285
1.365,-1.235719065,-1.3203378
1.366,-1.236431374,-1.3214723
1.367,-1.237141358,-1.3182846
1.368,-1.237849016,-1.3135197
1.369,-1.238554348,-1.2966834
1.37,-1.239257351,-1.3061576
1.371,-1.239958025,-1.3215704
1.372,-1.240656367,-1.2915207
1.373,-1.241352378,-1.3002027
1.374,-1.242046055,-1.3063825
1.375,-1.242737398,-1.2854115
1.376,-1.243426406,-1.294109
1.377,-1.244113077,-1.2922463
1.378,-1.24479741,-1.3032763
1.379,-1.245479405,-1.2860527
1.38,-1.246159061,-1.2669661
1.381,-1.246836376,-1.2883109
1.382,-1.24751135,-1.2859207
1.383,-1.248183983,-1.2994863
1.384,-1.248854272,-1.2723361
1.385,-1.249522219,-1.2666733
1.386,-1.250187821,-1.2710221
1.387,-1.250851078,-1.2692641
1.388,-1.25151199,-1.2922885
1.389,-1.252170557,-1.2948132
1.39,-1.252826776,-1.2782398
1.391,-1.253480649,-1.2783116
1.392,-1.254132174,-1.257494
1.393,-1.254781351,-1.2877827
1.394,-1.25542818,-1.2947277
1.395,-1.256072661,-1.2721769
1.396,-1.256714792,-1.2928497
1.397,-1.257354575,-1.305593
1.398,-1.257992008,-1.2814792
1.399,-1.258627091,-1.2655784
1.4,-1.259259825,-1.2850025
1.401,-1.259890208,-1.3039591
1.402,-1.260518242,-1.3216858
1.403,-1.261143925,-1.2874621
1.404,-1.261767259,-1.2669047
1.405,-1.262388242,-1.2849476
1.406,-1.263006875,-1.2572948
1.407,-1.263623159,-1.3050603
1.408,-1.264237093,-1.3140746
1.409,-1.264848677,-1.2950544
1.41,-1.265457911,-1.2873718
1.411,-1.266064797,-1.2769694
1.412,-1.266669334,-1.2792543
1.413,-1.267271522,-1.2695434
1.414,-1.267871361,-1.2844989
1.415,-1.268468853,-1.2930077
1.416,-1.269063998,-1.2649926
1.417,-1.269656795,-1.2961242
1.418,-1.270247246,-1.2572405
1.419,-1.270835351,-1.262832
1.42,-1.27142111,-1.2492871
1.421,-1.272004524,-1.2590618
1.422,-1.272585595,-1.2672863
1.423,-1.273164321,-1.2492611
1.424,-1.273740705,-1.2495227
1.425,-1.274314746,-1.258198
1.426,-1.274886446,-1.2814023
1.427,-1.275455806,-1.2721629
1.428,-1.276022825,-1.2664845
1.429,-1.276587506,-1.2506485
1.43,-1.277149848,-1.2598169
1.431,-1.277709853,-1.2802967
1.432,-1.278267522,-1.2555792
1.433,-1.278822856,-1.2242746
1.434,-1.279375856,-1.3051859
1.435,-1.279926522,-1.2858765
1.436,-1.280474857,-1.2846587
1.437,-1.28102086,-1.2589333
1.438,-1.281564534,-1.2679675
1.439,-1.282105879,-1.2798971
1.44,-1.282644897,-1.3023192
1.441,-1.283181588,-1.2835679
1.442,-1.283715955,-1.2823316
1.443,-1.284247998,-1.2842478
1.444,-1.284777719,-1.2984867
1.445,-1.285305119,-1.294677
1.446,-1.285830199,-1.3009751
1.447,-1.286352962,-1.2890449
1.448,-1.286873408,-1.2782897
1.449,-1.287391539,-1.2846582
1.45,-1.287907356,-1.2817142
