Freq [GHz],"dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
1.132,-1.014697589,-6.211396643,-12.9661413,-1.95900007
1.133,-1.015823534,-6.217463372,-12.95268036,-1.954279506
1.134,-1.016948605,-6.224240043,-12.93925785,-1.949797353
1.135,-1.01807279,-6.231642341,-12.92587371,-1.945437146
1.136,-1.019196081,-6.239590944,-12.91252791,-1.941141298
1.137,-1.020318467,-6.248014628,-12.89922038,-1.936880334
1.138,-1.021439938,-6.256851074,-12.88595107,-1.93263883
1.139,-1.022560483,-6.26604654,-12.87271993,-1.928408656
1.14,-1.023680093,-6.275555048,-12.85952692,-1.924185589
1.141,-1.024798757,-6.285337417,-12.84637197,-1.919967539
1.142,-1.025916465,-6.295360298,-12.83325503,-1.915753599
1.143,-1.027033207,-6.305595295,-12.82017606,-1.911543517
1.144,-1.028148973,-6.316018186,-12.80713499,-1.907337399
1.145,-1.029263753,-6.326608269,-12.79413177,-1.903135541
1.146,-1.030377537,-6.337347795,-12.78116635,-1.89893833
1.147,-1.031490315,-6.348221499,-12.76823868,-1.894746185
1.148,-1.032602076,-6.359216215,-12.75534869,-1.890559529
1.149,-1.033712812,-6.370320543,-12.74249633,-1.886378771
1.15,-1.034822511,-6.381524581,-12.72968156,-1.882204295
1.151,-1.035931165,-6.392819699,-12.71690431,-1.878036455
1.152,-1.037038763,-6.40419835,-12.70416452,-1.873875578
1.153,-1.038145295,-6.415653912,-12.69146214,-1.86972196
1.154,-1.039250752,-6.427180558,-12.67879712,-1.86557587
1.155,-1.040355123,-6.438773141,-12.6661694,-1.861437552
1.156,-1.0414584,-6.450427104,-12.65357891,-1.857307226
1.157,-1.042560572,-6.462138401,-12.64102561,-1.85318509
1.158,-1.043661629,-6.473903425,-12.62850943,-1.849071322
1.159,-1.044761562,-6.485718957,-12.61603032,-1.844966085
1.16,-1.045860361,-6.497582113,-12.60358821,-1.840869522
1.161,-1.046958017,-6.509490306,-12.59118306,-1.836781766
1.162,-1.048054519,-6.521441204,-12.5788148,-1.832702935
1.163,-1.049149859,-6.533432706,-12.56648337,-1.828633134
1.164,-1.050244027,-6.545462912,-12.55418871,-1.824572461
1.165,-1.051337013,-6.557530098,-12.54193077,-1.820521002
1.166,-1.052428807,-6.569632702,-12.52970948,-1.816478835
1.167,-1.053519401,-6.5817693,-12.51752479,-1.812446031
1.168,-1.054608784,-6.593938593,-12.50537663,-1.808422654
1.169,-1.055696948,-6.606139396,-12.49326495,-1.804408761
1.17,-1.056783883,-6.618370624,-12.48118968,-1.800404405
1.171,-1.05786958,-6.630631281,-12.46915076,-1.796409632
1.172,-1.058954028,-6.642920453,-12.45714813,-1.792424484
1.173,-1.06003722,-6.655237298,-12.44518173,-1.788448999
1.174,-1.061119146,-6.667581041,-12.43325149,-1.784483211
1.175,-1.062199796,-6.679950967,-12.42135737,-1.780527151
1.176,-1.063279161,-6.692346413,-12.40949928,-1.776580846
1.177,-1.064357233,-6.704766767,-12.39767718,-1.77264432
1.178,-1.065434001,-6.717211461,-12.385891,-1.768717595
1.179,-1.066509457,-6.729679965,-12.37414067,-1.76480069
1.18,-1.067583593,-6.74217179,-12.36242614,-1.760893622
1.181,-1.068656398,-6.754686479,-12.35074734,-1.756996405
1.182,-1.069727863,-6.767223605,-12.3391042,-1.753109053
1.183,-1.070797981,-6.779782771,-12.32749666,-1.749231576
1.184,-1.071866741,-6.792363604,-12.31592467,-1.745363984
1.185,-1.072934135,-6.804965756,-12.30438814,-1.741506285
1.186,-1.074000154,-6.8175889,-12.29288703,-1.737658486
1.187,-1.07506479,-6.830232731,-12.28142127,-1.733820591
1.188,-1.076128033,-6.842896962,-12.26999078,-1.729992605
1.189,-1.077189874,-6.855581321,-12.25859551,-1.72617453
1.19,-1.078250305,-6.868285553,-12.24723539,-1.722366369
1.191,-1.079309317,-6.88100942,-12.23591036,-1.718568121
1.192,-1.080366902,-6.893752695,-12.22462035,-1.714779788
1.193,-1.08142305,-6.906515163,-12.21336529,-1.711001369
1.194,-1.082477754,-6.919296623,-12.20214512,-1.707232861
1.195,-1.083531004,-6.932096883,-12.19095977,-1.703474262
1.196,-1.084582792,-6.944915762,-12.17980918,-1.699725569
1.197,-1.08563311,-6.957753089,-12.16869327,-1.695986779
1.198,-1.086681949,-6.970608699,-12.15761199,-1.692257887
1.199,-1.0877293,-6.983482439,-12.14656527,-1.688538888
1.2,-1.088775156,-6.996374161,-12.13555304,-1.684829777
1.201,-1.089819507,-7.009283724,-12.12457522,-1.681130548
1.202,-1.090862346,-7.022210995,-12.11363176,-1.677441194
1.203,-1.091903664,-7.035155847,-12.10272259,-1.67376171
1.204,-1.092943453,-7.048118157,-12.09184764,-1.670092086
1.205,-1.093981705,-7.06109781,-12.08100684,-1.666432317
1.206,-1.095018411,-7.074094694,-12.07020012,-1.662782393
1.207,-1.096053564,-7.087108704,-12.05942742,-1.659142307
1.208,-1.097087155,-7.100139736,-12.04868866,-1.655512049
1.209,-1.098119176,-7.113187695,-12.03798378,-1.651891612
1.21,-1.09914962,-7.126252486,-12.02731272,-1.648280984
1.211,-1.100178478,-7.139334019,-12.01667539,-1.644680158
1.212,-1.101205741,-7.152432207,-12.00607173,-1.641089123
1.213,-1.102231403,-7.165546969,-11.99550168,-1.637507869
1.214,-1.103255456,-7.178678223,-11.98496516,-1.633936386
1.215,-1.104277891,-7.191825893,-11.97446211,-1.630374662
1.216,-1.105298701,-7.204989904,-11.96399244,-1.626822689
1.217,-1.106317877,-7.218170185,-11.95355611,-1.623280453
1.218,-1.107335413,-7.231366667,-11.94315303,-1.619747945
1.219,-1.1083513,-7.244579282,-11.93278313,-1.616225153
1.22,-1.109365532,-7.257807967,-11.92244635,-1.612712065
1.221,-1.110378099,-7.271052659,-11.91214261,-1.60920867
1.222,-1.111388995,-7.284313297,-11.90187185,-1.605714956
1.223,-1.112398212,-7.297589822,-11.89163399,-1.60223091
1.224,-1.113405743,-7.310882177,-11.88142896,-1.598756522
1.225,-1.11441158,-7.324190308,-11.8712567,-1.595291777
1.226,-1.115415716,-7.337514161,-11.86111713,-1.591836665
1.227,-1.116418143,-7.350853683,-11.85101018,-1.588391172
1.228,-1.117418854,-7.364208824,-11.84093577,-1.584955286
1.229,-1.118417841,-7.377579535,-11.83089385,-1.581528993
1.23,-1.119415098,-7.390965767,-11.82088433,-1.578112282
1.231,-1.120410617,-7.404367474,-11.81090715,-1.574705139
1.232,-1.121404391,-7.417784609,-11.80096224,-1.57130755
1.233,-1.122396413,-7.431217129,-11.79104951,-1.567919503
1.234,-1.123386676,-7.44466499,-11.78116891,-1.564540985
1.235,-1.124375173,-7.45812815,-11.77132036,-1.561171981
1.236,-1.125361896,-7.471606566,-11.76150378,-1.557812479
1.237,-1.126346838,-7.485100198,-11.75171911,-1.554462465
1.238,-1.127329994,-7.498609007,-11.74196627,-1.551121925
1.239,-1.128311355,-7.512132954,-11.7322452,-1.547790845
1.24,-1.129290915,-7.525671999,-11.72255581,-1.544469212
1.241,-1.130268668,-7.539226107,-11.71289803,-1.541157012
1.242,-1.131244605,-7.552795239,-11.70327181,-1.53785423
1.243,-1.132218722,-7.566379361,-11.69367705,-1.534560853
1.244,-1.13319101,-7.579978436,-11.68411369,-1.531276867
1.245,-1.134161463,-7.59359243,-11.67458166,-1.528002257
1.246,-1.135130076,-7.607221308,-11.66508088,-1.52473701
1.247,-1.13609684,-7.620865038,-11.65561128,-1.52148111
1.248,-1.137061749,-7.634523585,-11.64617279,-1.518234544
1.249,-1.138024798,-7.648196916,-11.63676533,-1.514997297
1.25,-1.13898598,-7.661885001,-11.62738884,-1.511769355
1.251,-1.139945287,-7.675587807,-11.61804323,-1.508550704
1.252,-1.140902715,-7.689305303,-11.60872844,-1.505341328
1.253,-1.141858256,-7.703037457,-11.59944439,-1.502141213
1.254,-1.142811904,-7.716784241,-11.59019101,-1.498950344
1.255,-1.143763653,-7.730545622,-11.58096822,-1.495768708
1.256,-1.144713497,-7.744321573,-11.57177596,-1.492596288
1.257,-1.14566143,-7.758112062,-11.56261415,-1.489433071
1.258,-1.146607445,-7.771917062,-11.55348271,-1.486279041
1.259,-1.147551537,-7.785736543,-11.54438157,-1.483134184
1.26,-1.148493699,-7.799570477,-11.53531066,-1.479998484
1.261,-1.149433926,-7.813418836,-11.5262699,-1.476871927
1.262,-1.150372211,-7.827281592,-11.51725923,-1.473754498
1.263,-1.151308548,-7.841158717,-11.50827856,-1.470646181
1.264,-1.152242933,-7.855050184,-11.49932783,-1.467546963
1.265,-1.153175359,-7.868955965,-11.49040695,-1.464456826
1.266,-1.154105819,-7.882876034,-11.48151586,-1.461375758
1.267,-1.15503431,-7.896810364,-11.47265448,-1.458303741
1.268,-1.155960824,-7.910758928,-11.46382274,-1.455240762
1.269,-1.156885356,-7.9247217,-11.45502057,-1.452186805
1.27,-1.157807901,-7.938698654,-11.44624788,-1.449141854
1.271,-1.158728452,-7.952689764,-11.43750461,-1.446105895
1.272,-1.159647006,-7.966695003,-11.42879068,-1.443078912
1.273,-1.160563555,-7.980714346,-11.42010602,-1.44006089
1.274,-1.161478095,-7.994747768,-11.41145055,-1.437051814
1.275,-1.16239062,-8.008795243,-11.40282421,-1.434051667
1.276,-1.163301125,-8.022856746,-11.39422691,-1.431060435
1.277,-1.164209605,-8.036932251,-11.38565858,-1.428078102
1.278,-1.165116054,-8.051021733,-11.37711915,-1.425104654
1.279,-1.166020467,-8.065125169,-11.36860854,-1.422140073
1.28,-1.166922839,-8.079242531,-11.36012668,-1.419184345
1.281,-1.167823165,-8.093373797,-11.3516735,-1.416237455
1.282,-1.16872144,-8.10751894,-11.34324892,-1.413299386
1.283,-1.169617658,-8.121677937,-11.33485287,-1.410370124
1.284,-1.170511816,-8.135850763,-11.32648526,-1.407449652
1.285,-1.171403907,-8.150037393,-11.31814604,-1.404537955
1.286,-1.172293927,-8.164237804,-11.30983513,-1.401635018
1.287,-1.173181871,-8.17845197,-11.30155244,-1.398740824
1.288,-1.174067735,-8.192679867,-11.29329791,-1.395855359
1.289,-1.174951513,-8.206921471,-11.28507146,-1.392978605
1.29,-1.1758332,-8.221176759,-11.27687303,-1.390110549
1.291,-1.176712793,-8.235445705,-11.26870252,-1.387251173
1.292,-1.177590286,-8.249728285,-11.26055988,-1.384400463
1.293,-1.178465675,-8.264024476,-11.25244502,-1.381558402
1.294,-1.179338956,-8.278334254,-11.24435788,-1.378724975
1.295,-1.180210123,-8.292657594,-11.23629837,-1.375900166
1.296,-1.181079172,-8.306994472,-11.22826643,-1.373083959
1.297,-1.1819461,-8.321344865,-11.22026198,-1.370276338
1.298,-1.182810901,-8.335708748,-11.21228494,-1.367477288
1.299,-1.183673571,-8.350086097,-11.20433525,-1.364686792
1.3,-1.184534106,-8.364476889,-11.19641282,-1.361904836
1.301,-1.185392502,-8.3788811,-11.18851759,-1.359131402
1.302,-1.186248754,-8.393298704,-11.18064948,-1.356366475
1.303,-1.187102858,-8.40772968,-11.17280842,-1.35361004
1.304,-1.187954811,-8.422174001,-11.16499433,-1.350862079
1.305,-1.188804608,-8.436631646,-11.15720715,-1.348122578
1.306,-1.189652245,-8.451102588,-11.14944678,-1.345391521
1.307,-1.190497718,-8.465586806,-11.14171317,-1.34266889
1.308,-1.191341023,-8.480084273,-11.13400624,-1.339954672
1.309,-1.192182157,-8.494594967,-11.12632591,-1.337248848
1.31,-1.193021115,-8.509118864,-11.11867212,-1.334551405
1.311,-1.193857893,-8.523655938,-11.11104478,-1.331862325
1.312,-1.194692489,-8.538206167,-11.10344383,-1.329181592
1.313,-1.195524897,-8.552769526,-11.09586918,-1.326509191
1.314,-1.196355115,-8.56734599,-11.08832078,-1.323845106
1.315,-1.197183139,-8.581935536,-11.08079854,-1.32118932
1.316,-1.198008965,-8.59653814,-11.07330239,-1.318541817
1.317,-1.19883259,-8.611153776,-11.06583226,-1.315902582
1.318,-1.19965401,-8.625782421,-11.05838808,-1.313271598
1.319,-1.200473221,-8.64042405,-11.05096976,-1.31064885
1.32,-1.201290221,-8.655078639,-11.04357725,-1.30803432
1.321,-1.202105006,-8.669746164,-11.03621046,-1.305427994
1.322,-1.202917573,-8.684426599,-11.02886932,-1.302829855
1.323,-1.203727917,-8.699119921,-11.02155376,-1.300239887
1.324,-1.204536037,-8.713826104,-11.01426371,-1.297658074
1.325,-1.205341929,-8.728545125,-11.0069991,-1.295084399
1.326,-1.20614559,-8.743276957,-10.99975985,-1.292518847
1.327,-1.206947016,-8.758021577,-10.99254588,-1.289961402
1.328,-1.207746204,-8.77277896,-10.98535713,-1.287412047
1.329,-1.208543152,-8.787549081,-10.97819353,-1.284870766
1.33,-1.209337857,-8.802331915,-10.971055,-1.282337544
1.331,-1.210130315,-8.817127436,-10.96394146,-1.279812363
1.332,-1.210920524,-8.83193562,-10.95685286,-1.277295208
1.333,-1.211708481,-8.846756442,-10.9497891,-1.274786063
1.334,-1.212494182,-8.861589876,-10.94275014,-1.272284911
1.335,-1.213277626,-8.876435897,-10.93573588,-1.269791736
1.336,-1.21405881,-8.89129448,-10.92874626,-1.267306523
1.337,-1.21483773,-8.906165599,-10.9217812,-1.264829255
1.338,-1.215614384,-8.921049229,-10.91484065,-1.262359915
1.339,-1.21638877,-8.935945345,-10.90792451,-1.259898488
1.34,-1.217160885,-8.950853919,-10.90103273,-1.257444958
1.341,-1.217930727,-8.965774928,-10.89416522,-1.254999307
1.342,-1.218698292,-8.980708345,-10.88732193,-1.252561521
1.343,-1.219463579,-8.995654143,-10.88050277,-1.250131583
1.344,-1.220226586,-9.010612298,-10.87370768,-1.247709476
1.345,-1.220987309,-9.025582783,-10.86693658,-1.245295184
1.346,-1.221745746,-9.040565572,-10.86018941,-1.242888692
1.347,-1.222501896,-9.055560639,-10.85346609,-1.240489983
1.348,-1.223255756,-9.070567957,-10.84676654,-1.238099041
1.349,-1.224007324,-9.085587501,-10.84009071,-1.235715849
1.35,-1.224756598,-9.100619243,-10.83343852,-1.233340392
1.351,-1.225503575,-9.115663157,-10.8268099,-1.230972653
1.352,-1.226248254,-9.130719216,-10.82020478,-1.228612615
1.353,-1.226990633,-9.145787394,-10.81362308,-1.226260264
1.354,-1.227730709,-9.160867663,-10.80706474,-1.223915582
1.355,-1.22846848,-9.175959998,-10.80052969,-1.221578553
1.356,-1.229203946,-9.19106437,-10.79401785,-1.219249162
1.357,-1.229937104,-9.206180753,-10.78752917,-1.216927391
1.358,-1.230667951,-9.22130912,-10.78106355,-1.214613225
1.359,-1.231396487,-9.236449442,-10.77462095,-1.212306647
1.36,-1.23212271,-9.251601694,-10.76820128,-1.210007642
1.361,-1.232846617,-9.266765846,-10.76180448,-1.207716192
1.362,-1.233568208,-9.281941872,-10.75543047,-1.205432282
1.363,-1.234287481,-9.297129744,-10.7490792,-1.203155896
1.364,-1.235004434,-9.312329434,-10.74275058,-1.200887017
1.365,-1.235719065,-9.327540914,-10.73644455,-1.198625629
1.366,-1.236431374,-9.342764156,-10.73016104,-1.196371716
1.367,-1.237141358,-9.357999132,-10.72389999,-1.194125262
1.368,-1.237849016,-9.373245814,-10.71766131,-1.19188625
1.369,-1.238554348,-9.388504173,-10.71144495,-1.189654664
1.37,-1.239257351,-9.40377418,-10.70525083,-1.187430488
1.371,-1.239958025,-9.419055808,-10.69907889,-1.185213706
1.372,-1.240656367,-9.434349028,-10.69292905,-1.183004302
1.373,-1.241352378,-9.449653811,-10.68680125,-1.180802259
1.374,-1.242046055,-9.464970127,-10.68069543,-1.178607561
1.375,-1.242737398,-9.480297948,-10.6746115,-1.176420192
1.376,-1.243426406,-9.495637245,-10.66854941,-1.174240136
1.377,-1.244113077,-9.510987988,-10.66250909,-1.172067376
1.378,-1.24479741,-9.526350149,-10.65649046,-1.169901897
1.379,-1.245479405,-9.541723697,-10.65049346,-1.167743682
1.38,-1.246159061,-9.557108603,-10.64451802,-1.165592714
1.381,-1.246836376,-9.572504838,-10.63856408,-1.163448979
1.382,-1.24751135,-9.58791237,-10.63263157,-1.16131246
1.383,-1.248183983,-9.603331172,-10.62672042,-1.159183139
1.384,-1.248854272,-9.618761211,-10.62083056,-1.157061002
1.385,-1.249522219,-9.634202459,-10.61496193,-1.154946033
1.386,-1.250187821,-9.649654885,-10.60911445,-1.152838214
1.387,-1.250851078,-9.665118458,-10.60328807,-1.15073753
1.388,-1.25151199,-9.680593148,-10.59748271,-1.148643964
1.389,-1.252170557,-9.696078924,-10.59169832,-1.146557501
1.39,-1.252826776,-9.711575756,-10.58593481,-1.144478124
1.391,-1.253480649,-9.727083612,-10.58019213,-1.142405818
1.392,-1.254132174,-9.742602461,-10.57447021,-1.140340565
1.393,-1.254781351,-9.758132272,-10.56876899,-1.138282351
1.394,-1.25542818,-9.773673013,-10.56308839,-1.136231158
1.395,-1.256072661,-9.789224654,-10.55742835,-1.134186971
1.396,-1.256714792,-9.804787163,-10.55178881,-1.132149773
1.397,-1.257354575,-9.820360507,-10.5461697,-1.130119549
1.398,-1.257992008,-9.835944656,-10.54057096,-1.128096282
1.399,-1.258627091,-9.851539576,-10.53499251,-1.126079957
1.4,-1.259259825,-9.867145236,-10.5294343,-1.124070556
1.401,-1.259890208,-9.882761603,-10.52389626,-1.122068065
1.402,-1.260518242,-9.898388646,-10.51837833,-1.120072467
1.403,-1.261143925,-9.914026331,-10.51288043,-1.118083745
1.404,-1.261767259,-9.929674627,-10.50740251,-1.116101885
1.405,-1.262388242,-9.945333499,-10.5019445,-1.114126869
1.406,-1.263006875,-9.961002915,-10.49650634,-1.112158682
1.407,-1.263623159,-9.976682842,-10.49108795,-1.110197308
1.408,-1.264237093,-9.992373247,-10.48568929,-1.10824273
1.409,-1.264848677,-10.0080741,-10.48031027,-1.106294933
1.41,-1.265457911,-10.02378536,-10.47495085,-1.104353901
1.411,-1.266064797,-10.03950699,-10.46961095,-1.102419617
1.412,-1.266669334,-10.05523897,-10.46429052,-1.100492066
1.413,-1.267271522,-10.07098126,-10.45898948,-1.098571231
1.414,-1.267871361,-10.08673383,-10.45370778,-1.096657097
1.415,-1.268468853,-10.10249663,-10.44844535,-1.094749648
1.416,-1.269063998,-10.11826964,-10.44320212,-1.092848868
1.417,-1.269656795,-10.13405283,-10.43797805,-1.09095474
1.418,-1.270247246,-10.14984615,-10.43277305,-1.089067248
1.419,-1.270835351,-10.16564957,-10.42758708,-1.087186378
1.42,-1.27142111,-10.18146306,-10.42242006,-1.085312113
1.421,-1.272004524,-10.19728658,-10.41727194,-1.083444436
1.422,-1.272585595,-10.2131201,-10.41214265,-1.081583333
1.423,-1.273164321,-10.22896358,-10.40703214,-1.079728786
