!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB)
1283000000,-8.3281946,98.904106,-4.5260539
1284000000,-8.3962889,99.930908,-4.5493946
1285000000,-8.3947544,100.89957,-4.5315113
1286000000,-8.4653635,102.09984,-4.5388794
1287000000,-8.4787369,103.26962,-4.5470347
1288000000,-8.4858398,104.32152,-4.5747318
1289000000,-8.503355,105.39248,-4.5832257
1290000000,-8.4574633,106.52979,-4.5875168
1291000000,-8.4074469,107.6236,-4.5705447
1292000000,-8.3889284,108.52347,-4.6055093
1293000000,-8.3749371,110.07515,-4.6611571
1294000000,-8.2552261,111.08646,-4.6063399
1295000000,-8.2403374,112.07584,-4.6832156
1296000000,-8.1764879,113.17654,-4.7128119
1297000000,-8.0417137,114.24628,-4.7171326
1298000000,-7.9608812,115.16684,-4.7381663
1299000000,-7.8763885,116.15778,-4.8034558
1300000000,-7.7474747,116.89247,-4.8297915
1301000000,-7.630815,117.698,-4.8574448
1302000000,-7.4772449,118.5525,-4.9030347
1303000000,-7.3726134,119.10725,-4.9698219
1304000000,-7.2524199,119.57209,-5.0118942
1305000000,-7.1262932,120.34544,-5.0792003
1306000000,-6.9645405,121.16291,-5.1219296
1307000000,-6.8534451,121.3152,-5.1807489
1308000000,-6.7090607,121.69668,-5.2459803
1309000000,-6.5507779,122.01627,-5.2710567
1310000000,-6.4460692,122.29261,-5.3738627
1311000000,-6.3075356,122.52937,-5.4311962
1312000000,-6.1359782,122.89448,-5.4983201
1313000000,-6.0175261,122.87154,-5.5718861
1314000000,-5.8951807,123.06314,-5.650579
1315000000,-5.7651901,123.03088,-5.747632
1316000000,-5.6347156,123.29066,-5.8011909
1317000000,-5.5195136,123.24328,-5.9065242
1318000000,-5.3955975,123.35811,-5.9648523
1319000000,-5.2666383,123.10452,-6.0186648
1320000000,-5.1602855,123.08364,-6.1232224
1321000000,-5.0476737,123.01299,-6.2333694
1322000000,-4.9342518,122.97981,-6.2662039
1323000000,-4.7995081,122.84119,-6.3390527
1324000000,-4.7298017,122.66103,-6.4478955
1325000000,-4.6022496,122.62357,-6.4996219
1326000000,-4.5184822,122.23083,-6.6126332
1327000000,-4.4108663,122.0208,-6.7022352
1328000000,-4.3089981,122.10954,-6.7790337
1329000000,-4.1904845,121.79536,-6.8447309
1330000000,-4.1230235,121.58775,-6.9668589
1331000000,-4.0547314,121.31583,-7.0669303
1332000000,-3.9508083,121.13961,-7.1651983
1333000000,-3.8520999,120.73563,-7.2365756
1334000000,-3.7933278,120.40756,-7.3533392
1335000000,-3.6789594,120.23152,-7.4378996
1336000000,-3.6025479,119.99406,-7.5383158
1337000000,-3.505296,119.78297,-7.6365438
1338000000,-3.4427664,119.50153,-7.7599182
1339000000,-3.3870542,119.18042,-7.865746
1340000000,-3.3070958,118.86924,-7.9750152
1341000000,-3.2253261,118.56648,-8.0902128
1342000000,-3.1407237,118.25746,-8.1949215
1343000000,-3.0924933,117.77626,-8.3154697
1344000000,-3.015816,117.31445,-8.4327269
1345000000,-2.9590843,117.06773,-8.5330629
1346000000,-2.9047215,116.8723,-8.6454201
1347000000,-2.8590837,116.18788,-8.7613983
1348000000,-2.7850916,115.89714,-8.874588
1349000000,-2.7242794,115.48932,-9.0250225
1350000000,-2.6638649,115.27492,-9.1304808
1351000000,-2.6142359,114.87994,-9.2363997
1352000000,-2.5684988,114.59251,-9.3517962
1353000000,-2.5035133,114.23524,-9.4562225
1354000000,-2.4611254,113.75439,-9.5755978
1355000000,-2.4180887,113.4469,-9.7242012
1356000000,-2.346386,113.05992,-9.8478785
1357000000,-2.3177693,112.42241,-9.9528828
1358000000,-2.2540185,112.39067,-10.085845
1359000000,-2.2108653,111.93732,-10.189062
1360000000,-2.1714432,111.44714,-10.329027
1361000000,-2.1145949,111.18938,-10.444374
1362000000,-2.1443384,111.01315,-10.625845
1363000000,-2.0659344,110.44917,-10.720592
1364000000,-2.0087171,110.26932,-10.829619
1365000000,-1.9528259,109.81368,-10.939541
1366000000,-1.9490235,109.43374,-11.109969
1367000000,-1.9004219,109.03194,-11.249275
1368000000,-1.8855975,108.61964,-11.368402
1369000000,-1.8501701,108.30725,-11.526521
1370000000,-1.8257681,107.82717,-11.661732
1371000000,-1.7731171,107.56152,-11.77748
1372000000,-1.7766426,106.91438,-11.910192
1373000000,-1.6972514,106.90227,-12.033957
1374000000,-1.705153,106.32893,-12.201055
1375000000,-1.6574963,105.91486,-12.31372
1376000000,-1.6333233,105.64385,-12.472394
1377000000,-1.6158155,105.32316,-12.616031
1378000000,-1.5912575,104.92238,-12.784846
1379000000,-1.5679992,104.69806,-12.926457
1380000000,-1.5469924,104.40794,-13.067914
1381000000,-1.4981114,103.91862,-13.175469
1382000000,-1.5042695,103.61059,-13.329099
1383000000,-1.4632342,103.16594,-13.459766
1384000000,-1.4450185,102.84063,-13.640974
1385000000,-1.4111466,102.6356,-13.744396
1386000000,-1.3983077,102.16949,-13.919361
1387000000,-1.3789741,101.84112,-14.080548
1388000000,-1.3468454,101.53526,-14.250742
1389000000,-1.3406017,101.16059,-14.418036
1390000000,-1.3091114,100.58887,-14.544597
1391000000,-1.3190386,100.39619,-14.752072
1392000000,-1.288193,100.05897,-14.914177
1393000000,-1.2555685,99.826958,-15.073768
1394000000,-1.2434394,99.294357,-15.234966
1395000000,-1.2229034,98.957909,-15.35243
1396000000,-1.2091585,98.657829,-15.564604
1397000000,-1.18747,98.353882,-15.727751
1398000000,-1.1902231,98.163696,-15.884977
1399000000,-1.1356982,97.60453,-16.043692
1400000000,-1.1572331,97.078484,-16.211859
1401000000,-1.1336461,96.874184,-16.437792
1402000000,-1.1160685,96.636009,-16.564493
1403000000,-1.0706362,96.194214,-16.724894
1404000000,-1.0731261,95.83596,-16.893263
1405000000,-1.0641048,95.573914,-17.098976
1406000000,-1.0587192,95.179955,-17.24659
1407000000,-1.0636597,94.992661,-17.431757
1408000000,-1.0312791,94.629593,-17.609201
1409000000,-1.0501642,94.384819,-17.782475
1410000000,-1.0208893,94.014748,-17.944771
1411000000,-1.0115983,93.641861,-18.121653
1412000000,-0.99997854,93.360298,-18.299248
1413000000,-0.99181229,92.930565,-18.410505
1414000000,-0.97459286,92.911278,-18.653641
1415000000,-0.97046989,92.454926,-18.742317
1416000000,-0.9584558,92.079651,-18.962521
1417000000,-0.94458616,91.935471,-19.051886
1418000000,-0.94835168,91.572075,-19.217344
1419000000,-0.91735649,91.206154,-19.367954
1420000000,-0.92812216,90.913261,-19.650141
1421000000,-0.91790807,90.644234,-19.733578
1422000000,-0.88859349,90.154991,-19.940273
1423000000,-0.88806176,90.096703,-20.021284
1424000000,-0.86393189,89.497406,-20.207653
1425000000,-0.89417648,89.340279,-20.416382
1426000000,-0.88457829,88.897667,-20.503395
1427000000,-0.85700196,88.748276,-20.735804
1428000000,-0.86827517,88.46508,-20.855694
1429000000,-0.83527446,88.105171,-21.029966
1430000000,-0.84196734,87.83358,-21.180763
1431000000,-0.83086592,87.573662,-21.345051
1432000000,-0.84326673,87.171982,-21.501282
1433000000,-0.82405865,87.0354,-21.678326
1434000000,-0.77874362,86.466415,-21.795254
1435000000,-0.78454983,86.444443,-21.843037
1436000000,-0.77626437,85.914192,-21.911367
1437000000,-0.78579503,85.820763,-21.983656
1438000000,-0.78382075,85.387047,-22.155066
1439000000,-0.77829778,85.194687,-22.146851
1440000000,-0.77333808,84.88488,-22.217289
1441000000,-0.78061712,84.428642,-22.4016
1442000000,-0.77923942,84.044403,-22.422518
1443000000,-0.76157039,83.88459,-22.495205
1444000000,-0.75516754,83.718666,-22.533102
1445000000,-0.74019128,83.363762,-22.486845
1446000000,-0.72432995,83.237328,-22.583235
1447000000,-0.73783636,82.796112,-22.491194
